industry_code	industry_name	display_level	selectable	sort_sequence
000000	Total private	0	T	1	
100000	Goods-producing	1	T	2	
100010	Natural resources and mining	2	T	3	
100020	Construction	2	T	4	
100030	Manufacturing	2	T	5	
200000	Service-providing	1	T	6	
200010	Wholesale trade	2	T	7	
200020	Retail trade	2	T	8	
200030	Transportation and warehousing	2	T	9	
200040	Utilities	2	T	10	
200050	Information	2	T	11	
200060	Financial activities	2	T	12	
200070	Professional and business services	2	T	13	
200080	Education and health services	2	T	14	
200090	Leisure and hospitality	2	T	15	
200100	Other services (except public administration)	2	T	16	
300111	Crop production	3	T	17	
300112	Animal production	3	T	18	
300113	Forestry and logging	3	T	19	
300114	Hunting, fishing, and trapping	3	T	20	
300115	Support activities for agriculture and forestry	3	T	21	
300211	Oil and gas extraction	3	T	22	
300212	Mining (except oil and gas)	3	T	23	
300213	Support activities for mining	3	T	24	
300236	Construction of buildings	3	T	25	
300237	Heavy and civil engineering construction	3	T	26	
300238	Specialty trade contractors	3	T	27	
300311	Food manufacturing	3	T	28	
300312	Beverage and tobacco product manufacturing	3	T	29	
300313	Textile mills	3	T	30	
300314	Textile product mills	3	T	31	
300315	Apparel manufacturing	3	T	32	
300316	Leather and allied product manufacturing	3	T	33	
300321	Wood product manufacturing	3	T	34	
300322	Paper Manufacturing	3	T	35	
300323	Printing and related support activities	3	T	36	
300324	Petroleum and coal products manufacturing	3	T	37	
300325	Chemical manufacturing	3	T	38	
300326	Plastics and rubber products manufacturing	3	T	39	
300327	Nonmetallic mineral product manufacturing	3	T	40	
300331	Primary metal manufacturing	3	T	41	
300332	Fabricated metal product manufacturing	3	T	42	
300333	Machinery manufacturing	3	T	43	
300334	Computer and electronic product manufacturing	3	T	44	
300335	Electrical equipment, appliance, and component manufacturing	3	T	45	
300336	Transportation equipment manufacturing	3	T	46	
300337	Furniture and related product manufacturing	3	T	47	
300339	Miscellaneous manufacturing	3	T	48	
300423	Merchant wholesalers, durable goods	3	T	49	
300424	Merchant wholesalers, nondurable goods	3	T	50	
300425	Wholesale electronic markets and agents and brokers	3	T	51	
300441	Motor vehicle and parts dealers	3	T	52	
300442	Furniture and home furnishing stores	3	T	53	
300443	Electronics and appliance stores	3	T	54	
300444	Building material and garden equipment and supplies dealers	3	T	55	
300445	Food and beverage stores	3	T	56	
300446	Health and personal care stores	3	T	57	
300447	Gasoline stations	3	T	58	
300448	Clothing and clothing accessories stores	3	T	59	
300451	Sporting goods, hobby, and musical instrument stores	3	T	60	
300452	General merchandise stores	3	T	61	
300453	Miscellaneous store retailers	3	T	62	
300454	Nonstore retailers	3	T	63	
300481	Air transportation	3	T	64	
300483	Water transportation	3	T	65	
300484	Truck transportation	3	T	66	
300485	Transit and ground passenger transportation	3	T	67	
300486	Pipeline transportation	3	T	68	
300487	Scenic and sightseeing transportation	3	T	69	
300488	Support activities for transportation	3	T	70	
300492	Couriers and messengers	3	T	71	
300493	Warehousing and storage	3	T	72	
300511	Publishing industries (except internet)	3	T	73	
300512	Motion picture and sound recording industries	3	T	74	
300515	Broadcasting (except internet)	3	T	75	
300517	Telecommunications	3	T	76	
300518	Data processing, hosting, and related services	3	T	77	
300519	Other information services	3	T	78	
300522	Credit intermediation and related activities	3	T	79	
300523	Securities, commodity contracts, and other financial investments	3	T	80	
300524	Insurance carriers and related activities	3	T	81	
300525	Funds, trusts, and other financial vehicles	3	T	82	
300531	Real estate	3	T	83	
300532	Rental and leasing services	3	T	84	
300533	Lessors of nonfinancial intangible assets (except copyrighted works)	3	T	85	
300541	Professional, scientific, and technical services	3	T	86	
300551	Management of companies and enterprises	3	T	87	
300561	Administrative and support services	3	T	88	
300562	Waste management and remediation services	3	T	89	
300611	Educational services	3	T	90	
300621	Ambulatory health care services	3	T	91	
300622	Hospitals	3	T	92	
300623	Nursing and residential care facilities	3	T	93	
300624	Social assistance	3	T	94	
300711	Performing arts, spectator sports, and related industries	3	T	95	
300712	Museums, historical sites, and similar institutions	3	T	96	
300713	Amusement, gambling, and recreation industries	3	T	97	
300721	Accommodation	3	T	98	
300722	Food services and drinking places	3	T	99	
300811	Repair and maintenance	3	T	100	
300812	Personal and laundry services	3	T	101	
300813	Religious, grantmaking, civic, professional, and similar organizations	3	T	102	
