industryocc_code	industryocc_title	display_level	selectable	sort_sequence            

000001	Occupational group	0 	F	1    
000002	Industry	0 	F	39   
000003	Region	0 	F	87   
000004	Union/Nonunion	0 	F	92   
000006	Metropolitan/Nonmetropolitan	0 	F	107  
000008	Aerospace	0 	F	110  
000009	Full-time/Part-time	0 	F	131  
000010	Establishment size	0 	F	161  
002000	1-99 workers	0 	T	162  
004000	100 or more workers	0 	T	167  
006000	100-499 workers	2 	T	172  
008000	500 or more workers	2 	T	177  
012000	1-99 workers, goods producing	1 	T	163  
014000	100 or more workers, goods producing	1 	T	168  
016000	100-499 workers, goods producing	3 	T	173  
018000	500 or more workers, goods producing	3 	T	178  
022000	1-99 workers, service producing	1 	T	164  
024000	100 or more workers, service producing	1 	T	169  
026000	100-499 workers, service producing	3 	T	174  
028000	500 or more workers, service producing	3 	T	179  
032000	1-99 workers, white collar	1 	T	165  
034000	100 or more workers, white collar	1 	T	170  
036000	100-499 workers, white collar	3 	T	175  
038000	500 or more workers, white collar	3 	T	180  
042000	1-99 workers, blue collar	1 	T	166  
044000	100 or more workers, blue collar	1 	T	171  
046000	100-499 workers, blue collar	3 	T	176  
048000	500 or more workers, blue collar	3 	T	181  
100000	All workers	0 	T	2    
101000	Production and nonsupervisory occupations	3 	T	21   
106000	Civilian workers, excluding sales	2 	T	3    
107000	Civilian white collar workers, excluding sales	3 	T	6    
110000	White collar workers	1 	T	5    
111000	Executive, administrative, and managerial	2 	T	13   
112000	Professional specialty and technical occupations	2 	T	8    
113000	Sales workers	2 	T	17   
114000	Administrative support, including clerical workers	2 	T	18   
115000	Professional specialty occupations	3 	T	9    
116000	Nurses	4 	T	10   
117000	Teachers	4 	T	11   
118000	Technical	3 	T	12   
120000	Blue collar occupations	1 	T	19   
121000	Precision production, craft, and repair occupation	2 	T	20   
122000	Machine operators, assemblers, and inspectors	2 	T	22   
123000	Transportation and material moving occupations	2 	T	23   
124000	Handlers, equipment cleaners, helpers, and laborer	2 	T	37   
130000	Service occupations	1 	T	38   
131000	Private industry workers, excluding sales	2 	T	4    
132000	Private industry white collar workers, excluding s	3 	T	7    
137000	Wholesale and retail trade occupations, excluding	3 	T	14   
138000	Finance, insurance, and real estate occupations, e	3 	T	16   
140000	Wholesale trade occupations, excluding sales	4 	T	15   
151000	White collar occupations, transportation equipment	3 	T	24   
152000	Professional and technical occupations, transporta	4 	T	29   
153000	Executive, administrative, and managerial occupati	4 	T	30   
154000	Blue collar occupations, transportation equipment	3 	T	31   
155000	Service occupations, transportation equipment	3 	T	36   
161000	White collar occupations, aicraft manufacturing	4 	T	25   
164000	Blue collar occupations, aircraft manufacturing	4 	T	32   
171000	White collar occupations, transportation and publi	3 	T	26   
174000	Blue collar occupations, transportation and public	3 	T	33   
181000	White collar occupations, communications	4 	T	27   
184000	Blue collar occupations, communications	4 	T	34   
191000	White collar occupations, utilities	4 	T	28   
194000	Blue collar occupations, utilities	4 	T	35   
200000	Goods producing industries	0 	T	40   
201000	Goods producing, excluding sales	2 	T	41   
202000	Goods producing, white collar occupations	1 	T	42   
203000	Goods producing, white collar occupations, excludi	3 	T	43   
204000	Goods producing, blue collar occupations	1 	T	44   
206000	Goods producing, service occupations	1 	T	45   
210000	Service producing industries	0 	T	53   
211000	Service producing, excluding sales	2 	T	54   
212000	Service producing, white collar occupations	1 	T	55   
213000	Service producing, white collar occupations, exclu	3 	T	56   
214000	Service producing, blue collar occupations	1 	T	57   
216000	Service producing, service occupations	1 	T	58   
220000	Nonmanufacturing	0 	T	82   
221000	Nonmanufacturing, white collar occupations	1 	T	83   
222000	Nonmanufacturing, white collar occupations, exclud	3 	T	84   
223000	Nonmanufacturing, blue collar occupations	1 	T	85   
225000	Nonmanufacturing, service occupations	1 	T	86   
230000	Construction	4 	T	46   
237000	Manufacturing, transportation equipment	6 	T	49   
238000	Manufacturing, aircraft	6 	T	50   
