industry_code	industry_text	display_level	selectable	sort_sequence
0000	All workers	0 	T	00001	
0100	Agricultural production-crops	3 	T	00004	
0110	Cash grains	4 	T	00005	
0130	Field crops, except cash grains	4 	T	00006	
0160	Vegetables and melons	4 	T	00007	
0170	Fruit and tree nuts	4 	T	00008	
0180	Horticultural specialties	4 	T	00009	
0190	General farms, primarily crop	4 	T	00010	
0200	Agricultural production-livestock	3 	T	00011	
0210	Livestock, except dairy and poultry	4 	T	00012	
0240	Dairy farms	4 	T	00013	
0250	Poultry and eggs	4 	T	00014	
0270	Animal specialties	4 	T	00015	
0290	General farms, primarily livestock and animal specialties	4 	T	00016	
0700	Agricultural services	3 	T	00017	
0720	Crop services	4 	T	00018	
0740	Veterinary services	4 	T	00019	
0750	Animal services except, veterinary	4 	T	00020	
0760	Farm labor and management services	4 	T	00021	
0780	Landscape and horticultural services	4 	T	00022	
0800	Forestry	3 	T	00023	
0810	Timber tracts	4 	T	00024	
0830	Forest products	4 	T	00025	
0850	Forestry services	4 	T	00026	
0900	Fishing, hunting, and trapping	3 	T	00027	
0910	Commercial fishing	4 	T	00028	
0920	Fish hatcheries and preserves	4 	T	00029	
0970	Hunting, trapping, game propagation	4 	T	00030	
1000	Metal mining	3 	T	00032	
1010	Iron ores	4 	T	00033	
1020	Copper ores	4 	T	00034	
1030	Lead and zinc ores	4 	T	00035	
1040	Gold and silver ores	4 	T	00036	
1060	Ferroalloy ores, except vanadium	4 	T	00037	
1090	Miscellaneous metal ores	4 	T	00038	
1200	Coal mining	3 	T	00039	
1220	Bituminous coal and lignite mining	4 	T	00040	
1230	Anthracite mining	4 	T	00041	
1300	Oil and gas extraction	3 	T	00042	
1310	Crude petroleum and natural gas	4 	T	00043	
1320	Natural gas liquids	4 	T	00044	
1380	Oil and gas field services	4 	T	00045	
1400	Nonmetallic minerals, except fuels	3 	T	00046	
1410	Dimension stone	4 	T	00047	
1420	Crushed and broken stone	4 	T	00048	
1440	Sand and gravel	4 	T	00049	
1450	Clay, ceramic, and refractory minerals	4 	T	00050	
1470	Chemical and fertilizer minerals	4 	T	00051	
1490	Miscellaneous nonmetallic minerals	4 	T	00052	
1500	General building contractors	3 	T	00054	
1520	Residential building construction	4 	T	00055	
1530	Operative builders	4 	T	00056	
1540	Nonresidential building construction	4 	T	00057	
1600	Heavy construction, except building	3 	T	00058	
1610	Highway and street construction	4 	T	00059	
1620	Heavy construction, except highway	4 	T	00060	
1700	Special trade contractors	3 	T	00061	
1710	Plumbing, heating, air-conditioning	4 	T	00062	
1720	Painting and paper hanging	4 	T	00063	
1730	Electrical work	4 	T	00064	
1740	Masonry, stonework, and plastering	4 	T	00065	
1750	Carpentry and floor work	4 	T	00066	
1760	Roofing, siding, and sheet metal work	4 	T	00067	
1770	Concrete work	4 	T	00068	
1780	Water well drilling	4 	T	00069	
1790	Miscellaneous special trade contractors	4 	T	00070	
2000	Food and kindred products	3 	T	00073	
2010	Meat products	4 	T	00074	
2011	Meat packing plants	5 	T	00075	
2013	Sausages and other prepared meats	5 	T	00076	
2015	Poultry slaughtering and processing	5 	T	00077	
2020	Dairy products	4 	T	00078	
2021	Creamery butter	5 	T	00079	
2022	Cheese, natural and processed	5 	T	00080	
2023	Dry, condensed, evaporated products	5 	T	00081	
2024	Ice cream and frozen desserts	5 	T	00082	
2026	Fluid milk	5 	T	00083	
2030	Preserved fruits and vegetables	4 	T	00084	
2032	Canned specialties	5 	T	00085	
2033	Canned fruits and vegetables	5 	T	00086	
2034	Dehydrated fruits, vegetables, soups	5 	T	00087	
2035	Pickles, sauces, and salad dressings	5 	T	00088	
2037	Frozen fruits and vegetables	5 	T	00089	
2038	Frozen specialties, n.e.c.	5 	T	00090	
2040	Grain mill products	4 	T	00091	
2041	Flour and other grain mill products	5 	T	00092	
2043	Cereal breakfast foods	5 	T	00093	
2044	Rice milling	5 	T	00094	
2045	Prepared flour mixes and doughs	5 	T	00095	
2046	Wet corn milling	5 	T	00096	
2047	Dog and cat food	5 	T	00097	
2048	Prepared feeds, n.e.c.	5 	T	00098	
2050	Bakery products	4 	T	00099	
2051	Bread, cake, and related products	5 	T	00100	
2052	Cookies and crackers	5 	T	00101	
