case_code	category_code	category_text
0	00	Total
1	00	Total
9	00	Total
E	00	All industries
O	00	All industries
S	00	All industries
T	00	All industries
E	01	All private industry
O	01	All private industry
S	01	All private industry
T	01	All private industry
E	09	Private industry division-- Agriculture
O	09	Private industry division-- Agriculture
S	09	Private industry division-- Agriculture
T	09	Private industry division-- Agriculture
E	10	Private industry division-- Mining
O	10	Private industry division-- Mining
S	10	Private industry division-- Mining
T	10	Private industry division-- Mining
E	20	Private industry division-- Construction
O	20	Private industry division-- Construction
S	20	Private industry division-- Construction
T	20	Private industry division-- Construction
E	30	Private industry division-- Manufacturing
O	30	Private industry division-- Manufacturing
S	30	Private industry division-- Manufacturing
T	30	Private industry division-- Manufacturing
E	40	Private industry division-- Transportation & public utilities
O	40	Private industry division-- Transportation & public utilities
S	40	Private industry division-- Transportation & public utilities
T	40	Private industry division-- Transportation & public utilities
E	45	Private industry division-- Wholesale and retail trade
O	45	Private industry division-- Wholesale and retail trade
S	45	Private industry division-- Wholesale and retail trade
T	45	Private industry division-- Wholesale and retail trade
E	50	Private industry division-- Wholesale trade
O	50	Private industry division-- Wholesale trade
S	50	Private industry division-- Wholesale trade
T	50	Private industry division-- Wholesale trade
E	60	Private industry division-- Retail trade
O	60	Private industry division-- Retail trade
S	60	Private industry division-- Retail trade
T	60	Private industry division-- Retail trade
E	70	Private industry division-- Finance, insurance, & real estate
O	70	Private industry division-- Finance, insurance, & real estate
S	70	Private industry division-- Finance, insurance, & real estate
T	70	Private industry division-- Finance, insurance, & real estate
E	80	Private industry division-- Services
O	80	Private industry division-- Services
S	80	Private industry division-- Services
T	80	Private industry division-- Services
E	90	All government
O	90	All government
S	90	All government
T	90	All government
E	93	Federal government
O	93	Federal government
S	93	Federal government
T	93	Federal government
E	95	State government
O	95	State government
S	95	State government
T	95	State government
E	97	Local government
O	97	Local government
S	97	Local government
T	97	Local government
0	AA	Age group-- Under 16
1	AA	Age group-- Under 16
9	AA	Age group-- Under 16
E	AA	Age group-- Under 16
O	AA	Age group-- Under 16
S	AA	Age group-- Under 16
T	AA	Age group-- Under 16
0	AB	Age group-- 16-17
1	AB	Age group-- 16-17
9	AB	Age group-- 16-17
E	AB	Age group-- 16-17
O	AB	Age group-- 16-17
S	AB	Age group-- 16-17
T	AB	Age group-- 16-17
0	AC	Age group-- 18-19
1	AC	Age group-- 18-19
9	AC	Age group-- 18-19
E	AC	Age group-- 18-19
O	AC	Age group-- 18-19
S	AC	Age group-- 18-19
T	AC	Age group-- 18-19
0	AD	Age group-- 20-24
1	AD	Age group-- 20-24
9	AD	Age group-- 20-24
E	AD	Age group-- 20-24
O	AD	Age group-- 20-24
S	AD	Age group-- 20-24
T	AD	Age group-- 20-24
0	AE	Age group-- 25-34
1	AE	Age group-- 25-34
9	AE	Age group-- 25-34
E	AE	Age group-- 25-34
O	AE	Age group-- 25-34
S	AE	Age group-- 25-34
T	AE	Age group-- 25-34
0	AF	Age group-- 35-44
1	AF	Age group-- 35-44
9	AF	Age group-- 35-44
E	AF	Age group-- 35-44
O	AF	Age group-- 35-44
S	AF	Age group-- 35-44
T	AF	Age group-- 35-44
0	AG	Age group-- 45-54
1	AG	Age group-- 45-54
9	AG	Age group-- 45-54
E	AG	Age group-- 45-54
O	AG	Age group-- 45-54
S	AG	Age group-- 45-54
T	AG	Age group-- 45-54
0	AH	Age group-- 55-64
1	AH	Age group-- 55-64
9	AH	Age group-- 55-64
E	AH	Age group-- 55-64
O	AH	Age group-- 55-64
S	AH	Age group-- 55-64
T	AH	Age group-- 55-64
0	AI	Age group-- 65 & older
1	AI	Age group-- 65 & older
9	AI	Age group-- 65 & older
E	AI	Age group-- 65 & older
O	AI	Age group-- 65 & older
S	AI	Age group-- 65 & older
T	AI	Age group-- 65 & older
0	E1	Event or exposure-- Shooting
1	E1	Event or exposure-- Shooting
9	E1	Event or exposure-- Shooting
O	E1	Event or exposure-- Shooting
S	E1	Event or exposure-- Shooting
T	E1	Event or exposure-- Shooting
0	E2	Event or exposure-- Other homicides
1	E2	Event or exposure-- Other homicides
9	E2	Event or exposure-- Other homicides
O	E2	Event or exposure-- Other homicides
S	E2	Event or exposure-- Other homicides
T	E2	Event or exposure-- Other homicides
0	E3	Event or exposure-- Self-inflicted injuries
1	E3	Event or exposure-- Self-inflicted injuries
9	E3	Event or exposure-- Self-inflicted injuries
O	E3	Event or exposure-- Self-inflicted injuries
S	E3	Event or exposure-- Self-inflicted injuries
T	E3	Event or exposure-- Self-inflicted injuries
0	E4	Event or exposure-- Other events or exposures
1	E4	Event or exposure-- Other events or exposures
9	E4	Event or exposure-- Other events or exposures
O	E4	Event or exposure-- Other events or exposures
S	E4	Event or exposure-- Other events or exposures
