industry_code	industry_text	display_level	selectable	sort_sequence
0000	All workers	0 	T	00001	
0111	Cash grains, wheat	5 	T	00006	
0112	Cash grains, rice	5 	T	00007	
0115	Cash grains, corn	5 	T	00008	
0116	Cash grains, soybeans	5 	T	00009	
0119	Cash grains, n.e.c.	5 	T	00010	
011X	Cash grains	4 	T	00005	
0131	Cotton	5 	T	00012	
0132	Tobacco	5 	T	00013	
0133	Sugarcane and sugar beets	5 	T	00014	
0134	Irish potatoes	5 	T	00015	
0139	Field crops, except cash grains, n.e.c.	5 	T	00016	
013X	Field crops, except cash grains	4 	T	00011	
016X	Vegetables and melons	4 	T	00017	
0171	Berry Crops	5 	T	00019	
0172	Grapes	5 	T	00020	
0173	Tree nuts	5 	T	00021	
0174	Citrus fruits	5 	T	00022	
0175	Deciduous tree fruits	5 	T	00023	
0179	Fruits and tree nuts, n.e.c.	5 	T	00024	
017X	Fruits and tree nuts	4 	T	00018	
0181	Ornamental floriculture and nursery products	5 	T	00026	
0182	Food crops grown under cover	5 	T	00027	
018X	Horticultural specialties	4 	T	00025	
019X	General farms, primarily crop	4 	T	00028	
01XX	Agricultural production-crops	3 	T	00004	
0211	Beef cattle feedlots	5 	T	00031	
0212	Beef cattle, except feedlots	5 	T	00032	
0213	Hogs	5 	T	00033	
0214	Sheep and goats	5 	T	00034	
0219	General livestock, except dairy and poultry	5 	T	00035	
021X	Livestock, except dairy and poultry	4 	T	00030	
024X	Dairy farms	4 	T	00036	
0251	Broiler, fryer, and roaster chicken	5 	T	00038	
0252	Chicken eggs	5 	T	00039	
0253	Turkey and turkey eggs	5 	T	00040	
0254	Poultry hatcheries	5 	T	00041	
0259	Poultry and eggs, n.e.c.	5 	T	00042	
025X	Poultry and eggs	4 	T	00037	
0271	Fur bearing animals and rabbits	5 	T	00044	
0272	Horses and other equines	5 	T	00045	
0273	Animal aquaculture	5 	T	00046	
0279	Animal specialties, n.e.c.	5 	T	00047	
027X	Animal specialties	4 	T	00043	
029X	General farms, primarily animal	4 	T	00048	
02XX	Agricultural production - livestock	3 	T	00029	
071X	Soil preparation services	4 	T	00050	
0721	Crop planting, cultivating, and protecting	5 	T	00052	
0722	Crop harvesting, primarily by machine	5 	T	00053	
0723	Crop preparation services for market, except cotton ginning	5 	T	00054	
0724	Cotton ginning	5 	T	00055	
072X	Crop services	4 	T	00051	
0741	Veterinary services for livestock	5 	T	00057	
0742	Veterinary services for animal specialties	5 	T	00058	
074X	Veterinary services	4 	T	00056	
0751	Livestock services, except veterinary	5 	T	00060	
0752	Animal specialty services, except veterinary	5 	T	00061	
075X	Animal services, except veterinary	4 	T	00059	
0761	Farm labor contractors and crew leaders	5 	T	00063	
0762	Farm management services	5 	T	00064	
076X	Farm labor and management services	4 	T	00062	
0781	Landscape counseling and planning	5 	T	00066	
0782	Lawn and garden services	5 	T	00067	
0783	Ornamental shrub and tree services	5 	T	00068	
078X	Landscape and horticultural services	4 	T	00065	
07XX	Agricultural services	3 	T	00049	
081X	Timber tracts	4 	T	00070	
083X	Forest products	4 	T	00071	
085X	Forestry services	4 	T	00072	
08XX	Forestry	3 	T	00069	
0912	Finfish	5 	T	00075	
0913	Shellfish	5 	T	00076	
0919	Miscellaneous marine products	5 	T	00077	
091X	Commercial fishing	4 	T	00074	
092X	Fish hatcheries and preserves	4 	T	00078	
097X	Hunting, trapping, game propagation	4 	T	00079	
09XX	Fishing, hunting, and trapping	3 	T	00073	
101X	Iron ores	4 	T	00082	
102X	Copper ores	4 	T	00083	
103X	Lead and zinc ores	4 	T	00084	
1041	Gold ores	5 	T	00086	
1044	Silver ores	5 	T	00087	
104X	Gold and silver ores	4 	T	00085	
106X	Ferroalloy ores, except vanadium	4 	T	00088	
108X	Metal mining services	4 	T	00089	
1094	Uranium-radium-vanadium ores	5 	T	00091	
1099	Miscellaneous metal ores, n.e.c.	5 	T	00092	
109X	Miscellaneous metal ores	4 	T	00090	
10XX	Metal mining	3 	T	00081	
1221	Bituminous coal and lignite surface mining	5 	T	00095	
1222	Bituminous coal underground mining	5 	T	00096	
122X	Bituminous coal and lignite mining	4 	T	00094	
123X	Anthracite mining	4 	T	00097	
124X	Coal mining services	4 	T	00098	
12XX	Coal mining	3 	T	00093	
131X	Crude petroleum and natural gas	4 	T	00100	
132X	Natural gas liquids	4 	T	00101	
1381	Drilling oil and gas wells	5 	T	00103	
1382	Oil and gas field exploration services	5 	T	00104	
1389	Oil and gas field services, n.e.c.	5 	T	00105	
138X	Oil and gas field services	4 	T	00102	
13XX	Oil and gas extraction	3 	T	00099	
141X	Dimension stone	4 	T	00107	
1422	Crushed and broken limestone	5 	T	00109	
1423	Crushed and broken granite	5 	T	00110	
1429	Crushed and broken stone, n.e.c.	5 	T	00111	
142X	Crushed and broken stone	4 	T	00108	
1442	Construction sand and gravel	5 	T	00113	
1446	Industrial sand	5 	T	00114	
144X	Sand and gravel	4 	T	00112	
1455	Kaolin and ball clay	5 	T	00116	
1459	Clay, ceramic, and refractory minerals, n.e.c.	5 	T	00117	
145X	Clay, ceramic, and refractory minerals	4 	T	00115	
1474	Potash, soda, and borate minerals	5 	T	00119	
1475	Phosphate rock	5 	T	00120	
1479	Chemical and fertilizer mineral mining, n.e.c.	5 	T	00121	
147X	Chemical and fertilizer minerals	4 	T	00118	
148X	Nonmetallic minerals services	4 	T	00122	
149X	Miscellaneous nonmetallic minerals	4 	T	00123	
14XX	Nonmetallic minerals, except fuels	3 	T	00106	
1521	Single-family homes	5 	T	00127	
1522	Residential buildings, other than single-family	5 	T	00128	
152X	Residential building construction	4 	T	00126	
153X	Operative builders	4 	T	00129	
1541	Industrial buildings and warehouses	5 	T	00131	
1542	Nonresidential buildings, other than industrial buildings and warehouses	5 	T	00132	
154X	Nonresidential building construction	4 	T	00130	
15XX	General building contractors	3 	T	00125	
161X	Highway and street construction	4 	T	00134	
1622	Bridge, tunnel, and elevated highway construction	5 	T	00136	
1623	Water, sewer, pipeline, and communications and power line construction	5 	T	00137	
1629	Heavy construction, n.e.c.	5 	T	00138	
162X	Heavy construction, except highway	4 	T	00135	
16XX	Heavy construction, except building	3 	T	00133	
171X	Plumbing, heating, air-conditioning	4 	T	00140	
172X	Painting and paper hanging	4 	T	00141	
173X	Electrical work	4 	T	00142	
1741	Masonry, stonesetting, and other stone work	5 	T	00144	
1742	Plastering, drywall, acoustical, and insulation work	5 	T	00145	
1743	Terrazzo, tile, marble, and mosaic work	5 	T	00146	
174X	Masonry, stonework, and plastering	4 	T	00143	
1751	Carpentry work	5 	T	00148	
1752	Floor laying and other floor work, n.e.c.	5 	T	00149	
175X	Carpentry and floor work	4 	T	00147	
176X	Roofing, siding, and sheet metal work	4 	T	00150	
177X	Concrete work	4 	T	00151	
178X	Water well drilling	4 	T	00152	
1791	Structural steel erection	5 	T	00154	
