occupation_code	occupation_text	display_level	selectable	sort_sequence
0000	All occupations	0 	T	00001
0030	Legislators	4 	T	00004
0040	Chief executives and general administrators, public administration	4 	T	00005
0050	Administrators and officials, public administration	4 	T	00006
0060	Administrators, protective services	4 	T	00007
0070	Financial managers	4 	T	00008
0080	Personnel and labor relations managers	4 	T	00009
0090	Purchasing managers	4 	T	00010
0130	Managers, marketing, advertising, and public relations	4 	T	00011
0140	Administrators, education and related fields	4 	T	00012
0150	Managers, medicine and health	4 	T	00013
0160	Postmasters and mail superintendents	4 	T	00014
0170	Managers, food serving and lodging establishments	4 	T	00015
0180	Managers, properties and real estate	4 	T	00016
0190	Funeral directors	4 	T	00017
01XX	Executive, administrative, and managerial	2 	T	00003
0210	Managers, service organizations, not elsewhere classified, n.e.c.	4 	T	00018
0220	Managers and administrators, n.e.c.	4 	T	00019
0230	Accountants and auditors	4 	T	00021
023X	Management related occupations	3 	T	00020
0240	Underwriters	4 	T	00022
0250	Other financial officers	4 	T	00023
0260	Management analysts	4 	T	00024
0270	Personnel, training, and labor relations specialists	4 	T	00025
0280	Purchasing agents and buyers, farm products	4 	T	00026
0290	Buyers, wholesale and retail trade exc. farm products	4 	T	00027
02XX	Professional specialty	2 	T	00033
0330	Purchasing agents and buyers, n.e.c.	4 	T	00028
0340	Business and promotion agents	4 	T	00029
0350	Construction inspectors	4 	T	00030
0360	Inspectors and compliance officers, exc. construction	4 	T	00031
0370	Management related occupations, n.e.c.	4 	T	00032
03XX	Technicians and related support occupations	2 	T	00154
0430	Architects	4 	T	00035
043X	Engineers, architects, and surveyors	3 	T	00034
0440	Aerospace engineers	4 	T	00037
044X	Engineers	3 	T	00036
0450	Metallurgical and materials engineers	4 	T	00038
0460	Mining engineers	4 	T	00039
0470	Petroleum engineers	4 	T	00040
0480	Chemical engineers	4 	T	00041
0490	Nuclear engineers	4 	T	00042
04XX	Sales occupations	2 	T	00180
0530	Civil engineers	4 	T	00043
0540	Agricultural engineers	4 	T	00044
0550	Electrical and electronic engineers	4 	T	00045
0560	Industrial engineers	4 	T	00046
0570	Mechanical engineers	4 	T	00047
0580	Marine and naval architects engineers	4 	T	00048
0590	Engineers, n.e.c.	4 	T	00049
05XX	Administrative support occupations, including clerical	2 	T	00207
0630	Surveyors and mapping scientists	4 	T	00050
0640	Computer systems analysts and scientists	4 	T	00052
064X	Mathematical and computer scientists	3 	T	00051
0650	Operations and systems researchers and analysts	4 	T	00053
0660	Actuaries	4 	T	00054
0670	Statisticians	4 	T	00055
0680	Mathematical scientists, n.e.c.	4 	T	00056
0690	Physicists and astronomers	4 	T	00058
069X	Natural scientists	3 	T	00057
0730	Chemists, exc. biochemists	4 	T	00059
0740	Atmospheric and space scientists	4 	T	00060
0750	Geologists and geodesists	4 	T	00061
0760	Physical scientists, n.e.c.	4 	T	00062
0770	Agricultural and food scientists	4 	T	00063
0780	Biological and life scientists	4 	T	00064
0790	Forestry and conservation scientists	4 	T	00065
07XX	Protective service occupations	2 	F	00279
0830	Medical scientists	4 	T	00066
0840	Physicians	4 	T	00068
084X	Health diagnosing occupations	3 	T	00067
0850	Dentists	4 	T	00069
0860	Veterinarians	4 	T	00070
0870	Optometrists	4 	T	00071
0880	Podiatrists	4 	T	00072
0890	Health diagnosing practitioners, n.e.c.	4 	T	00073
08XX	Service occupations, except protective service and household	2 	F	00294
0950	Registered nurses	4 	T	00075
095X	Health assessment and treating occupations	3 	T	00074
0960	Pharmacists	4 	T	00076
0970	Dietitians	4 	T	00077
0980	Respiratory therapists	4 	T	00078
0990	Occupational therapists	4 	T	00079
1030	Physical therapists	4 	T	00080
1040	Speech therapists	4 	T	00081
1050	Therapists, n.e.c.	4 	T	00082
1060	Physicians' assistants	4 	T	00083
1130	Earth, environmental, and marine science teachers, postsecondary	4 	T	00085
113X	Teachers, postsecondary	3 	T	00084
1140	Biological science teachers, postsecondary	4 	T	00086
1150	Chemistry teachers, postsecondary	4 	T	00087
1160	Physics teachers, postsecondary	4 	T	00088
1170	Natural science, n.e.c. teachers, postsecondary	4 	T	00089
1180	Psychology teachers, postsecondary	4 	T	00090
1190	Economics teachers, postsecondary	4 	T	00091
11XX	Construction trades	2 	T	00388
1230	History teachers, postsecondary	4 	T	00092
1240	Political science teachers, postsecondary	4 	T	00093
1250	Sociology teachers, postsecondary	4 	T	00094
1260	Social science, n.e.c. teachers, postsecondary	4 	T	00095
1270	Engineering teachers, postsecondary	4 	T	00096
1280	Mathematical science teachers, postsecondary	4 	T	00097
1290	Computer science teachers, postsecondary	4 	T	00098
12XX	Extractive occupations	2 	T	00425
1330	Medical science teachers, postsecondary	4 	T	00099
1340	Health specialities teachers, postsecondary	4 	T	00100
1350	Business, commerce, and marketing teachers, postsecondary	4 	T	00101
