source_code	source_text	display_level	selectable	sort_sequence
0000	All sources	0 	T	00001
00XX	Chemicals and chemical products, unspecified	2 	T	00003
010X	Acids, unspecified	3 	T	00005
0110	Acid gases, unspecified	4 	T	00007
0111	Hydrogen bromide	4 	T	00008
0112	Hydrogen chloride	4 	T	00009
0113	Hydrogen fluoride	4 	T	00010
0114	Hydrogen iodide	4 	T	00011
0119	Acid gases, n.e.c.	4 	T	00012
011X	Acid gases--halogen	3 	T	00006
0120	Inorganic acids--halogens, unspecified	4 	T	00014
0121	Hydriodic acid	4 	T	00015
0122	Hydrobromic acid	4 	T	00016
0123	Hydrochloric acid	4 	T	00017
0124	Hydrofluoric acid	4 	T	00018
0129	Inorganic acids--halogens, n.e.c.	4 	T	00019
012X	Inorganic acids--halogens	3 	T	00013
0130	Inorganic acids, unspecified	4 	T	00021
0131	Chlorine-containing oxyacids	4 	T	00022
0132	Nitric acid	4 	T	00023
0133	Phosphoric acid	4 	T	00024
0134	Sulfuric acid	4 	T	00025
0139	Inorganic acids, n.e.c.	4 	T	00026
013X	Inorganic acids--other	3 	T	00020
0140	Organic acids, unspecified	4 	T	00028
0141	Acetic acid, vinegar	4 	T	00029
0142	Acrylic acids	4 	T	00030
0143	Carbolic acids	4 	T	00031
0144	Hydrocyanic acid	4 	T	00032
0145	Peracetic acid	4 	T	00033
0146	Picric acid	4 	T	00034
0149	Organic acids, n.e.c.	4 	T	00035
014X	Organic acids	3 	T	00027
018X	Multiple acids	3 	T	00036
019X	Acids, n.e.c.	3 	T	00037
01XX	Acids	2 	T	00004
020X	Alkalies, unspecified	3 	T	00039
0210	Calcium hydroxide, calcium oxides, unspecified	4 	T	00041
0211	Cement, mortar mix--dry	4 	T	00042
0212	Cement, mortar--wet	4 	T	00043
0213	Lime	4 	T	00044
0219	Calcium hydroxide, calcium oxides, n.e.c.	4 	T	00045
021X	Calcium hydroxides, calcium oxides	3 	T	00040
0220	Carbonates--calcium, sodium, unspecified	4 	T	00047
0221	Limestone, calcium carbonate	4 	T	00048
0222	Sodium bicarbonate, baking soda	4 	T	00049
0223	Sodium carbonate, soda ash	4 	T	00050
0229	Carbonates, n.e.c.	4 	T	00051
022X	Carbonates--calcium, sodium	3 	T	00046
023X	Lithium hydroxide	3 	T	00052
024X	Sodium and potassium hydroxide, potassium carbonate	3 	T	00053
028X	Multiple alkalies	3 	T	00054
029X	Alkalies, n.e.c.	3 	T	00055
02XX	Alkalies	2 	T	00038
030X	Aromatics and hydrocarbon derivatives, except halogenated, unspecified	3 	T	00057
0310	Alcohol, unspecified	4 	T	00059
0311	Antifreeze	4 	T	00060
0312	Ethanol	4 	T	00061
0313	Ethylene glycol	4 	T	00062
0314	Fusel oil	4 	T	00063
0315	Methanol	4 	T	00064
0316	Propanol	4 	T	00065
0319	Alcohol, n.e.c.	4 	T	00066
031X	Alcohols	3 	T	00058
0320	Aldehydes, unspecified	4 	T	00068
0321	Acetaldehyde	4 	T	00069
0322	Acrolein	4 	T	00070
0323	Formaldehyde	4 	T	00071
0324	Formalin	4 	T	00072
0329	Aldehydes, n.e.c.	4 	T	00073
032X	Aldehydes	3 	T	00067
0330	Nonaromatic amines, unspecified	4 	T	00075
0331	Methyl amine	4 	T	00076
0339	Nonaromatic amines, n.e.c.	4 	T	00077
033X	Amines--nonaromatic	3 	T	00074
0340	Aromatics, unspecified	4 	T	00079
0341	Aniline and other aromatic amines	4 	T	00080
0342	Benzene	4 	T	00081
0343	Toluene	4 	T	00082
0344	Xylene	4 	T	00083
0349	Aromatics, n.e.c.	4 	T	00084
034X	Aromatics	3 	T	00078
0350	Ethers, unspecified	4 	T	00086
0351	Diethyl ether	4 	T	00087
0352	Dimethyl ether	4 	T	00088
0353	Ethylene oxide	4 	T	00089
0354	Methyl ethyl ether	4 	T	00090
0355	Vinyl ether	4 	T	00091
0359	Ethers, n.e.c.	4 	T	00092
035X	Ethers	3 	T	00085
0360	Ketones, unspecified	4 	T	00094
0361	Acetone	4 	T	00095
0362	Mesityl oxide	4 	T	00096
0363	Methyl ethyl ketone	4 	T	00097
0364	Methyl N-butyl ketone	4 	T	00098
0369	Ketones, n.e.c.	4 	T	00099
036X	Ketones	3 	T	00093
0370	Peroxides, unspecified	4 	T	00101
0371	Benzoyl peroxide	4 	T	00102
0372	Hydrogen peroxide	4 	T	00103
0373	Lithium peroxide	4 	T	00104
0374	Potassium peroxide	4 	T	00105
0375	Sodium peroxide	4 	T	00106
0379	Peroxides, n.e.c.	4 	T	00107
037X	Peroxides	3 	T	00100
038X	Multiple aromatics and hydrocarbon derivatives, except halogenated	3 	T	00108
0391	Nitro hydrocarbons	4 	T	00110
0399	Other aromatics and hydrocarbon derivatives, except halogenated, n.e.c.	4 	T	00111
039X	Aromatics and hydrocarbon derivatives, except halogenated, n.e.c.	3 	T	00109
