case_code	category_code	category_text
3	00X	All industry	
3	AAX	Age group (<14 yrs.)	
3	ABX	Age group (14 - 15 yrs.)	
3	ACX	Age group (16 - 19 yrs.)	
3	ADX	Age group (20 - 24 yrs.)	
3	AEX	Age group (25 - 34 yrs.)	
3	AFX	Age group (35 - 44 yrs.)	
3	AGX	Age group (45 - 54 yrs.)	
3	AHX	Age group (55 - 64 yrs.)	
3	AIX	Age group (65+ yrs.)	
3	AJX	Age group (not reported)	
3	DAX	DAFW (1 day)	
3	DBX	DAFW (2 days)	
3	DCX	DAFW (3 - 5 days)	
3	DDX	DAFW (6 - 10 days)	
3	DEX	DAFW (11 - 20 days)	
3	DFX	DAFW (21 - 30 days)	
3	DGX	DAFW (31+ days)	
3	EAX	Event (Total object contact)	
3	EBX	Event (Struck by object)	
3	ECX	Event (Struck against object)	
3	EDX	Event (Caught in object)	
3	EEX	Event (Highway accident)	
3	EFX	Event (Assaults by animals)	
3	EGX	Event (Fall to lower level)	
3	EHX	Event (Fall at same level)	
3	EIX	Event (Slips or trips)	
3	EJX	Event (Total overexertion)	
3	EKX	Event (Overexertion in lifting)	
3	ELX	Event (Repetitive motion)	
3	EMX	Event (Harmful exposure)	
3	ENX	Event (Transportation accident)	
3	ESX	Event (Fires and explosions)	
3	ETX	Event (Total assaults)	
3	EUX	Event (Assaults by person)	
3	EXX	Event (All other assaults)	
3	EYX	Event (All other events)	
3	GFX	Gender (Female)	
3	GMX	Gender (Male)	
3	GNX	Gender (Not reported)	
3	HAX	Hours (before shift began)	
3	HBX	Hours (less than 1 hour)	
3	HCX	Hours (1 -2 hours)	
3	HDX	Hours (2 - 4 hours)	
3	HEX	Hours (4 - 6 hours)	
3	HFX	Hours (6 - 8 hours)	
3	HGX	Hours (8 - 10 hours)	
3	HHX	Hours (10 - 12 hours)	
3	HIX	Hours (12 - 16 hours)	
3	HJX	Hours (more than 16 hours)	
3	HKX	Hours (not reported)	
3	LAX	LOS (< 3 mos.)	
3	LBX	LOS (3- 11 mos.)	
3	LCX	LOS (1 - 5 yrs.)	
3	LDX	LOS (5 yrs.)	
3	LEX	LOS (Not reported)	
3	MSD	Musculoskeletal disorders	
3	NAX	Nature (Sprain, Strains)	
3	NBX	Nature (Fractures)	
3	NCX	Nature (Cuts, lacerations, punctures)	
3	NDX	Nature (Cuts, lacerations)	
3	NEX	Nature (Bruises)	
3	NFX	Nature (Punctures)	
3	NGX	Nature (Heat burns)	
3	NHX	Nature (Chemical burns)	
3	NIX	Nature (Amputations)	
3	NJX	Nature (Carpal Tunnel Syndrome)	
3	NKX	Nature (Tendonitis)	
3	NLX	Nature (Total multiple trauma)	
3	NMX	Nature (With fractures)	
3	NNX	Nature (With sprains)	
3	NOX	Nature (Total back pain, etc)	
3	NPX	Nature (Back pain, hurt back only)	
3	NTX	Nature (All other nature)	
3	O10	Occupation - Management, Business, and Financial Occupations (11--13)	
3	O20	Occupation - Professional and Related Occupations (15--29)	
3	O30	Occupation - Service Occupations (31--39)	
3	O41	Occupation - Sales and Related Occupations	
3	O43	Occupation - Office and Administrative Support Occupations	
3	O45	Occupation - Farming, Fishing, and Forestry Occupations	
3	O47	Occupation - Construction and Extraction Occupations	
3	O49	Occupation - Installation, Maintenance, and Repair Occupations	
3	O51	Occupation - Production Occupations	
3	O53	Occupation - Transportation and Material Moving Occupations	
3	PAX	Part (Total head)	
3	PBX	Part (Eyes)	
3	PCX	Part (Neck)	
3	PDX	Part (Total trunk)	
3	PEX	Part (Back)	
3	PFX	Part (Shoulder)	
3	PGX	Part (Total upper)	
3	PHX	Part (Finger)	
3	PIX	Part (Hand)	
3	PJX	Part (Wrist)	
3	PKX	Part (Total lower)	
3	PLX	Part (Knee)	
3	PMX	Part (Foot, toe)	
3	PNX	Part (Body systems)	
3	POX	Part (Multiple)	
3	PPX	Part (All other part)	
3	PQX	Part (Arm)	
3	PRX	Part (Ankle)	
3	RAX	Race (American Indian or Alaska native)	
3	RBX	Race (Asian)	
3	RCX	Race (Black or African American)	
3	RDX	Race (Hispanic or Latino)	
3	REX	Race (Native Hawaiian or Other Pacific Islander)	
3	RFX	Race (White)	
3	RGX	Race (Not reported)	
3	RHX	Race (Multi-race)	
3	RIX	Race (Hispanic and other)	
3	SAX	Source (Chemicals)	
3	SBX	Source (Containers)	
3	SCX	Source (Furniture)	
3	SDX	Source (Machinery)	
3	SEX	Source (Parts and materials)	
3	SFX	Source (Worker motion)	
3	SGX	Source (Floors)	
3	SHX	Source (Hand tools)	
3	SIX	Source (Vehicles)	
3	SJX	Source (Health care patient)	
3	SKX	Source (All other source)	
3	SLX	Source (Person, injured or ill worker)	
3	SMX	Source (Person, other than injured or ill worker)	
3	TAX	Time (12:01AM - 4:00AM)	
3	TBX	Time (4:01AM - 8:00AM)	
3	TCX	Time (8:01AM - 12Noon)	
3	TDX	Time (12:01PM - 4:00PM)	
3	TEX	Time (4:01PM - 8:00PM)	
3	TFX	Time (8:01PM - 12Midnight)	
3	TGX	Time (not reported)	
3	WAX	Weekday (Sunday)	
3	WBX	Weekday (Monday)	
3	WCX	Weekday (Tuesday)	
3	WDX	Weekday (Wednesday)	
3	WEX	Weekday (Thursday)	
3	WFX	Weekday (Friday)	
3	WGX	Weekday (Saturday)	
A	00X	All industry	
A	ADW	Industry - Administration and support and waste management	
A	AER	Industry - Arts, entertainment, and recreation	
A	AFH	Industry - Agriculture, forestry, fishing, and hunting	
A	AFS	Industry - Accommodation and food services	
A	CON	Industry - Construction	
A	DAX	DAFW (1 day)	
A	DBX	DAFW (2 days)	
A	DCX	DAFW (3 - 5 days)	
A	DDX	DAFW (6 - 10 days)	
A	DEX	DAFW (11 - 20 days)	
A	DFX	DAFW (21 - 30 days)	
A	DGX	DAFW (31+ days)	
A	EAX	Event (Total object contact)	
A	EBX	Event (Struck by object)	
A	ECX	Event (Struck against object)	
A	EDS	Industry - Educational services	
A	EDX	Event (Caught in object)	
A	EEX	Event (Highway accident)	
A	EFX	Event (Assaults by animals)	
A	EGX	Event (Fall to lower level)	
A	EHS	Industry - Education and health services	
A	EHX	Event (Fall at same level)	
A	EIX	Event (Slips or trips)	
A	EJX	Event (Total overexertion)	
A	EKX	Event (Overexertion in lifting)	
A	ELX	Event (Repetitive motion)	
A	EMX	Event (Harmful exposure)	
A	ENX	Event (Transportation accident)	
A	ESX	Event (Fires and explosions)	
A	ETX	Event (Total assaults)	
A	EUX	Event (Assaults by person)	
A	EXX	Event (All other assaults)	
A	EYX	Event (All other events)	
A	FIA	Industry - Financial activities	
A	FIN	Industry - Finance and insurance	
A	GFX	Gender (Female)	
A	GMX	Gender (Male)	
A	GNX	Gender (Not reported)	
A	GP1	Industry - Goods producing	
A	HAS	Industry - Health care and social assistance	
A	HAX	Hours (before shift began)	
A	HBX	Hours (less than 1 hour)	
A	HCX	Hours (1 -2 hours)	
A	HDX	Hours (2 - 4 hours)	
A	HEX	Hours (4 - 6 hours)	
A	HFX	Hours (6 - 8 hours)	
A	HGX	Hours (8 - 10 hours)	
A	HHX	Hours (10 - 12 hours)	
A	HIX	Hours (12 - 16 hours)	
A	HJX	Hours (more than 16 hours)	
A	HKX	Hours (not reported)	
A	INF	Industry - Information	
A	LAX	LOS (< 3 mos.)	
A	LBX	LOS (3- 11 mos.)	
A	LCX	LOS (1 - 5 yrs.)	
A	LDX	LOS (5 yrs.)	
A	LEH	Industry - Leisure and hospitality	
A	LEX	LOS (Not reported)	
A	MCE	Industry - Management of companies and enterprises	
A	MFG	Industry - Manufacturing	
A	MIN	Industry - Mining	
A	MSD	Musculoskeletal disorders	
A	NAX	Nature (Sprain, Strains)	
A	NBX	Nature (Fractures)	
A	NCX	Nature (Cuts, lacerations, punctures)	
A	NDX	Nature (Cuts, lacerations)	
A	NEX	Nature (Bruises)	
A	NFX	Nature (Punctures)	
A	NGX	Nature (Heat burns)	
A	NHX	Nature (Chemical burns)	
A	NIX	Nature (Amputations)	
A	NJX	Nature (Carpal Tunnel Syndrome)	
A	NKX	Nature (Tendonitis)	
A	NLX	Nature (Total multiple trauma)	
A	NMX	Nature (With fractures)	
A	NNX	Nature (With sprains)	
A	NOX	Nature (Total back pain, etc)	
A	NPX	Nature (Back pain, hurt back only)	
A	NRM	Industry - Natural resources	
A	NTX	Nature (All other nature)	
A	O10	Occupation - Management, Business, and Financial Occupations (11--13)	
A	O20	Occupation - Professional and Related Occupations (15--29)	
A	O30	Occupation - Service Occupations (31--39)	
A	O41	Occupation - Sales and Related Occupations	
A	O43	Occupation - Office and Administrative Support Occupations	
A	O45	Occupation - Farming, Fishing, and Forestry Occupations	
A	O47	Occupation - Construction and Extraction Occupations	
A	O49	Occupation - Installation, Maintenance, and Repair Occupations	
A	O51	Occupation - Production Occupations	
A	O53	Occupation - Transportation and Material Moving Occupations	
A	OTS	Industry - Other services	
A	PAD	Public Administration	
A	PAX	Part (Total head)	
A	PBS	Industry - Professional business services	
A	PBX	Part (Eyes)	
A	PCX	Part (Neck)	
A	PDX	Part (Total trunk)	
A	PEX	Part (Back)	
A	PFX	Part (Shoulder)	
A	PGX	Part (Total upper)	
A	PHX	Part (Finger)	
A	PIX	Part (Hand)	
A	PJX	Part (Wrist)	
A	PKX	Part (Total lower)	
A	PLX	Part (Knee)	
A	PMX	Part (Foot, toe)	
A	PNX	Part (Body systems)	
A	POX	Part (Multiple)	
A	PPX	Part (All other part)	
A	PQX	Part (Arm)	
A	PRX	Part (Ankle)	
A	PST	Industry - Professional, scientific, and technical services	
A	RAX	Race (American Indian or Alaska native)	
A	RBX	Race (Asian)	
