case_code	category_code	category_text	display_level	selectable	sort_sequence
3	00X	All industry	0	T	1	
3	ABX	Age group (14 - 15 yrs.)	0	T	16	
3	ACX	Age group (16 - 19 yrs.)	0	T	17	
3	ADX	Age group (20 - 24 yrs.)	0	T	18	
3	AEX	Age group (25 - 34 yrs.)	0	T	19	
3	AFX	Age group (35 - 44 yrs.)	0	T	20	
3	AGX	Age group (45 - 54 yrs.)	0	T	21	
3	AHX	Age group (55 - 64 yrs.)	0	T	22	
3	AIX	Age group (65+ yrs.)	0	T	23	
3	AJX	Age group (not reported)	0	T	24	
3	DAX	DAFW (1 day)	0	T	25	
3	DBX	DAFW (2 days)	0	T	26	
3	DCX	DAFW (3 - 5 days)	0	T	27	
3	DDX	DAFW (6 - 10 days)	0	T	28	
3	DEX	DAFW (11 - 20 days)	0	T	29	
3	DFX	DAFW (21 - 30 days)	0	T	30	
3	DGX	DAFW (31+ days)	0	T	31	
3	E11	Event - Intentional injury by other person	0	T	32	
3	E12	Event - Injury by person-unintentional or intent unknown	0	T	33	
3	E13	Event - Animal and insect related incidents	0	T	34	
3	E1X	Event - Violence and other injuries by persons or animal	0	T	35	
3	E26	Event - Roadway incidents involving motorized land vehicles	0	T	36	
3	E2X	Event - Transportation incidents	0	T	37	
3	E3X	Event - Fires and explosions	0	T	38	
3	E41	Event - Slips, trips without fall	0	T	39	
3	E42	Event - Fall on same level	0	T	40	
3	E43	Event - Fall to lower level	0	T	41	
3	E4X	Event - Falls, slips, trips	0	T	42	
3	E5X	Event - Exposure to harmful substances or enviroments	0	T	43	
3	E62	Event - Struck by object or equipment	0	T	44	
3	E63	Event - Struck against object or equipment	0	T	45	
3	E64	Event - Caught in or compressed by object or equipment	0	T	46	
3	E6X	Event - Contact with object, equipment	0	T	47	
3	E72	Event - Repetitive motion involving microtasks	0	T	48	
3	E7A	Event - Overexertion in lifting or lowering	0	T	49	
3	E7X	Event - Overexertion and bodily reaction	0	T	50	
3	EXX	Event - all other	0	T	51	
3	GFX	Gender (Female)	0	T	52	
3	GMX	Gender (Male)	0	T	53	
3	GNX	Gender (Not reported)	0	T	54	
3	HAX	Hours (before shift began)	0	T	55	
3	HBX	Hours (less than 1 hour)	0	T	56	
3	HCX	Hours (1 -2 hours)	0	T	57	
3	HDX	Hours (2 - 4 hours)	0	T	58	
3	HEX	Hours (4 - 6 hours)	0	T	59	
3	HFX	Hours (6 - 8 hours)	0	T	60	
3	HGX	Hours (8 - 10 hours)	0	T	61	
3	HHX	Hours (10 - 12 hours)	0	T	62	
3	HIX	Hours (12 - 16 hours)	0	T	63	
3	HJX	Hours (more than 16 hours)	0	T	64	
3	HKX	Hours (not reported)	0	T	65	
3	LAX	LOS (< 3 mos.)	0	T	66	
3	LBX	LOS (3 - 11 mos.)	0	T	67	
3	LCX	LOS (1 - 5 yrs.)	0	T	68	
3	LDX	LOS (5 yrs.)	0	T	69	
3	LEX	LOS (Not reported)	0	T	70	
3	MSD	Musculoskeletal disorders	0	T	71	
3	N1A	Nature - Fractures	0	T	72	
3	N1B	Nature - Sprains, strains, tears	0	T	73	
3	N1C	Nature - Amputations	0	T	74	
3	N1D	Nature - Bruise, contusions	0	T	75	
3	N1E	Nature - Chemical burns and corrosions	0	T	76	
3	N1F	Nature - Heat (thermal) burns	0	T	77	
3	N1G	Nature - Soreness, pain	0	T	78	
3	N21	Nature - Cuts, lacerations	0	T	79	
3	N22	Nature - Punctures (except gunshot wounds)	0	T	80	
3	N2X	Nature - Cuts, lacerations, punctures	0	T	81	
3	N3A	Nature - Carpal tunnel syndrome	0	T	82	
3	N3B	Nature - Tendonitis	0	T	83	
3	N81	Nature - With sprains	0	T	84	
3	N82	Nature - With fractures	0	T	85	
3	N8X	Nature - Multiple traumatic injuries	0	T	86	
3	NXX	Nature - all other	0	T	87	
3	O10	Occupation - Management, Business, and Financial Occupations (11-13)	0	T	88	
3	O23	Occupation - Computer, Engineering, and Science Occupations (15-19)	0	T	90	
3	O25	Occupation - Education, Legal, Community Service, Arts, and Media Occupations (21-27)	0	T	91	
3	O27	Occupation - Healthcare Practitioners and Technical Occupations (29)	0	T	92	
3	O30	Occupation - Service Occupations (31-39)	0	T	93	
3	O41	Occupation - Sales and Related Occupations	0	T	94	
3	O43	Occupation - Office and Administrative Support Occupations	0	T	95	
3	O45	Occupation - Farming, Fishing, and Forestry Occupations	0	T	96	
3	O47	Occupation - Construction and Extraction Occupations	0	T	97	
3	O49	Occupation - Installation, Maintenance, and Repair Occupations	0	T	98	
3	O51	Occupation - Production Occupations	0	T	99	
3	O53	Occupation - Transportation and Material Moving Occupations	0	T	100	
3	P11	Part - Eye	0	T	101	
3	P1X	Part - Head	0	T	102	
3	P2X	Part - Neck	0	T	103	
3	P32	Part - Back	0	T	104	
3	P3X	Part - Trunk	0	T	105	
