event_code	event_text	display_level	selectable	sort_sequence
000000	All events and exposures	0	T	1	
10XXXX	Violence and other injuries by persons or animals, unspecified	2	T	3	
110XXX	Intentional injury by person, unspecified	3	T	5	
1110XX	Intentional injury by other person, unspecified	4	T	7	
1111XX	Shooting by other person--intentional	4	T	8	
1112XX	Stabbing, cutting, slashing, piercing	4	T	9	
1113XX	Hitting, kicking, beating, shoving	4	T	10	
1114XX	Strangulation by other person	4	T	11	
1115XX	Bombing, arson	4	T	12	
1116XX	Rape, sexual assault	4	T	13	
1117XX	Threat, verbal assault	4	T	14	
1118XX	Multiple violent acts by other person	4	T	15	
1119XX	Intentional injury by other person, n.e.c.	4	T	16	
111XXX	Intentional injury by other person	3	T	6	
1129XX	Self-inflicted injury--intentional, n.e.c.	4	T	25	
112XXX	Self-inflicted injury--intentional	3	T	17	
11XXXX	Intentional injury by person	2	T	4	
120XXX	Injury by person--unintentional or intent unknown, unspecified	3	T	27	
1210XX	Injury by other person--unintentional or intent unknown, unspecified	4	T	29	
1211XX	Shooting by other person--unintentional	4	T	30	
1212XX	Injured by physical contact with other person in sporting event or physical training	4	T	31	
1213XX	Injured by physical contact during horseplay	4	T	32	
1214XX	Injured by physical contact with person while restraining, subduing--unintentional	4	T	33	
1215XX	Injured by physical contact with person while moving that person--unintentional	4	T	34	
1218XX	Multiple unintentional injuries by other person	4	T	35	
1219XX	Injury by other person--unintentional or intent unknown, n.e.c.	4	T	36	
121XXX	Injury by other person--unintentional or intent unknown	3	T	28	
1221XX	Self-inflicted shooting--unintentional	4	T	39	
1223XX	Self-tasered--unintentional	4	T	41	
1229XX	Self-inflicted injury--unintentional or intent unknown, n.e.c.	4	T	43	
122XXX	Self-inflicted injury--unintentional or intent unknown	3	T	37	
129XXX	Injury by person--unintentional or intent unknown, n.e.c.	3	T	44	
12XXXX	Injury by person--unintentional or intent unknown	2	T	26	
130XXX	Animal and insect related incidents, unspecified	3	T	46	
1310XX	Bites and stings, unspecified	4	T	48	
1311XX	Stings and venomous bites	4	T	49	
1312XX	Nonvenomous insect bites	4	T	50	
1313XX	Other animal bites, nonvenomous	4	T	51	
1319XX	Bites and stings, n.e.c.	4	T	52	
131XXX	Bites and stings	3	T	47	
1320XX	Struck by animal, unspecified	4	T	54	
1321XX	Trampled by or stepped on by animal	4	T	55	
1322XX	Kicked by animal	4	T	56	
1323XX	Mauled, clawed, or scratched by animal	4	T	57	
1324XX	Gored or rammed by animal	4	T	58	
1329XX	Struck by animal, n.e.c.	4	T	59	
132XXX	Struck by animal	3	T	53	
1380XX	Multiple types of animal and insect incidents, unspecified	4	T	61	
1381XX	Bitten and struck by animal	4	T	62	
1389XX	Multiple types of animal and insect incidents, n.e.c.	4	T	63	
138XXX	Multiple types of animal and insect incidents	3	T	60	
139XXX	Animal and insect related incidents, n.e.c.	3	T	64	
13XXXX	Animal and insect related incidents	2	T	45	
1XXXXX	VIOLENCE AND OTHER INJURIES BY PERSONS OR ANIMALS	1	T	2	
20XXXX	Transportation incident, unspecified	2	T	66	
2120XX	Aircraft crash during takeoff or landing, unspecified	4	T	71	
2121XX	Aircraft crash during takeoff or landing--due to mechanical failure	4	T	72	
212XXX	Aircraft crash during takeoff or landing	3	T	70	
2151XX	Other in-flight crash due to mechanical failure	4	T	81	
215XXX	Other in-flight crash	3	T	79	
217XXX	Fall on aircraft during transport	3	T	86	
219XXX	Aircraft incident, n.e.c.	3	T	87	
21XXXX	Aircraft incidents	2	T	67	
220XXX	Rail vehicle incident, unspecified	3	T	89	
2210XX	Rail vehicle collision, unspecified	4	T	91	
2211XX	Collision between two rail vehicles	4	T	92	
2212XX	Collision between rail and roadway vehicles	4	T	93	
2219XX	Rail vehicle collision, n.e.c.	4	T	94	
221XXX	Collision between rail vehicle and another vehicle	3	T	90	
222XXX	Derailment	3	T	95	
226XXX	Fall on rail vehicle--transportation incident	3	T	99	
227XXX	Pedestrian struck by rail vehicle--transportation incident	3	T	100	
229XXX	Rail vehicle incident, n.e.c.	3	T	101	
22XXXX	Rail vehicle incidents	2	T	88	
2311XX	Animal transportation collision in roadway	4	T	106	
2312XX	Animal transportation collision in nonroadway area	4	T	107	
2313XX	Thrown, fell, or jumped from animal being ridden	4	T	108	
2314XX	Thrown, tipped, or fell from animal-drawn vehicle	4	T	109	
2319XX	Animal transportation incident, n.e.c.	4	T	111	
231XXX	Animal transportation incident	3	T	104	
2320XX	Pedal cycle incident, unspecified	4	T	113	
2321XX	Pedal cycle collision in roadway	4	T	114	
2322XX	Pedal cycle collision in nonroadway area	4	T	115	
2323XX	Fall from pedal cycle	4	T	116	
2324XX	Pedal cycle struck bump, hole, or other rough terrain	4	T	117	
2329XX	Pedal cycle incident, n.e.c	4	T	118	
232XXX	Pedal cycle incident	3	T	112	
23XXXX	Animal and other non-motorized vehicle transportation incidents	2	T	102	
240XXX	Pedestrian vehicular incident, unspecified	3	T	121	
2410XX	Pedestrian struck by vehicle in work zone, unspecified	4	T	123	
2411XX	Pedestrian struck by vehicle propelled by another vehicle in work zone	4	T	124	
2412XX	Pedestrian struck by forward-moving vehicle in work zone	4	T	125	
2413XX	Pedestrian struck by vehicle backing up in work zone	4	T	126	
2419XX	Pedestrian struck by vehicle in work zone, n.e.c.	4	T	127	
241XXX	Pedestrian struck by vehicle in work zone	3	T	122	
2420XX	Pedestrian struck by vehicle in roadway, unspecified	4	T	129	
2421XX	Pedestrian struck by vehicle propelled by another vehicle in roadway	4	T	130	
2422XX	Pedestrian struck by forward-moving vehicle in roadway	4	T	131	
2423XX	Pedestrian struck by vehicle backing up in roadway	4	T	132	
2429XX	Pedestrian struck by vehicle in roadway, n.e.c.	4	T	133	
242XXX	Pedestrian struck by vehicle in roadway	3	T	128	
2430XX	Pedestrian struck by vehicle on side of road, unspecified	4	T	135	
2431XX	Pedestrian struck by vehicle propelled by another vehicle on side of road	4	T	136	
2432XX	Pedestrian struck by forward-moving vehicle on side of road	4	T	137	
2433XX	Pedestrian struck by vehicle backing up on side of road	4	T	138	
2439XX	Pedestrian struck by vehicle on side of road, n.e.c.	4	T	139	
243XXX	Pedestrian struck by vehicle on side of road	3	T	134	
2440XX	Pedestrian struck by vehicle in nonroadway area, unspecified	4	T	141	
2441XX	Pedestrian struck by vehicle propelled by another vehicle in  nonroadway area	4	T	142	
2442XX	Pedestrian struck by forward-moving vehicle in nonroadway area	4	T	143	
2443XX	Pedestrian struck by vehicle backing up in nonroadway area	4	T	144	
2449XX	Pedestrian struck by vehicle in nonroadway area, n.e.c.	4	T	145	
244XXX	Pedestrian struck by vehicle in nonroadway area	3	T	140	
249XXX	Pedestrian vehicular incident, n.e.c.	3	T	146	
