industry_code	industry_text	display_level	selectable	sort_sequence
000000	All Industry	0	T	1	
1111XX	Oilseed and grain farming	5	T	6	
1112XX	Vegetable and melon farming	5	T	16	
11131X	Orange groves	6	T	21	
11133X	Noncitrus fruit and tree nut farming	6	T	23	
1113XX	Fruit and tree nut farming	5	T	20	
111411	Mushroom production	7	T	33	
11141X	Food crops grown under cover	6	T	32	
1114XX	Greenhouse and nursery production	5	T	31	
1119XX	Other crop farming	5	T	38	
111XXX	Crop production	4	T	5	
11211X	Beef cattle ranching farming and feedlots	6	T	49	
11212X	Dairy cattle and milk production	6	T	52	
1121XX	Cattle ranching and farming	5	T	48	
1122XX	Hog and pig farming	5	T	54	
1123XX	Poultry and egg production	5	T	56	
1125XX	Aquaculture	5	T	65	
1129XX	Other animal production	5	T	70	
112XXX	Animal production and aquaculture(title changed in 2014)	4	T	47	
1132XX	Forest nursery and gathering forest products	5	T	78	
1133XX	Logging	5	T	80	
113XXX	Forestry and logging	4	T	75	
1141XX	Fishing	5	T	83	
114XXX	Fishing hunting and trapping	4	T	82	
115111	Cotton ginning	7	T	93	
115112	Soil preparation planting and cultivating	7	T	94	
115113	Crop harvesting primarily by machine	7	T	95	
115114	Other postharvest crop activities	7	T	96	
115115	Farm labor contractors and crew leaders	7	T	97	
115116	Farm management services	7	T	98	
11511X	Support activities for crop production	6	T	92	
1151XX	Support activities for crop production	5	T	91	
1152XX	Support activities for animal production	5	T	99	
1153XX	Support activities for forestry	5	T	101	
115XXX	Agriculture and forestry support activities	4	T	90	
211111	Crude petroleum and natural gas extraction	7	T	107	
211112	Natural gas liquid extraction	7	T	108	
21111X	Oil and gas extraction	6	T	106	
2111XX	Oil and gas extraction	5	T	105	
211XXX	Oil and gas extraction	4	T	104	
212111	Bituminous coal and lignite surface mining	7	T	112	
212112	Bituminous coal underground mining	7	T	113	
212113	Anthracite mining	7	T	114	
21211X	Coal mining	6	T	111	
2121XX	Coal mining	5	T	110	
21221X	Iron ore mining	6	T	116	
212221	Gold ore mining	7	T	118	
212222	Silver ore mining	7	T	119	
21222X	Gold ore and silver ore mining	6	T	117	
212231	Lead ore and zinc ore mining	7	T	121	
212234	Copper ore and nickel ore mining	7	T	122	
21223X	Copper nickel lead and zinc mining	6	T	120	
212299	All other metal ore mining	7	T	125	
21229X	Other metal ore mining	6	T	123	
2122XX	Metal ore mining	5	T	115	
212311	Dimension stone mining and quarrying	7	T	128	
212312	Crushed and broken limestone mining	7	T	129	
212313	Crushed and broken granite mining	7	T	130	
212319	Other crushed and broken stone mining	7	T	131	
21231X	Stone mining and quarrying	6	T	127	
212321	Construction sand and gravel mining	7	T	133	
212324	Kaolin and ball clay mining	7	T	135	
212325	Clay ceramic and refractory minerals mining	7	T	136	
21232X	Sand gravel clay and refractory mining	6	T	132	
212391	Potash soda and borate mineral mining	7	T	138	
212392	Phosphate rock mining	7	T	139	
212393	Other chemical and fertilizer mineral mining	7	T	140	
212399	All other nonmetallic mineral mining	7	T	141	
21239X	Other nonmetallic mineral mining	6	T	137	
2123XX	Nonmetallic mineral mining and quarrying	5	T	126	
212XXX	Mining except oil and gas	4	T	109	
213111	Drilling oil and gas wells	7	T	145	
213112	Support activities for oil and gas operations	7	T	146	
21311X	Support activities for mining	6	T	144	
2131XX	Support activities for mining	5	T	143	
213XXX	Support activities for mining	4	T	142	
221111	Hydroelectric power generation	7	T	971	
221112	Fossil fuel electric power generation	7	T	972	
221113	Nuclear electric power generation	7	T	973	
221119	Other Electric Power Generation(discontinued in 2014)	1	T	979	
22111X	Electric power generation	6	T	970	
221122	Electric power distribution	7	T	982	
22112X	Electric power transmission and distribution	6	T	980	
2211XX	Power generation and supply	5	T	969	
2212XX	Natural gas distribution	5	T	983	
22131X	Water supply and irrigation systems	6	T	986	
22132X	Sewage treatment facilities	6	T	987	
22133X	Steam and air-conditioning supply	6	T	988	
2213XX	Water sewage and other systems	5	T	985	
221XXX	Utilities	4	T	968	
236115	New single-family general contractors(title changed in 2014)	7	T	155	
23611X	Residential building construction	6	T	154	
2361XX	Residential building construction	5	T	153	
23621X	Industrial building construction	6	T	160	
23622X	Commercial building construction	6	T	161	
2362XX	Nonresidential building construction	5	T	159	
236XXX	Construction of buildings	4	T	152	
23711X	Water and sewer system construction	6	T	164	
23712X	Oil and gas pipeline construction	6	T	165	
23713X	Power and communication system construction	6	T	166	
2371XX	Utility system construction	5	T	163	
2372XX	Land subdivision	5	T	167	
2373XX	Highway street and bridge construction	5	T	169	
2379XX	Other heavy construction	5	T	171	
237XXX	Heavy and civil engineering construction	4	T	162	
23811X	Poured concrete structure contractors	6	T	175	
23812X	Steel and precast concrete contractors	6	T	178	
23813X	Framing contractors	6	T	181	
23814X	Masonry contractors	6	T	184	
23815X	Glass and glazing contractors	6	T	187	
23816X	Roofing contractors	6	T	190	
23817X	Siding contractors	6	T	193	
23819X	Other building exterior contractors	6	T	196	
2381XX	Building foundation and exterior contractors	5	T	174	
23821X	Electrical and wiring contractors	6	T	200	
23822X	Plumbing and hvac contractors	6	T	203	
23829X	Other building equipment contractors	6	T	206	
2382XX	Building equipment contractors	5	T	199	
23831X	Drywall and insulation contractors	6	T	210	
23832X	Painting and wall covering contractors	6	T	213	
23833X	Flooring contractors	6	T	216	
23834X	Tile and terrazzo contractors	6	T	219	
23835X	Finish carpentry contractors	6	T	222	
23839X	Other building finishing contractors	6	T	225	
2383XX	Building finishing contractors	5	T	209	
23891X	Site preparation contractors	6	T	229	
23899X	All other specialty trade contractors	6	T	232	
2389XX	Other specialty trade contractors	5	T	228	
238XXX	Specialty trade contractors	4	T	173	
311111	Dog and cat food manufacturing	7	T	240	
311119	Other animal food manufacturing	7	T	241	
31111X	Animal food manufacturing	6	T	239	
3111XX	Animal food manufacturing	5	T	238	
311211	Flour milling	7	T	244	
311212	Rice milling	7	T	245	
31121X	Flour milling and malt manufacturing	6	T	243	
311221	Wet corn milling	7	T	248	
311222	Soybean Processing(discontinued in 2014)	1	T	249	
311224	Soybean and other oilseed processing	7	T	251	
311225	Fats and oils refining and blending	7	T	252	
31122X	Starch and vegetable oil manufacturing	6	T	247	
31123X	Breakfast cereal manufacturing	6	T	253	
3112XX	Grain and oilseed milling	5	T	242	
311311	Sugarcane Mills(discontinued in 2014)	1	T	256	
311312	Cane Sugar Refining(discontinued in 2014)	1	T	257	
311313	Beet sugar manufacturing	7	T	258	
311314	Cane sugar manufacturing	7	T	259	
31131X	Sugar manufacturing	6	T	255	
31132X	Chocolate and Confectionery Mfg from Cacao Beans(discontinued in 2014)(code changed in 2014)	1	T	260	
31133X	Confectionery Mfg from Purchased Chocolate(discontinued in 2014)(code changed in 2014)	1	T	261	
