title_code	title_name

401KINC0000	Incidence Of Cash Or Deferred Arrangements
ACCDDINC000	Incidence Of Accidental Death And Dismemberment Coverage
ACCDDINCBC0	Incidence Of Accidental Death And Dismemberment Coverage Among Blue-collar And Service Employees
ACCDDINCCS0	Incidence Of Accidental Death And Dismemberment Coverage Among Clerical And Sales Employees
ACCDDINCFT0	Incidence Of Accidental Death And Dismemberment Coverage Among Full-time Workers
ACCDDINCGP0	Incidence Of Accidental Death And Dismemberment Coverage Among Workers In Goods-producing Industries
ACCDDINCMW0	Incidence Of Accidental Death And Dismemberment Coverage Among Workers In the Midwest Region
ACCDDINCNE0	Incidence Of Accidental Death And Dismemberment Coverage Among Workers In the Northeast Region
ACCDDINCNU0	Incidence Of Accidental Death And Dismemberment Coverage Among Nonunion Workers
ACCDDINCPR0	Incidence Of Accidental Death And Dismemberment Coverage Among Professional, Technical, And Related
ACCDDINCPT0	Incidence Of Accidental Death And Dismemberment Coverage Among Part-time Workers
ACCDDINCSO0	Incidence Of Accidental Death And Dismemberment Coverage Among Workers In the South Region
ACCDDINCSP0	Incidence Of Accidental Death And Dismemberment Coverage Among Workers In Service-producing Industri
ACCDDINCUN0	Incidence Of Accidental Death And Dismemberment Coverage Among Union Workers
ACCDDINCW10	Incidence Of Accidental Death And Dismemberment Coverage Among Workers In Establishments With 1-99 W
ACCDDINCW20	Incidence Of Accidental Death And Dismemberment Coverage Among Workers In Establishments With 100 Wo
ACCDDINCWE0	Incidence Of Accidental Death And Dismemberment Coverage Among Workers In the West Region
ADHOCINC000	Percent Of Employees With Defined Benefit Giving Postretirement Increases In Last 5 Years
ADOPTINC000	Percent Of All Workers With Access To Adoption Assistance Benefits
ADOPTINCBX0	Percent Of Blue-collar Workers With Access To Adoption Assistance Benefits
ADOPTINCFT0	Percent Of Full-time Workers With Access To Adoption Assistance Benefits
ADOPTINCGP0	Percent Of Workers In Goods-producing Industries With Access To Adoption Assistance Benefits
ADOPTINCNU0	Percent Of Nonunion Workers With Access To Adoption Assistance Benefits
ADOPTINCPT0	Percent Of Part-time Workers With Access To Adoption Assistance Benefits
ADOPTINCSP0	Percent Of Workers In Service-providing Industries With Access To Adoption Assistance Benefits
ADOPTINCSX0	Percent Of Service Occupations With Access To Adoption Assistance Benefits
ADOPTINCUN0	Percent Of Union Workers With Access To Adoption Assistance Benefits
ADOPTINCW10	Percent Of Workers In Establishments With 1-99 Workers With Access To Adoption Assistance Benefits
ADOPTINCW20	Percent Of Workers In Establishments With 100 Or More Workers With Access To Adoption Assistance Ben
ADOPTINCWC0	Percent Of White-collar Occupations With Access To Adoption Assistance Benefits
ALCOHOL0000	Percent Of Employees With Medical Care Benefits Who Have Coverage For Alcohol Abuse Treatment
ALLRET00000	Percent Of Employees Participating In All Retirement Plans
ALLRETBC000	Percent Of Blue-collar And Clerical Employees Participating In All Retirement Plans
ALLRETBX000	Percent Of Blue-collar Workers Participating In All Retirement Plans
ALLRETCS000	Percent Of Clerical And Sales Employees Participating In All Retirement Plans
ALLRETFT000	Percent Of Full-time Workers Participating In All Retirement Plans
ALLRETGP000	Percent Of Workers In Goods-producing Industries Participating In All Retirement Plans
ALLRETMW000	Percent Of Workers In the Midwest Region Participating In All Retirement Plans
ALLRETNE000	Percent Of Workers In the Northeast Region Participating In All Retirement Plans
ALLRETNU000	Percent Of Nonunion Workers Participating In All Retirement Plans
ALLRETPR000	Percent Of Professional, Technical, And Related Workers Participating In All Retirement Plans
ALLRETPT000	Percent Of Part-time Workers Participating In All Retirement Plans
ALLRETSO000	Percent Of Workers In the South Region Participating In All Retirement Plans
ALLRETSP000	Percent Of Workers In Service-producing Industries Participating In All Retirement Plans
ALLRETSX000	Percent Of Service Occupations Participating In All Retirement Plans
ALLRETUN000	Percent Of Union Workers PArticipating In All Retirement Plans
ALLRETW1000	Percent Of Workers In Establishments With 1-99 Workers Participating In All Retirement Plans
ALLRETW2000	Percent Of Workers In Establishments With 100 Or More Workers Participating In All Retirement Plans
ALLRETWC000	Percent Of White-collar Workers Participating In All Retirement Plans
ALLRETWE000	Percent Of Workers In the West Region Participating In All Retirement Plans
BCBS0000000	Percent Of Employees With Medical Care Offered By Blue Cross/ Blue Shield
CHILDINC000	Percent Of All Workers With Access To Employer Assistance For Child Care
CHILDINCBC0	Percent Of Blue-collar And Service Employees With Access To Employer Assistance For Child Care
CHILDINCBX0	Percent Of Blue-collar Workers With Access To Employer Assistance For Child Care
CHILDINCCS0	Percent Of Clerical And Sales Workers With Access To Employer Assistance For Child Care
CHILDINCFT0	Percent Of Full-time Workers With Access To Employer Assistance For Child Care
CHILDINCGP0	Percent Of Workers In Goods-producing Industries With Access To Employer Assistance For Child Care
CHILDINCMW0	Percent Of Workers In the Midwest Region With Access To Employer Assistance For Child Care
CHILDINCNE0	Percent Of Workers In the Northeast Region With Access To Employer Assistance For Child Care
CHILDINCNU0	Percent Of Nonunion Workers With Access To Employer Assistance For Child Care
CHILDINCPR0	Percent Of Professional, Technical, And Related Employees With Access To Employer Assistance For Chi
CHILDINCPT0	Percent Of Part-time Workers With Access To Employer Assistance For Child Care
CHILDINCSO0	Percent Of Workers In the South Region With Access To Employer Assistance For Child Care
CHILDINCSP0	Percent Of Workers In Service-producing Industries With Access To Employer Assistance For Child Care
CHILDINCSX0	Percent Of Service Workers With Access To Employer Assistance For Child Care
CHILDINCUN0	Percent Of Union Workers With Access To Employer Assistance For Child Care
CHILDINCW10	Percent Of Workers In Establishments With 1-99 Workers With Access To Employer Assistance For Child
CHILDINCW20	Percent Of Workers In Establishments With 100 Workers Or More With Access To Employer Assistance For
CHILDINCWC0	Percent Of White-collar Workers With Access To Employer Assistance For Child Care
CHILDINCWE0	Incidence Of Child Care Among Workers In the West Region
COMMERCIAL0	Percent Of Employees With Medical Care Offered By Commercial Insurance Companies
DBCONTRI000	Percent Of Employees Participating In Defined Benefit Pension Required To Contribute
DBCONTRIBX0	Percent Of Blue-collar Workers Participating In Defined Benefit Pension Required To Contribute
DBCONTRIFT0	Percent Of Full-time Workers Participating In Defined Benefit Pension Required To Contribute
DBCONTRIGP0	Percent Of Workers In Goods-producing Industries Participating In Defined Benefit Pension Required T
DBCONTRINU0	Percent Of Nonunion Workers Participating In Defined Benefit Pension Required To Contribute
DBCONTRIPT0	Percent Of Part-time Workers Participating In Defined Benefit Pension Required To Contribute
DBCONTRISP0	Percent Of Workers In Service-producing Industries Participating In Defined Benefit Pension Required
DBCONTRISX0	Percent Of Service Workers Participating In Defined Benefit Pension Required To Contribute
DBCONTRIUN0	Percent Of Union Workers Participating In Defined Benefit Pension Required To Contribute
DBCONTRIW10	Percent Of Workers In Establishments With 1-99 Workers Participating In Defined Benefit Pension Requ
DBCONTRIW20	Percent Of Workers In Establishments With 100 Workers Or More Participating In Defined Benefit Pensi
DBCONTRIWC0	Percent Of White-collar Workers Participating In Defined Benefit Pension Required To Contribute
DBINC000000	Percent Of All Workers Participating In Defined Benefit Pension
DBINCBC0000	Percent Of Blue-collar And Service Workers Participating In Defined Benefit Pension
DBINCBX0000	Percent Of Blue-collar Workers Participating In Defined Benefit Pension
DBINCCS0000	Percent Of Clerical And Sales Workers Participating In Defined Benefit Pension
DBINCFT0000	Percent Of Full-time Workers Participating In Defined Benefit Pension
DBINCGP0000	Percent Of Workers In Goods-producing Industries Participating In Defined Benefit Pension
DBINCMW0000	Percent Of Workers In the Midwest Region Participating In Defined Benefit Pension
DBINCNE0000	Percent Of Workers In the Northeast Region Participating In Defined Benefit Pension
DBINCNU0000	Percent Of Nonunion Workers Participating In Defined Benefit Pension
DBINCPR0000	Percent Of Professional, Technical, And Related Workers Participating In Defined Benefit Pension
DBINCPT0000	Percent Of Part-time Workers Participating In Defined Benefit Pension
DBINCSO0000	Percent Of Workers In the South Region Participating In Defined Benefit Pension
DBINCSP0000	Percent Of Workers In Service-producing Industries Participating In Defined Benefit Pension
DBINCSX0000	Percent Of Workers In Service Occupations Participating In Defined Benefit Pension
DBINCUN0000	Percent Of Union Workers Participating In Defined Benefit Pension
DBINCW10000	Percent Of Workers In Establishments With 1-99 Workers Participating In Defined Benefit Pension
DBINCW20000	Percent Of Workers In Establishments With 100 Workers Or More Participating In Defined Benefit Pensi
DBINCWC0000	Percent Of White-collar Workers Participating In Defined Benefit Pension
DBINCWE0000	Percent Of Workers In the West Region Participating In Defined Benefit Pension
DBPORTA0000	Percent Of Employees With Defined Benefit Pension Who Have Portability Provisions
DCINC000000	Percent Of All Workers Participating In Defined Contribution Plans
DCINCBC0000	Percent Of Blue-collar And Service Workers Participating In Defined Contribution Plans
DCINCBX0000	Percent Of Blue-collar Workers Participating In Defined Contribution Plans
DCINCCS0000	Percent Of Clerical And Sales Workers Participating In Defined Contribution Plans
DCINCFT0000	Percent Of Full-time Workers Participating In Defined Contribution Plans
DCINCGP0000	Percent Of Workers In Goods-producing Industries Participating In Defined Contribution Plans
DCINCMW0000	Percent Of Workers In the Midwest Region Participating In Defined Contribution Plans
DCINCNE0000	Percent Of Workers In the Northeast Region Participating In Defined Contribution Plans
DCINCNU0000	Percent Of Nonunion Workers Participating In Defined Contribution Plans
DCINCPR0000	Percent Of Professional, Technical, And Related Workers Participating In Defined Contribution Plans
DCINCPT0000	Percent Of Part-time Workers Participating In Defined Contribution Plans
DCINCSO0000	Percent Of Workers In the South Region Participating In Defined Contribution Plans
DCINCSP0000	Percent Of Workers In Service-producing Industries Participating In Defined Contribution Plans
DCINCSX0000	Percent Of Workers In Service Occupations Participating In Defined Contribution Plans
DCINCUN0000	Percent Of Union Workers Participating In Defined Contribution Plans
DCINCW10000	Percent Of Workers In Establishments With 1-99 Workers Participating In Defined Contribution Plans
DCINCW20000	Percent Of Workers In Establishments With 100 Workers Or More Participating In Defined Contribution
DCINCWC0000	Percent Of White-collar Workers Participating In Defined Contribution Plans
DCINCWE0000	Percent Of Workers In the West Region Participating In Defined Contribution Plans
DENTINC0000	Percent Of All Workers Participating In Dental Care Benefits
DENTINCBC00	Percent Of Blue-collar And Service Workers Participating In Dental Benefits
DENTINCBX00	Percent Of Blue-collar Workers Participating In Dental Care Benefits
DENTINCCS00	Percent Of Clerical And Sales Workers Participating In Dental Care Benefits
DENTINCFT00	Percent Of Full-time Workers Participating In Dental Care Benefits
DENTINCGP00	Percent Of Workers In Goods-producing Industries Participating In Dental Care Benefits
DENTINCMW00	Percent Of Workers In the Midwest Region Participating In Dental Care Benefits
DENTINCNE00	Percent Of Workers In the Northeast Region Paticipating In Dental Care Benefits
DENTINCNU00	Percent Of Nonunion Workers Participating In Dental Care Benefits
DENTINCPR00	Percent Of Professional, Technical, And Related Workers Particiapting In Dental Care Benefits
DENTINCPT00	Percent Of Part-time Workers Participating In Dental Care Benefits
DENTINCSO00	Percent Of Workers In the South Region Participating In Dental Care Benefits
DENTINCSP00	Percent Of Workers In Service-producing Industries Participating In Dental Care Benefits
DENTINCSX00	Percent Of Workers In Service Occupations Participating In Dental Care Benefits
DENTINCUN00	Percent Of Union Workers Participating In Dental Care Benefits
DENTINCW100	Percent Of Workers In Establishments With 1-99 Workers Participating In Dental Care Benefits
DENTINCW200	Percent Of Workers In Establishments With 100 Or More Workers Participating In Dental Care Benefits
DENTINCWC00	Percent Of White-collar Occupations Participating In Dental Care Plans
DENTINCWE00	Percent Of Workers In the West Region Participating In Dental Care Benefits
DRUG0000000	Percent Of Employees With Medical Care Benefits Who Have Coverage For Drug Abuse Treatment
EAPINC00000	Percent Of All Workers With Access To Employee Assistance Programs
EAPINCBX000	Percent Of Blue-collar Workers With Access To Employee Assistance Programs
EAPINCFT000	Percent Of Full-time Workers With Access To Employee Assistance Programs
EAPINCGP000	Percent Of Workers In Goods-producing Industries With Access To Employee Assistance Programs
EAPINCNU000	Percent Of Nonunion Workers With Access To Employee Assistance Programs
EAPINCPT000	Percent Of Part-time Workers With Access To Employee Assistance Programs
EAPINCSP000	Percent Of Workers In Service-producing Industries With Access To Employee Assistance Programs
EAPINCSX000	Percent Of Service Workers With Access To Employee Assistance Programs
EAPINCUN000	Percent Of Union Workers With Access To Employee Assistance Programs
EAPINCW1000	Percent Of Workers In Establishments With 1-99 Workers With Access To Employee Assistance Programs
