data_type_code	data_type_text

01	ALL EMPLOYEES, THOUSANDS
02	WOMEN WORKERS, THOUSANDS
03	PRODUCTION WORKERS, THOUSANDS
04	AVERAGE WEEKLY EARNINGS OF PRODUCTION WORKERS
05	AVERAGE WEEKLY HOURS OF PRODUCTION WORKERS
06	AVERAGE HOURLY EARNINGS OF PRODUCTION WORKERS
07	AVERAGE WEEKLY OVERTIME OF PRODUCTION WORKERS
40	INDEXES OF AGGREGATE WEEKLY HOURS, 1982=100
45	INDEXES OF AGGREGATE WEEKLY PAYROLLS, 1982=100
49	AVERAGE HOURLY EARNINGS, 1982 DOLLARS
51	AVERAGE WEEKLY EARNINGS, 1982 DOLLARS
60	AVERAGE HOURLY EARNINGS, EXCLUDING OVERTIME
65	DIFFUSION INDEXES, 1-MONTH SPAN, SEASONALLY ADJUSTED
66	DIFFUSION INDEXES, 3-MONTH SPAN, SEASONALLY ADJUSTED
67	DIFFUSION INDEXES, 6-MONTH SPAN, SEASONALLY ADJUSTED
68	DIFFUSION INDEXES, 12-MONTH SPAN, NOT SEASONALLY ADJUSTED
81	ALL EMPLOYEES, QTRLY AVERAGES, SEASONALLY ADJ, THOUSANDS
82	AVERAGE WKLY HRS, QTRLY AVERAGES, SEASONALLY ADJ
83	AVERAGE WKLY OVERTIME HRS, QTRLY AVERAGES, SEASONALLY ADJ
