series_code	seasonal	index	series_name	footnote_codes	begin_year	begin_period	end_year	end_period
EIUCOASEANTOT                 	U	CO	ASEAN-All Industries	8         	2003	M12	2017	M09
EIUCOASEANZ31                 	U	CO	ASEAN-Manufacturing, part 1	          	2012	M06	2017	M09
EIUCOASEANZ311                	U	CO	ASEAN-Food manufacturing	          	2012	M06	2017	M09
EIUCOASEANZ315                	U	CO	ASEAN-Apparel manufacturing	          	2012	M06	2017	M09
EIUCOASEANZ33                 	U	CO	ASEAN-Manufacturing, part 3	          	2012	M06	2017	M09
EIUCOASEANZ334                	U	CO	ASEAN-Computer and electronic product manufacturing	          	2012	M06	2017	M09
EIUCOASEANZ337                	U	CO	ASEAN-Furniture and related product manufacturing	          	2012	M06	2017	M09
EIUCOASEANZ339                	U	CO	ASEAN-Miscellaneous manufacturing	          	2012	M06	2017	M09
EIUCOASNRETOT                 	U	CO	Asia Near East-All Industries	9         	2003	M12	2017	M09
EIUCOCANMANU                  	U	CO	Canada-Manufacturing	          	1990	M12	2017	M09
EIUCOCANNONM                  	U	CO	Canada-Nonmanufacturing	          	1990	M12	2017	M09
EIUCOCANTOT                   	U	CO	Canada-All Industries	          	1990	M12	2017	M09
EIUCOCANZ21                   	U	CO	Canada-Mining	          	2012	M06	2017	M09
EIUCOCANZ31                   	U	CO	Canada-Manufacturing, part 1	          	2012	M06	2017	M09
EIUCOCANZ311                  	U	CO	Canada-Food manufacturing	          	2012	M06	2017	M09
EIUCOCANZ32                   	U	CO	Canada-Manufacturing, part 2	          	2012	M06	2017	M09
EIUCOCANZ321                  	U	CO	Canada-Wood product manufacturing	          	2012	M06	2017	M09
EIUCOCANZ3211                 	U	CO	Canada-Sawmills and wood preservation	          	2012	M06	2017	M09
EIUCOCANZ322                  	U	CO	Canada-Paper manufacturing	          	2012	M06	2017	M09
EIUCOCANZ3221                 	U	CO	Canada-Pulp, paper, and paperboard mills	          	2012	M06	2017	M09
EIUCOCANZ325                  	U	CO	Canada-Chemical manufacturing	          	2012	M06	2017	M09
EIUCOCANZ33                   	U	CO	Canada-Manufacturing, part 3	          	2012	M06	2017	M09
