case_code	category_code	category_text
0	00X	Ownership-- All	
0	AAX	Age group-- 15 & under	
0	ABX	Age group-- 16-17	
0	ACX	Age group-- 18-19	
0	ADX	Age group-- 20-24	
0	AEX	Age group-- 25-34	
0	AFX	Age group-- 35-44	
0	AGX	Age group-- 45-54	
0	AHX	Age group-- 55-64	
0	AIX	Age group-- 65 & older	
0	E1X	Event or exposure-- Shooting	
0	E2X	Event or exposure-- Other homicides	
0	E3X	Event or exposure-- Self-inflicted injuries	
0	E4X	Event or exposure-- Other events or exposures	
0	EAX	Event or exposure-- Contact with objects & equipment	
0	EBX	Event or exposure-- Struck by object	
0	ECX	Event or exposure-- Struck by falling object	
0	EDX	Event or exposure-- Caught in equipment or object	
0	EEX	Event or exposure-- Caught in running equipment or machinery	
0	EFX	Event or exposure-- Falls	
0	EGX	Event or exposure-- Fall to lower level	
0	EHX	Event or exposure-- Fall from ladder	
0	EIX	Event or exposure-- Fall from roof	
0	EJX	Event or exposure-- Fall from scaffold	
0	EKX	Event or exposure-- Harmful substances or environments	
0	ELX	Event or exposure-- Contact with current	
0	EMX	Event or exposure-- Caustic, noxious substances	
0	ENX	Event or exposure-- Oxygen deficiency	
0	EOX	Event or exposure-- Transportation incident	
0	EPX	Event or exposure-- Highway transportation incident	
0	EQX	Event or exposure-- Collision between vehicles	
0	ERX	Event or exposure-- Noncollision highway incident	
0	ESX	Event or exposure-- Nonhighway transportation incident	
0	ETX	Event or exposure-- Overturned, nonhighway	
0	EUX	Event or exposure-- Struck by vehicle	
0	EVX	Event or exposure-- Other transportation incidents	
0	EWX	Event or exposure-- Aircraft incidents	
0	EXX	Event or exposure-- Fires & explosions	
0	EYX	Event or exposure-- Assaults	
0	EZX	Event or exposure-- Homicides	
0	GFX	Gender-- Female	
0	GMX	Gender-- Male	
0	NAX	Nature-- Intracranial injuries	
0	NBX	Nature-- Other traumatic injuries	
0	NCX	Nature-- Internal injuries	
0	NDX	Nature-- Asphyxiations, suffocations	
0	NEX	Nature-- Drownings	
0	NFX	Nature-- Electrocutions	
0	NGX	Nature-- Poisonings, toxic effects	
0	NHX	Nature-- Open wounds	
0	NIX	Nature-- Gunshot wounds	
0	NJX	Nature-- Burns (heat, chemical, etc.)	
0	NKX	Nature-- Multiple traumatic injuries	
0	NLX	Nature-- Intracranial injuries and injuries to internal organs	
0	O00	Occupation-- Management, Professional, and Related Occupations (11--29)	
0	O10	Occupation-- Management, Business, and Financial Occupations (11--13)	
0	O11	Occupation-- Management Occupations	
0	O13	Occupation-- Business and Financial Operations Occupations	
0	O15	Occupation-- Computer and Mathematical Occupations	
0	O17	Occupation-- Architecture and Engineering Occupations	
0	O19	Occupation-- Life, Physical, and Social Science Occupations	
0	O20	Occupation-- Professional and Related Occupations (15--29)	
0	O21	Occupation-- Community and Social Services Occupations	
0	O23	Occupation-- Legal Occupations	
0	O25	Occupation-- Education, Training, and Library Occupations	
0	O27	Occupation-- Arts, Design, Entertainment, Sports, and Media Occupations	
0	O29	Occupation-- Healthcare Practitioner and Technical Occupations	
0	O30	Occupation-- Service Occupations (31--39)	
0	O31	Occupation-- Healthcare Support Occupations	
0	O33	Occupation-- Protective Service Occupations	
0	O35	Occupation-- Food Preparation and Serving Related Occupations	
0	O37	Occupation-- Building and Grounds Cleaning and Maintenance Occupations	
0	O39	Occupation-- Personal Care and Service Occupations	
0	O40	Occupation-- Sales and Office Occupations (41--43)	
0	O41	Occupation-- Sales and Related Occupations	
0	O43	Occupation-- Office and Administrative Support Occupations	
0	O44	Occupation-- Natural Resources, Construction, and Maintenance Occupations (45--49)	
0	O45	Occupation-- Farming, Fishing, and Forestry Occupations	
0	O47	Occupation-- Construction and Extraction Occupations	
0	O49	Occupation-- Installation, Maintenance, and Repair Occupations	
0	O50	Occupation-- Production, Transportation, and Material Moving Occupations (51--53)	
0	O51	Occupation-- Production Occupations	
0	O53	Occupation-- Transportation and Material Moving Occupations	
0	O55	Occupation-- Military Specific Occupations	
0	PAX	Part-- Head	
0	PBX	Part-- Trunk	
0	PCX	Part-- Chest	
0	PDX	Part-- Back	
0	PEX	Part-- Neck	
0	PFX	Part-- Lower extremities	
0	PGX	Part-- Upper extremities	
0	PHX	Part-- Body systems	
0	PIX	Part-- Multiple	
0	RAX	Race-- White	
0	RBX	Race-- Black	
0	RCX	Race-- American Indian, Aleut, Eskimo	
0	RDX	Race-- Asian	
0	REX	Race-- Pacific Islander	
0	RGX	Race-- Multiple	
0	RHX	Race-- Other or not reported	
0	RIX	Race-- Hispanic	
0	SAX	Primary source of injury-- Vehicles	
0	SBX	Primary source of injury-- Highway vehicles	
