industry_code	industry_text	display_level	selectable	sort_sequence
000000	All workers	0	T	1	
11111X	Soybean Farming	6	T	7	
11114X	Wheat Farming	6	T	10	
11115X	Corn Farming	6	T	11	
11116X	Rice Farming	6	T	12	
111191	Oilseed and Grain Combination Farming	7	T	14	
111199	All Other Grain Farming	7	T	15	
11119X	Other Grain Farming	6	T	13	
1111XX	Oilseed and Grain Farming	5	T	6	
111211	Potato Farming	7	T	18	
111219	Other Vegetable (except Potato) and Melon Farming	7	T	19	
11121X	Vegetable and Melon Farming	6	T	17	
1112XX	Vegetable and Melon Farming	5	T	16	
11131X	Orange Groves	6	T	21	
11132X	Citrus (except Orange) Groves	6	T	22	
111331	Apple Orchards	7	T	24	
111332	Grape Vineyards	7	T	25	
111334	Berry (except Strawberry) Farming	7	T	27	
111335	Tree Nut Farming	7	T	28	
111339	Other Noncitrus Fruit Farming	7	T	30	
11133X	Noncitrus Fruit and Tree Nut Farming	6	T	23	
1113XX	Fruit and Tree Nut Farming	5	T	20	
111411	Mushroom Production	7	T	33	
11141X	Food Crops Grown Under Cover	6	T	32	
111421	Nursery and Tree Production	7	T	36	
11142X	Nursery and Floriculture Production	6	T	35	
1114XX	Greenhouse, Nursery, and Floriculture Production	5	T	31	
11191X	Tobacco Farming	6	T	39	
11192X	Cotton Farming	6	T	40	
11193X	Sugarcane Farming	6	T	41	
11194X	Hay Farming	6	T	42	
111991	Sugar Beet Farming	7	T	44	
111998	All Other Misc Crop Farming	7	T	46	
11199X	All Other Crop Farming	6	T	43	
1119XX	Other Crop Farming	5	T	38	
111XXX	Crop Production	4	T	5	
112111	Beef Cattle Ranching and Farming	7	T	50	
112112	Cattle Feedlots	7	T	51	
11211X	Beef Cattle Ranching and Farming, including Feedlots	6	T	49	
11212X	Dairy Cattle and Milk Production	6	T	52	
1121XX	Cattle Ranching and Farming	5	T	48	
11221X	Hog and Pig Farming	6	T	55	
1122XX	Hog and Pig Farming	5	T	54	
11231X	Chicken Egg Production	6	T	57	
11232X	Broilers and Other Meat Type Chicken Production	6	T	58	
11234X	Poultry Hatcheries	6	T	60	
1123XX	Poultry and Egg Production	5	T	56	
11241X	Sheep Farming	6	T	63	
1124XX	Sheep and Goat Farming	5	T	62	
112511	Finfish Farming and Fish Hatcheries	7	T	67	
11251X	Animal Aquaculture	6	T	66	
1125XX	Animal Aquaculture	5	T	65	
11291X	Apiculture	6	T	71	
11292X	Horses and Other Equine Production	6	T	72	
11299X	All Other Animal Production	6	T	74	
1129XX	Other Animal Production	5	T	70	
112XXX	Animal Production	4	T	47	
11311X	Timber Tract Operations	6	T	77	
1131XX	Timber Tract Operations	5	T	76	
11321X	Forest Nurseries and Gathering of Forest Products	6	T	79	
1132XX	Forest Nurseries and Gathering of Forest Products	5	T	78	
11331X	Logging	6	T	81	
1133XX	Logging	5	T	80	
113XXX	Forestry and Logging	4	T	75	
114111	Finfish Fishing	7	T	85	
114112	Shellfish Fishing	7	T	86	
114119	Other Marine Fishing	7	T	87	
11411X	Fishing	6	T	84	
1141XX	Fishing	5	T	83	
114XXX	Fishing, Hunting and Trapping	4	T	82	
115111	Cotton Ginning	7	T	93	
115112	Soil Preparation, Planting, and Cultivating	7	T	94	
115113	Crop Harvesting, Primarily by Machine	7	T	95	
115114	Postharvest Crop Activities (except Cotton Ginning)	7	T	96	
115115	Farm Labor Contractors and Crew Leaders	7	T	97	
115116	Farm Management Services	7	T	98	
11511X	Support Activities for Crop Production	6	T	92	
1151XX	Support Activities for Crop Production	5	T	91	
11521X	Support Activities for Animal Production	6	T	100	
1152XX	Support Activities for Animal Production	5	T	99	
11531X	Support Activities for Forestry	6	T	102	
1153XX	Support Activities for Forestry	5	T	101	
115XXX	Support Activities for Agriculture and Forestry	4	T	90	
211111	Crude Petroleum and Natural Gas Extraction	7	T	107	
211112	Natural Gas Liquid Extraction	7	T	108	
21111X	Oil and Gas Extraction	6	T	106	
2111XX	Oil and Gas Extraction	5	T	105	
211XXX	Oil and Gas Extraction	4	T	104	
212111	Bituminous Coal and Lignite Surface Mining	7	T	112	
212112	Bituminous Coal Underground Mining	7	T	113	
21211X	Coal Mining	6	T	111	
2121XX	Coal Mining	5	T	110	
212221	Gold Ore Mining	7	T	118	
21222X	Gold Ore and Silver Ore Mining	6	T	117	
212234	Copper Ore and Nickel Ore Mining	7	T	122	
21223X	Copper, Nickel, Lead, and Zinc Mining	6	T	120	
2122XX	Metal Ore Mining	5	T	115	
