occupation_code	occupation_text	display_level	selectable	sort_sequence
000000	All occupations	0	T	1	
111011	Chief Executives	4	T	5	
11101X	Chief Executives	3	T	4	
111021	General and Operations Managers	4	T	7	
11102X	General and Operations Managers	3	T	6	
111XXX	Top Executives	2	T	3	
112011	Advertising and Promotions Managers	4	T	12	
11201X	Advertising and Promotions Managers	3	T	11	
112021	Marketing Managers	4	T	14	
112022	Sales Managers	4	T	15	
11202X	Marketing and Sales Managers	3	T	13	
112XXX	Advertising, Marketing, Promotions, Public Relations, and Sales Managers	2	T	10	
113011	Administrative Services Managers	4	T	20	
11301X	Administrative Services Managers	3	T	19	
113021	Computer and Information Systems Managers	4	T	22	
11302X	Computer and Information Systems Managers	3	T	21	
113031	Financial Managers	4	T	24	
11303X	Financial Managers	3	T	23	
11304X	Human Resources Managers	3	T	25	
113051	Industrial Production Managers	4	T	30	
11305X	Industrial Production Managers	3	T	29	
113071	Transportation, Storage, and Distribution Managers	4	T	34	
11307X	Transportation, Storage, and Distribution Managers	3	T	33	
113XXX	Operations Specialties Managers	2	T	18	
119011	Farm, Ranch, and Other Agricultural Managers	4	T	37	
119012	Farmers and Ranchers	4	T	38	
11901X	Agricultural Managers	3	T	36	
119021	Construction Managers	4	T	40	
11902X	Construction Managers	3	T	39	
119032	Education Administrators, Elementary and Secondary School	4	T	43	
119033	Education Administrators, Postsecondary	4	T	44	
11903X	Education Administrators	3	T	41	
119041	Engineering Managers	4	T	47	
11904X	Engineering Managers	3	T	46	
119051	Food Service Managers	4	T	49	
11905X	Food Service Managers	3	T	48	
119081	Lodging Managers	4	T	55	
11908X	Lodging Managers	3	T	54	
119111	Medical and Health Services Managers	4	T	57	
11911X	Medical and Health Services Managers	3	T	56	
119141	Property, Real Estate, and Community Association Managers	4	T	63	
11914X	Property, Real Estate, and Community Association Managers	3	T	62	
119151	Social and Community Service Managers	4	T	65	
11915X	Social and Community Service Managers	3	T	64	
119199	Managers, All Other	4	T	67	
11919X	Miscellaneous Managers	3	T	66	
119XXX	Other Management Occupations	2	T	35	
11XXXX	Management occupations	1	T	2	
131021	Purchasing Agents and Buyers, Farm Products	4	T	73	
131022	Wholesale and Retail Buyers, Except Farm Products	4	T	74	
13102X	Buyers and Purchasing Agents	3	T	72	
131031	Claims Adjusters, Examiners, and Investigators	4	T	77	
13103X	Claims Adjusters, Appraisers, Examiners, and Investigators	3	T	76	
131041	Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation	4	T	80	
13104X	Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation	3	T	79	
13107X	Human Resources, Training, and Labor Relations Specialists	3	T	85	
131111	Management Analysts	4	T	93	
13111X	Management Analysts	3	T	92	
131199	Business Operations Specialists, All Other	4	T	97	
13119X	Miscellaneous Business Operations Specialists	3	T	96	
131XXX	Business Operations Specialists	2	T	69	
132011	Accountants and Auditors	4	T	100	
13201X	Accountants and Auditors	3	T	99	
132052	Personal Financial Advisors	4	T	109	
13205X	Financial Analysts and Advisors	3	T	107	
132072	Loan Officers	4	T	115	
13207X	Loan Counselors and Officers	3	T	113	
132XXX	Financial Specialists	2	T	98	
13XXXX	Business and Financial Operations Occupations	1	T	68	
151031	Computer Software Engineers, Applications	4	T	128	
151032	Computer Software Engineers, Systems Software	4	T	129	
15103X	Computer Software Engineers	3	T	127	
151041	Computer Support Specialists	4	T	131	
15104X	Computer Support Specialists	3	T	130	
151051	Computer Systems Analysts	4	T	133	
15105X	Computer Systems Analysts	3	T	132	
151071	Network and Computer Systems Administrators	4	T	137	
15107X	Network and Computer Systems Administrators	3	T	136	
151081	Network Systems and Data Communications Analysts	4	T	139	
15108X	Network Systems and Data Communications Analysts	3	T	138	
151XXX	Computer Specialists	2	T	122	
15XXXX	Computer and Mathematical Occupations	1	T	121	
171011	Architects, Except Landscape and Naval	4	T	157	
17101X	Architects, Except Naval	3	T	156	
171022	Surveyors	4	T	161	
17102X	Surveyors, Cartographers, and Photogrammetrists	3	T	159	
171XXX	Architects, Surveyors, and Cartographers	2	T	155	
172051	Civil Engineers	4	T	172	
17205X	Civil Engineers	3	T	171	
172071	Electrical Engineers	4	T	176	
172072	Electronics Engineers, Except Computer	4	T	177	
17207X	Electrical and Electronics Engineers	3	T	175	
172111	Health and Safety Engineers, Except Mining Safety Engineers and Inspectors	4	T	181	
172112	Industrial Engineers	4	T	182	
17211X	Industrial Engineers, Including Health and Safety	3	T	180	
172141	Mechanical Engineers	4	T	188	
17214X	Mechanical Engineers	3	T	187	
172171	Petroleum Engineers	4	T	194	
17217X	Petroleum Engineers	3	T	193	
172199	Engineers, All Other	4	T	196	
17219X	Miscellaneous Engineers	3	T	195	
172XXX	Engineers	2	T	162	
173011	Architectural and Civil Drafters	4	T	199	
17301X	Drafters	3	T	198	
173023	Electrical and Electronic Engineering Technicians	4	T	206	
173025	Environmental Engineering Technicians	4	T	208	
173029	Engineering Technicians, Except Drafters, All Other	4	T	211	
17302X	Engineering Technicians, Except Drafters	3	T	203	
173031	Surveying and Mapping Technicians	4	T	213	
17303X	Surveying and Mapping Technicians	3	T	212	
173XXX	Drafters, Engineering, and Mapping Technicians	2	T	197	
17XXXX	Architecture and Engineering Occupations	1	T	154	
191013	Soil and Plant Scientists	4	T	219	
19101X	Agricultural and Food Scientists	3	T	216	
191023	Zoologists and Wildlife Biologists	4	T	223	
19102X	Biological Scientists	3	T	220	
191032	Foresters	4	T	227	
19103X	Conservation Scientists and Foresters	3	T	225	
191XXX	Life Scientists	2	T	215	
19204X	Environmental Scientists and Geoscientists	3	T	242	
192099	Physical Scientists, All Other	4	T	247	
19209X	Miscellaneous Physical Scientists	3	T	246	
192XXX	Physical Scientists	2	T	233	
193XXX	Social Scientists and Related Workers	2	T	248	
194011	Agricultural and Food Science Technicians	4	T	270	
