event_code	event_text	display_level	selectable	sort_sequence
0000XX	All events and exposures	0	T	1	
1111XX	Shooting by other person--intentional	4	T	5	
1112XX	Stabbing, cutting, slashing, piercing	4	T	6	
1113XX	Hitting, kicking, beating, shoving	4	T	7	
1114XX	Strangulation by other person	4	T	8	
1115XX	Bombing, arson	4	T	9	
1118XX	Multiple violent acts by other person	4	T	12	
111XXX	Homicides (Intentional injury by other person)	3	T	4	
1121XX	Shooting--intentional self-harm	4	T	14	
1122XX	Hanging, strangulation, asphyxiation--intentional self-harm	4	T	15	
1123XX	Jumping from building or other structure--intentional self-harm	4	T	16	
1124XX	Cutting, stabbing--intentional self-harm	4	T	17	
1125XX	Drug overdose--intentional self-harm	4	T	18	
1126XX	Inhalation of substance--intentional self-harm	4	T	19	
112XXX	Suicides (Self-inflicted injury--intentional)	3	T	13	
11XXXX	Intentional injury by person	2	T	3	
1211XX	Shooting by other person--unintentional	4	T	22	
1212XX	Injured by physical contact with other person in sporting event or physical training	4	T	23	
1213XX	Injured by physical contact during horseplay	4	T	24	
1214XX	Injured by physical contact with person while restraining, subduing--unintentional	4	T	25	
121XXX	Injury by other person--unintentional or intent unknown	3	T	21	
1221XX	Self-inflicted shooting--unintentional	4	T	29	
1224XX	Drug overdose--intent unknown	4	T	32	
122XXX	Self-inflicted injury--unintentional or intent unknown	3	T	28	
12XXXX	Injury by person--unintentional or intent unknown	2	T	20	
1311XX	Stings and venomous bites	4	T	35	
1312XX	Nonvenomous insect bites	4	T	36	
1313XX	Other animal bites, nonvenomous	4	T	37	
131XXX	Bites and stings	3	T	34	
1321XX	Trampled by or stepped on by animal	4	T	39	
1322XX	Kicked by animal	4	T	40	
1323XX	Mauled, clawed, or scratched by animal	4	T	41	
1324XX	Gored or rammed by animal	4	T	42	
132XXX	Struck by animal	3	T	38	
1381XX	Bitten and struck by animal	4	T	44	
138XXX	Multiple types of animal and insect incidents	3	T	43	
13XXXX	Animal and insect related incidents	2	T	33	
1XXXXX	Violence and other injuries by persons or animals	1	T	2	
211XXX	Pedestrian struck by aircraft or propeller	3	T	47	
2121XX	Aircraft crash during takeoff or landing--due to mechanical failure	4	T	49	
2123XX	Aircraft crash during takeoff or landing--with ground vehicle	4	T	51	
2124XX	Aircraft crash during takeoff or landing--into structure, object, or ground	4	T	52	
212XXX	Aircraft crash during takeoff or landing	3	T	48	
213XXX	Explosion or fire on aircraft	3	T	53	
214XXX	Aircraft crash due to low-altitude entanglement	3	T	54	
2151XX	Other in-flight crash due to mechanical failure	4	T	56	
2152XX	Other in-flight crash between air vehicles	4	T	57	
2153XX	Other in-flight crash into structure, object, or ground	4	T	58	
215XXX	Other in-flight crash	3	T	55	
216XXX	Parachuting incident	3	T	59	
21XXXX	Aircraft incidents	2	T	46	
2211XX	Collision between two rail vehicles	4	T	63	
2212XX	Collision between rail and roadway vehicles	4	T	64	
221XXX	Collision between rail vehicle and another vehicle	3	T	62	
222XXX	Derailment	3	T	65	
224XXX	Fall or jump from and struck by rail vehicle--transportation incident	3	T	67	
227XXX	Pedestrian struck by rail vehicle--transportation incident	3	T	70	
22XXXX	Rail vehicle incidents	2	T	61	
2311XX	Animal transportation collision in roadway	4	T	73	
2312XX	Animal transportation collision in nonroadway area	4	T	74	
2313XX	Thrown, fell, or jumped from animal being ridden	4	T	75	
2314XX	Thrown, tipped, or fell from animal-drawn vehicle	4	T	76	
231XXX	Animal transportation incident	3	T	72	
2321XX	Pedal cycle collision in roadway	4	T	79	
2323XX	Fall from pedal cycle	4	T	81	
232XXX	Pedal cycle incident	3	T	78	
23XXXX	Animal and other non-motorized vehicle transportation incidents	2	T	71	
2411XX	Pedestrian struck by vehicle propelled by another vehicle in work zone	4	T	85	
2412XX	Pedestrian struck by forward-moving vehicle in work zone	4	T	86	
2413XX	Pedestrian struck by vehicle backing up in work zone	4	T	87	
241XXX	Pedestrian struck by vehicle in work zone	3	T	84	
2421XX	Pedestrian struck by vehicle propelled by another vehicle in roadway	4	T	89	
2422XX	Pedestrian struck by forward-moving vehicle in roadway	4	T	90	
2423XX	Pedestrian struck by vehicle backing up in roadway	4	T	91	
242XXX	Pedestrian struck by vehicle in roadway	3	T	88	
2431XX	Pedestrian struck by vehicle propelled by another vehicle on side of road	4	T	93	
2432XX	Pedestrian struck by forward-moving vehicle on side of road	4	T	94	
2433XX	Pedestrian struck by vehicle backing up on side of road	4	T	95	
243XXX	Pedestrian struck by vehicle on side of road	3	T	92	
2441XX	Pedestrian struck by vehicle propelled by another vehicle in nonroadway area	4	T	97	
2442XX	Pedestrian struck by forward-moving vehicle in nonroadway area	4	T	98	
2443XX	Pedestrian struck by vehicle backing up in nonroadway area	4	T	99	
244XXX	Pedestrian struck by vehicle in nonroadway area	3	T	96	
24XXXX	Pedestrian vehicular incident	2	T	83	
2521XX	Collision between water vehicles	4	T	103	
2522XX	Collision between water vehicle and object	4	T	104	
252XXX	Water vehicle collisions	3	T	102	
253XXX	Explosion or fire on water vehicle	3	T	105	
254XXX	Capsized or sinking water vehicle	3	T	106	
255XXX	Fall or jump and struck by water vehicle	3	T	107	
256XXX	Fall or jump from water vehicle	3	T	108	
257XXX	Machinery or equipment incident on water vehicle	3	T	109	
258XXX	Fall on water vehicle	3	T	110	
25XXXX	Water vehicle incidents	2	T	100	
2611XX	Roadway collision--moving in same direction	4	T	113	
2612XX	Roadway collision--moving in opposite directions, oncoming	4	T	114	
2613XX	Roadway collision--moving perpendicularly	4	T	115	
2614XX	Roadway collision--moving and standing vehicle in roadway	4	T	116	
2615XX	Roadway collision--moving and standing vehicle on side of roadway	4	T	117	
261XXX	Roadway collision with other vehicle	3	T	112	
2621XX	Vehicle struck object or animal in roadway	4	T	119	
2622XX	Vehicle struck object or animal on side of roadway	4	T	120	
2623XX	Vehicle struck by falling or flying object--roadway	4	T	121	
262XXX	Roadway collision with object other than vehicle	3	T	118	
2631XX	Jack-knifed or overturned, roadway	4	T	123	
2632XX	Ran off roadway	4	T	124	
2633XX	Struck by shifting load during transport, roadway	4	T	125	
2634XX	Fall or jump from and struck by same vehicle in normal operation, roadway	4	T	126	
2636XX	Fall or jump from vehicle in normal operation, roadway	4	T	128	
263XXX	Roadway noncollision incident	3	T	122	
26XXXX	Roadway incidents involving motorized land vehicle	2	T	111	
2711XX	Moving in same direction, nonroadway	4	T	133	
2713XX	Collision between a moving and standing vehicle, nonroadway	4	T	135	
271XXX	Nonroadway collision with other vehicle	3	T	132	
2721XX	Part of occupant?s body caught between vehicle and other object in nonroadway transport incident	4	T	137	
272XXX	Nonroadway collision with object other than vehicle	3	T	136	
2731XX	Jack-knifed or overturned, nonroadway	4	T	139	
2732XX	Ran off driving surface, nonroadway	4	T	140	
2733XX	Struck by shifting load during transport, nonroadway	4	T	141	
2734XX	Fall or jump from and struck by same vehicle in normal operation, nonroadway	4	T	142	
2736XX	Fall or jump from vehicle in normal operation, nonroadway	4	T	144	
2738XX	Struck bump, hole, rough terrain on driving surface, nonroadway	4	T	146	
273XXX	Nonroadway noncollision incident	3	T	138	
27XXXX	Nonroadway incident involving motorized land vehicles	2	T	131	
2XXXXX	Transportation incidents	1	T	45	
3110XX	Collapsing building, structure, or structural element during fire	3	T	149	
3120XX	Other structural fire without collapse	3	T	150	
3130XX	Vehicle or machinery fire	3	T	151	
3140XX	Ignition of clothing from controlled heat source	3	T	152	
3150XX	Small-scale (limited) fire	3	T	153	
