occupation_code	occupation_text	display_level	selectable	sort_sequence
000000	All occupations	0	T	1	
111011	Chief executives	4	T	5	
11101X	Chief executives	3	T	4	
111021	General and operations managers	4	T	7	
11102X	General and operations managers	3	T	6	
111031	Legislators	4	T	9	
11103X	Legislators	3	T	8	
111XXX	Top executives	2	T	3	
112021	Marketing managers	4	T	14	
112022	Sales managers	4	T	15	
11202X	Marketing and sales managers	3	T	13	
112031	Public relations and fundraising managers	4	T	17	
11203X	Public relations and fundraising managers	3	T	16	
112XXX	Advertising, marketing, promotions, public relations, and sales managers	2	T	10	
113011	Administrative services managers	4	T	20	
11301X	Administrative services managers	3	T	19	
113021	Computer and information systems managers	4	T	22	
11302X	Computer and information systems managers	3	T	21	
113031	Financial managers	4	T	24	
11303X	Financial managers	3	T	23	
113051	Industrial production managers	4	T	26	
11305X	Industrial production managers	3	T	25	
113061	Purchasing managers	4	T	28	
11306X	Purchasing managers	3	T	27	
113071	Transportation, storage, and distribution managers	4	T	30	
11307X	Transportation, storage, and distribution managers	3	T	29	
113121	Human resources managers	4	T	34	
11312X	Human resources managers	3	T	33	
113131	Training and development managers	4	T	36	
11313X	Training and development managers	3	T	35	
113XXX	Operations specialties managers	2	T	18	
119013	Farmers, ranchers, and other agricultural managers	4	T	39	
11901X	Farmers, ranchers, and other agricultural managers	3	T	38	
119021	Construction managers	4	T	41	
11902X	Construction managers	3	T	40	
119032	Education administrators, elementary and secondary school	4	T	44	
119033	Education administrators, postsecondary	4	T	45	
11903X	Education administrators	3	T	42	
119041	Architectural and engineering managers	4	T	47	
11904X	Architectural and engineering managers	3	T	46	
119051	Food service managers	4	T	49	
11905X	Food service managers	3	T	48	
119061	Funeral service managers	4	T	51	
11906X	Funeral service managers	3	T	50	
119081	Lodging managers	4	T	55	
11908X	Lodging managers	3	T	54	
119111	Medical and health services managers	4	T	57	
11911X	Medical and health services managers	3	T	56	
119121	Natural sciences managers	4	T	59	
11912X	Natural sciences managers	3	T	58	
119131	Postmasters and mail superintendents	4	T	61	
11913X	Postmasters and mail superintendents	3	T	60	
119141	Property, real estate, and community association managers	4	T	63	
11914X	Property, real estate, and community association managers	3	T	62	
119151	Social and community service managers	4	T	65	
11915X	Social and community service managers	3	T	64	
11919X	Miscellaneous managers	3	T	68	
119XXX	Other management occupations	2	T	37	
11XXXX	Management occupations	1	T	2	
131021	Buyers and purchasing agents, farm products	4	T	74	
13102X	Buyers and purchasing agents	3	T	73	
131031	Claims adjusters, examiners, and investigators	4	T	78	
13103X	Claims adjusters, appraisers, examiners, and investigators	3	T	77	
131041	Compliance officers	4	T	81	
13104X	Compliance officers	3	T	80	
131051	Cost estimators	4	T	83	
13105X	Cost estimators	3	T	82	
131071	Human resources specialists	4	T	85	
131075	Labor relations specialists	4	T	87	
13107X	Human resources workers	3	T	84	
131081	Logisticians	4	T	89	
13108X	Logisticians	3	T	88	
131111	Management analysts	4	T	91	
13111X	Management analysts	3	T	90	
131121	Meeting, convention, and event planners	4	T	93	
13112X	Meeting, convention, and event planners	3	T	92	
131151	Training and development specialists	4	T	99	
13115X	Training and development specialists	3	T	98	
13119X	Miscellaneous business operations specialists	3	T	102	
131XXX	Business operations specialists	2	T	70	
132011	Accountants and auditors	4	T	105	
13201X	Accountants and auditors	3	T	104	
132021	Appraisers and assessors of real estate	4	T	107	
13202X	Appraisers and assessors of real estate	3	T	106	
132051	Financial analysts	4	T	113	
132052	Personal financial advisors	4	T	114	
13205X	Financial analysts and advisors	3	T	112	
132072	Loan officers	4	T	120	
13207X	Credit counselors and loan officers	3	T	118	
132081	Tax examiners, collectors, and revenue agents	4	T	122	
132082	Tax preparers	4	T	123	
13208X	Tax examiners, collectors and preparers, and revenue agents	3	T	121	
13209X	Miscellaneous financial specialists	3	T	124	
132XXX	Financial specialists	2	T	103	
13XXXX	Business and financial operations occupations	1	T	69	
151111	Computer and information research scientists	4	T	129	
15111X	Computer and information research scientists	3	T	128	
151121	Computer systems analysts	4	T	131	
151122	Information security analysts	4	T	132	
15112X	Computer and information analysts	3	T	130	
151131	Computer programmers	4	T	134	
151132	Software developers, applications	4	T	135	
151133	Software developers, systems software	4	T	136	
15113X	Software developers and programmers	3	T	133	
151141	Database administrators	4	T	139	
15114X	Database and systems administrators and network architects	3	T	138	
151151	Computer user support specialists	4	T	143	
151152	Computer network  support specialists	4	T	144	
15115X	Computer support specialists	3	T	142	
15119X	Miscellaneous computer occupations	3	T	145	
1511XX	Computer occupations	3	T	127	
151XXX	Computer specialists	2	T	126	
152031	Operations research analysts	4	T	152	
15203X	Operations research analysts	3	T	151	
152041	Statisticians	4	T	154	
15204X	Statisticians	3	T	153	
152XXX	Mathematical science occupations	2	T	146	
15XXXX	Computer and mathematical occupations	1	T	125	
171011	Architects, except landscape and naval	4	T	160	
17101X	Architects, except naval	3	T	159	
171022	Surveyors	4	T	164	
17102X	Surveyors, cartographers, and photogrammetrists	3	T	162	
171XXX	Architects, surveyors, and cartographers	2	T	158	
172011	Aerospace engineers	4	T	167	
17201X	Aerospace engineers	3	T	166	
172031	Biomedical engineers	4	T	171	
17203X	Biomedical engineers	3	T	170	
172051	Civil engineers	4	T	175	
17205X	Civil engineers	3	T	174	
172061	Computer hardware engineers	4	T	177	
17206X	Computer hardware engineers	3	T	176	
172071	Electrical engineers	4	T	179	
172072	Electronics engineers, except computer	4	T	180	
17207X	Electrical and electronics engineers	3	T	178	
172081	Environmental engineers	4	T	182	
17208X	Environmental engineers	3	T	181	
172112	Industrial engineers	4	T	185	
17211X	Industrial engineers, including health and safety	3	T	183	
172121	Marine engineers and naval architects	4	T	187	
17212X	Marine engineers and naval architects	3	T	186	
172141	Mechanical engineers	4	T	191	
17214X	Mechanical engineers	3	T	190	
172151	Mining and geological engineers, including mining safety engineers	4	T	193	
