case_code	category_code	category_text
3	00	Total private industry
E	00	Total private industry
S	00	Total private industry
P	00	Total private industry
N	00	Total private industry
O	00	Total private industry
A	00	Total private industry
L	00	Total private industry
R	00	Total private industry
G	00	Total private industry
E	09	Industry division-- Agriculture
S	09	Industry division-- Agriculture
P	09	Industry division-- Agriculture
N	09	Industry division-- Agriculture
O	09	Industry division-- Agriculture
A	09	Industry division-- Agriculture
L	09	Industry division-- Agriculture
R	09	Industry division-- Agriculture
G	09	Industry division-- Agriculture
3	09	Industry division-- Agriculture
E	10	Industry division-- Mining
S	10	Industry division-- Mining
P	10	Industry division-- Mining
N	10	Industry division-- Mining
O	10	Industry division-- Mining
A	10	Industry division-- Mining
L	10	Industry division-- Mining
R	10	Industry division-- Mining
G	10	Industry division-- Mining
3	10	Industry division-- Mining
E	20	Industry division-- Construction
S	20	Industry division-- Construction
P	20	Industry division-- Construction
N	20	Industry division-- Construction
O	20	Industry division-- Construction
A	20	Industry division-- Construction
L	20	Industry division-- Construction
R	20	Industry division-- Construction
G	20	Industry division-- Construction
3	20	Industry division-- Construction
E	30	Industry division-- Manufacturing
S	30	Industry division-- Manufacturing
P	30	Industry division-- Manufacturing
N	30	Industry division-- Manufacturing
O	30	Industry division-- Manufacturing
A	30	Industry division-- Manufacturing
L	30	Industry division-- Manufacturing
R	30	Industry division-- Manufacturing
G	30	Industry division-- Manufacturing
3	30	Industry division-- Manufacturing
E	40	Industry division-- Transportation and public utilities
S	40	Industry division-- Transportation and public utilities
P	40	Industry division-- Transportation and public utilities
N	40	Industry division-- Transportation and public utilities
O	40	Industry division-- Transportation and public utilities
A	40	Industry division-- Transportation and public utilities
L	40	Industry division-- Transportation and public utilities
R	40	Industry division-- Transportation and public utilities
G	40	Industry division-- Transportation and public utilities
3	40	Industry division-- Transportation and public utilities
E	50	Industry division-- Wholesale trade
S	50	Industry division-- Wholesale trade
P	50	Industry division-- Wholesale trade
N	50	Industry division-- Wholesale trade
O	50	Industry division-- Wholesale trade
A	50	Industry division-- Wholesale trade
L	50	Industry division-- Wholesale trade
R	50	Industry division-- Wholesale trade
G	50	Industry division-- Wholesale trade
3	50	Industry division-- Wholesale trade
E	60	Industry division-- Retail trade
S	60	Industry division-- Retail trade
P	60	Industry division-- Retail trade
N	60	Industry division-- Retail trade
O	60	Industry division-- Retail trade
A	60	Industry division-- Retail trade
L	60	Industry division-- Retail trade
R	60	Industry division-- Retail trade
G	60	Industry division-- Retail trade
3	60	Industry division-- Retail trade
E	70	Industry division-- Finance, insurance, and real estate
S	70	Industry division-- Finance, insurance, and real estate
P	70	Industry division-- Finance, insurance, and real estate
N	70	Industry division-- Finance, insurance, and real estate
O	70	Industry division-- Finance, insurance, and real estate
A	70	Industry division-- Finance, insurance, and real estate
L	70	Industry division-- Finance, insurance, and real estate
R	70	Industry division-- Finance, insurance, and real estate
G	70	Industry division-- Finance, insurance, and real estate
3	70	Industry division-- Finance, insurance, and real estate
E	80	Industry division-- Services
S	80	Industry division-- Services
P	80	Industry division-- Services
N	80	Industry division-- Services
O	80	Industry division-- Services
A	80	Industry division-- Services
L	80	Industry division-- Services
R	80	Industry division-- Services
G	80	Industry division-- Services
3	80	Industry division-- Services
3	AA	Age group-- Under 14
E	AA	Age group-- Under 14
S	AA	Age group-- Under 14
P	AA	Age group-- Under 14
N	AA	Age group-- Under 14
O	AA	Age group-- Under 14
L	AA	Age group-- Under 14
R	AA	Age group-- Under 14
G	AA	Age group-- Under 14
3	AB	Age group-- 14-15
E	AB	Age group-- 14-15
S	AB	Age group-- 14-15
P	AB	Age group-- 14-15
N	AB	Age group-- 14-15
O	AB	Age group-- 14-15
L	AB	Age group-- 14-15
R	AB	Age group-- 14-15
G	AB	Age group-- 14-15
3	AC	Age group-- 16-19
E	AC	Age group-- 16-19
S	AC	Age group-- 16-19
P	AC	Age group-- 16-19
N	AC	Age group-- 16-19
O	AC	Age group-- 16-19
L	AC	Age group-- 16-19
R	AC	Age group-- 16-19
G	AC	Age group-- 16-19
3	AD	Age group-- 20-24
E	AD	Age group-- 20-24
S	AD	Age group-- 20-24
P	AD	Age group-- 20-24
N	AD	Age group-- 20-24
O	AD	Age group-- 20-24
L	AD	Age group-- 20-24
R	AD	Age group-- 20-24
G	AD	Age group-- 20-24
3	AE	Age group-- 25-34
E	AE	Age group-- 25-34
S	AE	Age group-- 25-34
P	AE	Age group-- 25-34
N	AE	Age group-- 25-34
O	AE	Age group-- 25-34
L	AE	Age group-- 25-34
R	AE	Age group-- 25-34
G	AE	Age group-- 25-34
3	AF	Age group-- 35-44
E	AF	Age group-- 35-44
S	AF	Age group-- 35-44
P	AF	Age group-- 35-44
N	AF	Age group-- 35-44
O	AF	Age group-- 35-44
