division_code	industry_code	industry_name
00	0000	Private sector
09	0000	Agriculture, forestry, and fishing
09	0001	Agricultural production
09	0100	Agricultural production-crops
09	0200	Agricultural production-livestock
09	0700	Agricultural services
09	0720	Crop services
09 	0780	Landscape and horticultural services
09	0800	Forestry
09	0850	Forestry services
09	0900	Fishing, hunting, and trapping
10	0000	Mining
10	1000	Metal mining
10	1010	Iron ores
10	1020	Copper ores
10	1030	Lead and zinc ores
10	1040	Gold and silver ores
10	1050	Bauxite and other aluminum ores
10	1060	Ferroalloy ores, except vanadium
10	1090	Miscellaneous metal ores
10	1100	Anthracite mining
10	1200	Bituminous coal and lignite mining
10	1300	Oil and gas extraction
10	1310	Crude petroleum and natural gas
10	1320	Natural gas liquids
10	1380	Oil and gas field services
10	1400	Nonmetallic minerals, except fuels
10	1410	Dimension stone
10	1420	Crushed and broken stone
10	1440	Sand and gravel
10	1450	Clay, ceramic, and refractory minerals
10	1470	Chemical and fertilizer minerals
10	1490	Miscellaneous nonmetallic minerals 
20	0000	Construction
20	1500	General building contractors
20	1520	Residential building construction
20	1530	Operative builders
20	1540	Nonresidential building construction
20	1600	Heavy construction contractors
20	1610	Highway and street construction
20	1620	Heavy construction, except highway
20	1700	Special trade contractors
20	1710	Plumbing, heating, air conditioning
20	1720	Painting, paper hanging, decorating
20	1730	Electrical work
20	1740	Masonry, stonework, and plastering
20	1750	Carpentering and flooring
20	1760	Roofing and sheet metal work
20	1770	Concrete work
20	1780	Water well drilling
20	1790	Miscellaneous special trade contractors
30	0000	Manufacturing
30	1100	Durable goods
30	1200	Nondurable goods 
30	2000	Food and kindred products
30	2010	Meat products
30	2011	Meat packing plants
30	2013	Sausages and other prepared meats
30	2016	Poultry dressing plants
30	2017	Poultry and egg processing
30	2020	Dairy products
30	2021	Creamery butter
30	2022	Cheese, natural and processed
30	2023	Condensed and evaporated milk
30	2024	Ice cream and frozen desserts
30	2026	Fluid milk
30	2030	Preserved fruits and vegetables
30	2032	Canned specialties
30	2033	Canned fruits and vegetables
30	2034	Dehydrated fruits, vegetables, soups
30	2035	Pickles, sauces, and salad dressings
30	2037	Frozen fruits and vegetables
30	2038	Frozen specialties
30	2040	Grain mill products
30	2041	Flour and other grain mill products
30	2043	Cereal breakfast foods
30	2044	Rice milling
30	2045	Blended and prepared flour
30	2046	Wet corn milling
30	2047	Dog, cat, and other pet food
30	2048	Prepared feeds, n.e.c.
30	2050	Bakery products
30	2051	Bread, cake, and related products
30	2052	Cookies and crackers
30	2060	Sugar and confectionery products
30	2061	Raw cane sugar
30	2062	Cane sugar refining
30	2063	Beet sugar
30	2065	Confectionery products
30	2066	Chocolate and cocoa products
30	2067	Chewing gum
30	2070	Fats and oils
30	2074	Cottonseed oil mills
30	2075	Soybean oil mills
30	2076	Vegetable oil mills, n.e.c.
30	2077	Animal and marine fats and oils
30	2079	Shortening and cooking oils
30	2080	Beverages
30	2082	Malt beverages
30	2083	Malt
30	2084	Wines, brandy, and brandy spirits
30	2085	Distilled liquor, except brandy
30	2086	Bottled and canned soft drinks
30	2087	Flavoring extracts and sirups, n.e.c.
30	2090	Miscellaneous foods and kindred products
30	2091	Canned and cured seafoods
30	2092	Fresh or frozen packaged fish
30	2095	Roasted coffee
30	2097	Manufactured ice
30	2098	Macaroni and spaghetti
30	2099	Food preparations, n.e.c.
30	2100	Tobacco manufactures
30	2110	Cigarettes
30	2120	Cigars
30	2130	Chewing and smoking tobacco
30	2140	Tobacco stemming and redrying
30	2200	Textile mill products
30	2210	Weaving mills, cotton
30	2220	Weaving mills, synthetics
30	2230	Weaving and finishing mills, wool
30	2240	Narrow fabric mills
30	2250	Knitting mills
30	2251	Women's hosiery, except socks
30	2252	Hosiery, n.e.c.
30	2253	Knit outerwear mills
30	2254	Knit underwear mills
30	2257	Circular knit fabric mills
30	2258	Warp knit fabric mills
30	2259	Knitting mills, n.e.c.
30	2260	Textile finishing, except wool
30	2261	Finishing plants, cotton
30	2262	Finishing plants, synthetics
30	2269	Finishing plants, n.e.c.
30	2270	Floor covering mills
30	2271	Woven carpets and rugs
30	2272	Tufted carpets and rugs
30	2279	Carpets and rugs, n.e.c.
30	2280	Yarn and thread mills
30	2281	Yarn mills, except wool
30	2282	Throwing and winding mills
30	2283	Wool yarn mills
30	2284	Thread mills
30	2290	Miscellaneous textile goods
30	2291	Felt goods, except woven felts and hats
30	2292	Lace goods
30	2293	Paddings and upholstery filling
30	2294	Processed textile waste
30	2295	Coated fabrics, not rubberized
30	2296	Tire cord and fabric
30	2297	Nonwoven fabrics
30	2298	Cordage and twine
30	2299	Textile goods, n.e.c.
30	2300	Apparel and other textile products
30	2310	Men's and boys' suits and coats
30	2320	Men's and boys' furnishings
30	2321	Men's and boys' shirts and nightwear
30	2322	Men's and boys' underwear
30	2323	Men's and boy's neckwear
30	2327	Men's and boys' separate trousers
30	2328	Men's and boys' work clothing
30	2329	Men's and boys' clothing, n.e.c.
30	2330	Women's and misses' outerwear
30	2331	Women's and misses' blouse and waists
30	2335	Women's and misses' dresses
30	2337	Women's and misses' suits and coats
30	2339	Women's and misses' outerwear, n.e.c.
30	2340	Women's and children's undergarments
30	2341	Women's and children's underwear
30	2342	Brassieres and allied garments
30	2350	Hats, caps, and millinery
30	2351	Millinery
30	2352	Hats and caps, except millinery
30	2360	Children's outerwear
30	2361	Children's dresses and blouses
30	2363	Children's coats and suits
30	2369	Children's outerwear, n.e.c.
30	2380	Miscellaneous apparel and accessories
30	2381	Fabric dress and work gloves
30	2384	Robes and dressing gowns
30	2385	Waterproof outer garments
30	2386	Leather and sheep lined clothing
30	2387	Apparel belts
30	2389	Apparel and accessories, n.e.c.
30	2390	Miscellaneous fabricated textile products
30	2391	Curtains and draperies
30	2392	House furnishings, n.e.c.
30	2393	Textile bags
30	2394	Canvas and related products
30	2395	Pleating and stitching
30	2396	Automotive and apparel trimmings
30	2397	Schfli machine embroderies
30	2399	Fabricated textile products, n.e.c.
30	2400	Lumber and wood products
30	2410	Logging camps and logging contractors
30	2420	Sawmills and planing mills
30	2421	Sawmills and planing mills, general
30	2426	Hardwood dimension and flooring
30	2429	Special product sawmills, n.e.c.
30	2430	Millwork, plywood and structural members
30	2431	Millwork
30	2434	Wood kitchen cabinets
30	2435	Hardwood veneer and plywood
30	2436	Softwood veneer and plywood
30	2439	Structural wood memebers, n.e.c.
30	2440	Wood containers
30	2441	Nailed wood boxes and shook
30	2448	Wood pallets and skids
30	2449	Wood containers, n.e.c.
30	2450	Wood buildings and mobile homes
30	2451	Mobile homes
30	2452	Prefabricated wood buildings
30	2490	Miscellaneous wood products
30	2491	Wood preserving
30	2492	Particleboard
30	2499	Wood products, n.e.c.
30	2500	Furniture and fixtures
30	2510	Household furniture
30	2511	Wood household furniture
30	2512	Upholstered household furniture
30	2514	Metal household furniture
30	2515	Mattresses and bedsprings
30	2517	Wood TV and radio cabinets
30	2519	Household furniture, n.e.c.
30	2520	Office furniture
30	2521	Wood office furniture
30	2522	Metal office furniture
30	2530	Public building and related furniture
30	2540	Partitions and fixtures
30	2541	Wood partitions and fixtures
30	2542	Metal partitions and fixtures
30	2590	Miscellaneous furniture and fixtures
30	2591	Drapery hardware and blinds and shades
30	2599	Furniture and fixtures, n.e.c.
30	2600	Paper and allied products
30	2610	Pulp mills
30	2620	Paper mills, except building paper
30	2630	Paperboard mills
30	2640	Miscellaneous converted paper products
30	2641	Paper coating and glazing
30	2642	Envelopes
30	2643	Bags, except textile bags
30	2645	Die-cut paper and board
30	2646	Pressed and molded pulp goods
30	2647	Sanitary paper products
30	2648	Stationery products
30	2649	Converted paper products, n.e.c.
30	2650	Paperboard containers and boxes
30	2651	Folding paperboard boxes
30	2652	Set-up paperboard boxes
30	2653	Corrugated and solid fiber boxes
30	2654	Sanitary food containers
30	2655	Fiber cans, drums, and similar products
30	2660	Building paper and board mills
30	2700	Printing and publishing
30	2710	Newspapers
30	2720	Periodicals
30	2730	Books
30	2731	Book publishing
30	2732	Book printing
30	2740	Miscellaneous publishing
30	2750	Commercial printing
30	2751	Commercial printing, letterpress
30	2752	Commercial printing, lithographic
30	2753	Engraving and plate printing
30	2754	Commercial printing, gravure
30	2760	Manold business forms
30	2770	Greeting card publishing
30	2780	Blankbooks and bookbinding
30	2782	Blankbooks and looseleaf binders
30	2789	Bookbinding and related work
30	2790	Printing trade services
30	2791	Typesetting
30	2793	Photoengraving
30	2794	Electrotyping and stereotyping
30	2795	Lithographic platemaking services
30	2800	Chemicals and allied products
30	2810	Industrial inorganic chemicals
30	2812	Alkalies and chlorine
30	2813	Industrial gases
30	2816	Inorganic pigments
30	2819	Industrial inorganic chemicals, n.e.c.
30	2820	Plastics materials and synthetics
30	2821	Plastics materials and resins
30	2822	Synthetic rubber
30	2823	Cellulosic man-made fibers
30	2824	Organic fibers, noncellulosic
30	2830	Drugs
30	2831	Biological products
30	2833	Medicinals and botanicals
30	2834	Pharmaceutical preparations
30	2840	Soap, cleaners, and toilet goods
30	2841	Soap and other detergents
30	2842	Polishes and sanitation goods
30	2843	Surface active agents
30	2844	Toilet preparations
30	2850	Paints and allied products
30	2860	Industrial organic chemicals
30	2861	Gum and wood chemicals
30	2865	Cyclic crudes and intermediates
30	2869	Industrial organic chemicals, n.e.c.
30	2870	Agricultural chemicals
30	2873	Nitrogenous fertilizers
30	2874	Phosphatic fertilizers
30	2875	Fertilizers, mixing only
30	2879	Agricultural chemicals, n.e.c.
30	2890	Miscellaneous chemical products
30	2891	Adhesives and sealants
30	2892	Explosives
30	2893	Printing ink
30	2895	Carbon black
30	2899	Chemical preparations, n.e.c.
30	2900	Petroleum and coal products
30	2910	Petroleum refining
30	2950	Paving and roofing materials
30	2951	Paving mixtures and blocks
30	2952	Asphalt felts and coatings
30	2990	Miscellaneous petroleum and coal products
30	2992	Lubricating oils and greases
30	2999	Petroleum and coal products,n.e.c.
30	3000	Rubber and miscellaneous plastics products
30	3010	Tires and inner tubes
30	3020	Rubber and plastics footwear
30	3030	Reclaimed rubber
30	3040	Rubber and plastics hose and belting
30	3060	Fabricated rubber products, n.e.c.
30	3070	Miscellaneous plastics products
30	3100	Leather and leather products
30	3110	Leather tanning and finishing
30	3130	Boot and shoe cut stock and findings
30	3140	Footwear, except rubber
30	3142	House slippers
30	3143	Men's footwear, except athletic
30	3144	Women's footwear, except athletic
30	3149	Footwear, except rubber, n.e.c.
30	3150	Leather gloves and mittens
30	3160	Luggage
30	3170	Handbags and personal leather goods
30	3171	Women's handbags and purses
30	3172	Personal leather goods, n.e.c.
30	3190	Leather goods, n.e.c.
30	3200	Stone, clay, and glass products
30	3210	Flat glass
30	3220	Glass and glassware, pressed or blown
30	3221	Glass containers
30	3229	Pressed and blown glass, n.e.c.
30	3230	Products of purchased glass
30	3240	Cement, hydraulic
30	3250	Structural clay products
30	3251	Brick and structural clay tile
30	3253	Ceramic wall and floor tile
30	3255	Clay refractories
30	3259	Structural clay products, n.e.c.
30	3260	Pottery and related products
30	3261	Vitreous plumbing fixtures
30	3262	Vitreous china food utensils
30	3263	Fine earthenware food utensils
30	3264	Porcelain electrical supplies
