area_code	area_name	display_level	selectable	sort_sequence
000	All ownerships, All U.S.	0	T	0	
001	All ownerships, Alabama	0	T	5	
002	All ownerships, Alaska	0	T	10	
004	All ownerships, Arizona	0	T	15	
005	All ownerships, Arkansas	0	T	20	
006	All ownerships, California	0	T	25	
009	All ownerships, Connecticut	0	T	30	
010	All ownerships, Delaware	0	T	35	
011	All ownerships, District of Columbia	0	T	40	
012	All ownerships, Florida	0	T	45	
013	All ownerships, Georgia	0	T	50	
015	All ownerships, Hawaii	0	T	55	
017	All ownerships, Illinois	0	T	60	
018	All ownerships, Indiana	0	T	65	
019	All ownerships, Iowa	0	T	70	
020	All ownerships, Kansas	0	T	75	
021	All ownerships, Kentucky	0	T	80	
022	All ownerships, Louisiana	0	T	85	
023	All ownerships, Maine	0	T	90	
024	All ownerships, Maryland	0	T	95	
025	All ownerships, Massachusetts	0	T	100	
026	All ownerships, Michigan	0	T	105	
027	All ownerships, Minnesota	0	T	110	
029	All ownerships, Missouri	0	T	115	
030	All ownerships, Montana	0	T	120	
031	All ownerships, Nebraska	0	T	125	
032	All ownerships, Nevada	0	T	130	
034	All ownerships, New Jersey	0	T	135	
035	All ownerships, New Mexico	0	T	140	
036	All ownerships, New York	0	T	145	
037	All ownerships, North Carolina	0	T	150	
039	All ownerships, Ohio	0	T	155	
040	All ownerships, Oklahoma	0	T	160	
041	All ownerships, Oregon	0	T	165	
042	All ownerships, Pennsylvania	0	T	170	
043	All ownerships, Puerto Rico	0	T	175	
045	All ownerships, South Carolina	0	T	185	
047	All ownerships, Tennessee	0	T	190	
048	All ownerships, Texas	0	T	195	
049	All ownerships, Utah	0	T	200	
050	All ownerships, Vermont	0	T	205	
051	All ownerships, Virginia	0	T	210	
052	All ownerships, Virgin Islands	0	T	215	
053	All ownerships, Washington	0	T	220	
054	All ownerships, West Virginia	0	T	225	
055	All ownerships, Wisconsin	0	T	230	
056	All ownerships, Wyoming	0	T	235	
066	All ownerships, Guam	0	T	240	
100	Private industry, All U.S.	0	T	1	
101	Private industry, Alabama	0	T	6	
102	Private industry, Alaska	0	T	11	
104	Private industry, Arizona	0	T	16	
105	Private industry, Arkansas	0	T	21	
106	Private industry, California	0	T	26	
109	Private industry, Connecticut	0	T	31	
110	Private industry, Delaware	0	T	36	
111	Private industry, District of Columbia	0	T	41	
112	Private industry, Florida	0	T	46	
113	Private industry, Georgia	0	T	51	
115	Private industry, Hawaii	0	T	56	
117	Private industry, Illinois	0	T	61	
118	Private industry, Indiana	0	T	66	
119	Private industry, Iowa	0	T	71	
120	Private industry, Kansas	0	T	76	
121	Private industry, Kentucky	0	T	81	
122	Private industry, Louisiana	0	T	86	
123	Private industry, Maine	0	T	91	
124	Private industry, Maryland	0	T	96	
125	Private industry, Massachusetts	0	T	101	
126	Private industry, Michigan	0	T	106	
127	Private industry, Minnesota	0	T	111	
129	Private industry, Missouri	0	T	116	
130	Private industry, Montana	0	T	121	
131	Private industry, Nebraska	0	T	126	
132	Private industry, Nevada	0	T	131	
134	Private industry, New Jersey	0	T	136	
135	Private industry, New Mexico	0	T	141	
136	Private industry, New York	0	T	146	
137	Private industry, North Carolina	0	T	151	
139	Private industry, Ohio	0	T	156	
140	Private industry, Oklahoma	0	T	161	
141	Private industry, Oregon	0	T	166	
142	Private industry, Pennsylvania	0	T	171	
143	Private industry, Puerto Rico	0	T	176	
144	Private Industry, Rhode Island	0	T	181	
145	Private industry, South Carolina	0	T	186	
147	Private industry, Tennessee	0	T	191	
148	Private industry, Texas	0	T	196	
149	Private industry, Utah	0	T	201	
150	Private industry, Vermont	0	T	206	
151	Private industry, Virginia	0	T	211	
152	Private industry, Virgin Islands	0	T	216	
153	Private industry, Washington	0	T	221	
154	Private industry, West Virginia	0	T	226	
155	Private industry, Wisconsin	0	T	231	
156	Private industry, Wyoming	0	T	236	
166	Private industry, Guam	0	T	241	
700	State government, All U.S.	0	T	3	
701	State government, Alabama	0	T	8	
702	State government, Alaska	0	T	13	
704	State government, Arizona	0	T	18	
705	State government, Arkansas	0	T	23	
706	State government, California	0	T	28	
709	State government, Connecticut	0	T	33	
710	State government, Delaware	0	T	38	
711	State government, District of Columbia	0	T	43	
712	State government, Florida	0	T	48	
713	State government, Georgia	0	T	53	
715	State government, Hawaii	0	T	58	
717	State government, Illinois	0	T	63	
718	State government, Indiana	0	T	68	
719	State government, Iowa	0	T	73	
720	State government, Kansas	0	T	78	
721	State government, Kentucky	0	T	83	
722	State government, Louisiana	0	T	88	
723	State government, Maine	0	T	93	
724	State government, Maryland	0	T	98	
725	State government, Massachusetts	0	T	103	
726	State government, Michigan	0	T	108	
727	State government, Minnesota	0	T	113	
729	State government, Missouri	0	T	118	
730	State government, Montana	0	T	123	
731	State government, Nebraska	0	T	128	
732	State government, Nevada	0	T	133	
734	State government, New Jersey	0	T	138	
735	State government, New Mexico	0	T	143	
736	State government, New York	0	T	148	
737	State government, North Carolina	0	T	153	
739	State government, Ohio	0	T	158	
740	State government, Oklahoma	0	T	163	
741	State government, Oregon	0	T	168	
