case_type_code	case_type_text
0	RSE of Total recordable cases	
1	Total recordable cases	
2	Cases involving days away from work, job restriction, or transfer	
3	Cases involving days away from work	
4	Cases involving days of job transfer or restriction	
5	RSE of Cases involving days away from work, job restriction, or transfer	
6	RSE of Cases involving days away from work	
7	RSE of Cases involving days of job transfer or restriction	
8	Other recordable cases	
9	RSE of Other recordable cases	
A	RSE of Total recordable cases of poisoning	
B	RSE of Total recordable cases of skin disease	
C	RSE of Total recordable cases of hearing loss	
D	RSE of Total recordable cases of respiratory illnesses	
E	RSE of Total recordable cases of all other illnesses	
T	Total recordable cases of poisoning	
U	Total recordable cases of skin disease	
V	Total recordable cases of hearing loss	
W	Total recordable cases of respiratory illnesses	
Z	Total recordable cases of all other illnesses	
