industry_code	naics_code	industry_text	display_level	selectable	sort_sequence
D11____	D11	Agriculture, forestry, fishing, and hunting	0	F	1	
D21____	D21	Mining	0	F	44	
D22____	D22	Utilities	0	F	57	
D23____	D23	Construction	0	F	65	
D31_33_	D31,32,33	Manufacturing	0	F	86	
D42____	D42	Wholesale trade	0	F	313	
D44_45_	D44,45	Retail trade	0	F	339	
D48_49_	D48,49	Transportation and warehouseing	0	F	454	
D512___	D512	Motion picture and sound recording industries	2	F	555	
D517___	D517	Telecommunications	2	F	566	
D51____	D51	Information	0	F	543	
D52____	D52	Finance and insurance	0	F	585	
D53____	D53	Real estate and rental and leasing	0	F	608	
D54192_	D54192	Photographic Services	4	F	654	
D54____	D54	Professional, scientific, and technical services	0	F	631	
D55____	D55	Management of companies and enterprises	0	F	658	
D5613__	D5613	Employment services	3	F	671	
D5617__	D5617	Services to buildings and dwellings	3	F	679	
D56____	D56	Administrative and support and waste management and remediation services	0	F	663	
D61____	D61	Educational services	0	F	690	
D62____	D62	Health care and social assistance	0	F	709	
D71____	D71	Arts, entertainment, and recreation	0	F	756	
D72____	D72	Accommodation and food services	0	F	782	
D8122__	D8122	Death care services	3	F	816	
D8129__	D8129	Other personal services	3	F	826	
D81____	D81	Other services (except public administration)	0	F	802	
D90____	D90	Government	0	F	845	
N1111__	1111	Oilseed and grain farming	3	T	3	
N11121_	11121	Vegetable and melon farming	4	T	5	
N1112__	1112	Vegetable and melon farming	3	T	4	
N1113__	1113	Fruit and tree nut farming	3	T	6	
N1114__	1114	Greenhouse, nursery, and floriculture production	3	T	7	
N1119__	1119	Other crop farming	3	T	8	
N111___	111	Crop production	2	T	2	
N1121__	1121	Cattle ranching and farming	3	T	10	
N112210	112210	Hog and pig farming	5	T	13	
N11221_	11221	Hog and pig farming	4	T	12	
N1122__	1122	Hog and pig farming	3	T	11	
N1123__	1123	Poultry and egg production	3	T	14	
N1124__	1124	Sheep and goat farming	3	T	15	
N11251_	11251	Aquaculture	4	T	17	
N1125__	1125	Aquaculture	3	T	16	
N1129__	1129	Other animal production	3	T	18	
N112___	112	Animal production	2	T	9	
N113110	113110	Timber tract operations	5	T	22	
N11311_	11311	Timber tract operations	4	T	21	
N1131__	1131	Timber tract operations	3	T	20	
N113210	113210	Forest nurseries and gathering of forest products	5	T	25	
N11321_	11321	Forest nurseries and gathering of forest products	4	T	24	
N1132__	1132	Forest nurseries and gathering of forest products	3	T	23	
N113310	113310	Logging	5	T	28	
N11331_	11331	Logging	4	T	27	
N1133__	1133	Logging	3	T	26	
N113___	113	Forestry and logging	2	T	19	
N11411_	11411	Fishing	4	T	31	
N1141__	1141	Fishing	3	T	30	
N114210	114210	Hunting and trapping	5	T	34	
N11421_	11421	Hunting and trapping	4	T	33	
N1142__	1142	Hunting and trapping	3	T	32	
N114___	114	Fishing, hunting and trapping	2	T	29	
N11511_	11511	Support activities for crop production	4	T	37	
N1151__	1151	Support activities for crop production	3	T	36	
N115210	115210	Support activities for animal production	5	T	40	
N11521_	11521	Support activities for animal production	4	T	39	
N1152__	1152	Support activities for animal production	3	T	38	
N115310	115310	Support activities for forestry	5	T	43	
N11531_	11531	Support activities for forestry	4	T	42	
N1153__	1153	Support activities for forestry	3	T	41	
N115___	115	Support activities for agriculture and forestry	2	T	35	
N21111_	21111	Oil and gas extraction	4	T	48	
N2111__	2111	Oil and gas extraction	3	T	47	
N211___	211	Oil and gas extraction	2	T	46	
N21211_	21211	Coal mining	4	T	51	
N2121__	2121	Coal mining	3	T	50	
N2122__	2122	Metal ore mining	3	T	52	
N2123__	2123	Nonmetallic mineral mining and quarrying	3	T	53	
N212___	212	Mining (except oil and gas)	2	T	49	
N21311_	21311	Support activities for mining	4	T	56	
N2131__	2131	Support activities for mining	3	T	55	
N213___	213	Support activities for mining	2	T	54	
N21____	21	Mining	1	T	45	
N2211__	2211	Electric power generation, transmission and distribution	3	T	60	
N221210	221210	Natural gas distribution	5	T	63	
N22121_	22121	Natural gas distribution	4	T	62	
N2212__	2212	Natural gas distribution	3	T	61	
N2213__	2213	Water, sewage and other systems	3	T	64	
N221___	221	Utilities	2	T	59	
N22____	22	Utilities	1	T	58	
N23611_	23611	Residential building construction	4	T	68	
N2361__	2361	Residential building construction	3	T	67	
N2362__	2362	Nonresidential building construction	3	T	69	
N236___	236	Construction of buildings	2	T	66	
N2371__	2371	Utility system construction	3	T	71	
N237210	237210	Land subdivision	5	T	74	
N23721_	23721	Land subdivision	4	T	73	
N2372__	2372	Land subdivision	3	T	72	
N237310	237310	Highway, street, and bridge construction	5	T	77	
N23731_	23731	Highway, street, and bridge construction	4	T	76	
N2373__	2373	Highway, street, and bridge construction	3	T	75	
N237990	237990	Other heavy and civil engineering construction	5	T	80	
N23799_	23799	Other heavy and civil engineering construction	4	T	79	
N2379__	2379	Other heavy and civil engineering construction	3	T	78	
N237___	237	Heavy and civil engineering construction	2	T	70	
N2381__	2381	Building foundation and exterior contractors	3	T	82	
N2382__	2382	Building equipment contractors	3	T	83	
N2383__	2383	Building finishing contractors	3	T	84	
N2389__	2389	Other specialty trade contractors	3	T	85	
N238___	238	Specialty trade contractors	2	T	81	
N31111_	31111	Animal food manufacturing	4	T	89	
N3111__	3111	Animal food manufacturing	3	T	88	
