irc_code	irc_text	display_level	selectable	sort_sequence
C00A1	Persons age under 30, total	0 	T	262	
C00A2	Persons age 30 to 44, total	0 	T	263	
C00A3	Persons age 45 to 54, total	0 	T	264	
C00A4	Persons age 55 and over, total	0 	T	265	
C00A5	Persons age not available, total	0 	T	266	
C00G1	Men, total	0 	T	259	
C00G2	Women, total	0 	T	260	
C00G3	Gender not available, total	0 	T	261	
C00R1	White, total	0 	T	253	
C00R2	Black, total	0 	T	254	
C00R3	Hispanic origin, total	0 	T	255	
C00R4	American Indian or Alaskan Native, total	0 	T	256	
C00R5	Asian or Pacific Islander, total	0 	T	257	
C00R6	Race and ethnicity not available, total	0 	T	258	
C01A1	Persons age under 30, private nonfarm	0 	T	248	
C01A2	Persons age 30 to 44, private nonfarm	0 	T	249	
C01A3	Persons age 45 to 54, private nonfarm	0 	T	250	
C01A4	Persons age 55 and over, private nonfarm	0 	T	251	
C01A5	Persons age not available, private nonfarm	0 	T	252	
C01G1	Men, private nonfarm	0 	T	245	
C01G2	Women, private nonfarm	0 	T	246	
C01G3	Gender not available, private nonfarm	0 	T	247	
C01R1	White, private nonfarm	0 	T	239	
C01R2	Black, private nonfarm	0 	T	240	
C01R3	Hispanic origin, private nonfarm	0 	T	241	
C01R4	American Indian or Alaskan Native, private nonfarm	0 	T	242	
C01R5	Asian or Pacific Islander, private nonfarm	0 	T	243	
C01R6	Race and ethnicity not available, private nonfarm	0 	T	244	
N0001	Total all industries	0 	T	1	
N0002	Total, private	1 	T	3	
N0003	Agriculture, forestry, fishing and hunting	3 	T	4	
N0004	Mining, quarrying, and oil and gas extraction	3 	T	12	
N0005	Utilities	3 	T	16	
N0006	Construction	3 	T	17	
N0007	Manufacturing	3 	T	21	
N0008	Food	4 	T	23	
N0009	Beverage and tobacco products	4 	T	24	
N0010	Textile mills	4 	T	25	
N0011	Textile product mills	4 	T	26	
N0012	Apparel	4 	T	27	
N0013	Leather and allied products	4 	T	28	
N0014	Wood products	4 	T	29	
N0015	Paper	4 	T	30	
N0016	Printing and related support activities	4 	T	31	
N0017	Petroleum and coal products	4 	T	32	
N0018	Chemicals	4 	T	33	
N0019	Plastics and rubber products	4 	T	34	
N0020	Nonmetallic mineral products	4 	T	35	
N0021	Primary metals	4 	T	36	
N0022	Fabricated metal products	4 	T	37	
N0023	Machinery	4 	T	38	
N0024	Computer and electronic products	4 	T	39	
N0025	Electrical equipment and appliance mfg.	4 	T	40	
