provision_code	provision_text	display_level	selectable	sort_sequence
007	Medical care and retirement benefits	2	T	10	
008	Medical care and no retirement benefits	2	T	11	
009	Retirement and no medical care benefits	2	T	12	
010	No medical care and no retirement benefits	2	T	13	
011	Medical care and life insurance benefits	2	T	15	
012	Medical care and no life insurance benefits	2	T	16	
013	Life insurance and no medical care benefits	2	T	17	
014	No medical care and no life insurance benefits	2	T	18	
015	Medical care benefits and defined benefit retirement	2	T	21	
016	Defined benefit retirement and no medical care benefits	2	T	22	
017	Medical care benefits and no defined benefit retirement	2	T	23	
018	No medical care benefits and no defined benefit retirement	2	T	24	
019	Medical care benefits and defined contrib. retirement	2	T	26	
020	Defined contrib. retirement and no medical care benefits	2	T	27	
021	Medical care benefits and no defined contrib. retirement	2	T	28	
022	No medical care benefits and no defined contrib. retirement	2	T	29	
025	Access to sick leave and vacation	1	T	34	
027	Access to personal leave, vacation, or holidays	1	T	37	
028	Access to personal leave and vacation	1	T	38	
029	Access to vacation and holidays	1	T	39	
030	Access to paid vacation	1	T	2	
031	Mean # of annual paid vacation days after one yr of service	3	T	5	
032	Median # of annual paid vacation days after one yr of service	3	T	6	
033	Access to less than 5 paid vacation days after one yr of service	4	T	8	
034	Access to 5 to 9 paid vacation days after one yr of service	4	T	9	
035	Access to 10 to 14 paid vacation days after one yr of service	4	T	10	
036	Access to 15 to 19 paid vacation days after one yr of service	4	T	11	
037	Access to 20 to 24 paid vacation days after one yr of service	4	T	12	
038	Access to more than 24 paid vacation days after one yr of service	4	T	13	
039	Mean # of annual paid vacation days after five yrs of service	3	T	15	
040	Median # of annual paid vacation days after five yrs of service	3	T	16	
041	Access to less than 5 paid vacation days after five yrs of service	4	T	18	
042	Access to 5 to 9 paid vacation days after five yrs of service	4	T	19	
043	Access to 10 to 14 paid vacation days after five yrs of service	4	T	20	
044	Access to 15 to 19 paid vacation days after five yrs of service	4	T	21	
045	Access to 20 to 24 paid vacation days after five yrs of service	4	T	22	
046	Access to more than 24 paid vacation days after five yrs of service	4	T	23	
047	Mean # of annual paid vacation days after ten yrs of service	3	T	25	
048	Median # of annual paid vacation days after ten yrs of service	3	T	26	
049	Access to less than 5 paid vacation days after ten yrs of service	4	T	28	
050	Access to 5 to 9 paid vacation days after ten yrs of service	4	T	29	
051	Access to 10 to 14 paid vacation days after ten yrs of service	4	T	30	
052	Access to 15 to 19 paid vacation days after ten yrs of service	4	T	31	
053	Access to 20 to 24 paid vacation days after ten yrs of service	4	T	32	
054	Access to more than 24 paid vacation days after ten yrs of service	4	T	33	
055	Mean # of annual paid vacation days after twenty yrs of service	3	T	35	
056	Median # of annual paid vacation days after twenty yrs of service	3	T	36	
057	Access to less than 5 paid vacation days after twenty yrs of service	4	T	38	
058	Access to 5 to 9 paid vacation days after twenty yrs of service	4	T	39	
059	Access to 10 to 14 paid vacation days after twenty yrs of service	4	T	40	
060	Access to 15 to 19 paid vacation days after twenty yrs of service	4	T	41	
061	Access to 20 to 24 paid vacation days after twenty yrs of service	4	T	42	
062	Access to more than 24 paid vacation days after twenty yrs of service	4	T	43	
063	Access to consolidated leave plans	2	T	45	
064	Mean # of paid days after 1 yr of service for workers w/ consolidated leave plans	3	T	47	
065	Mean # of paid days after 5 yrs of service for workers w/ consolidated leave plans	3	T	48	
066	Mean # of paid days after 10 yrs of service for workers w/ consolidated leave plans	3	T	49	
067	Mean # of paid days after 20 yrs of service for workers w/ consolidated leave plans	3	T	50	
068	Access to paid vacation w/out consolidated leave plans	2	T	51	
069	Mean # of paid vacation days after 1 yr of service for workers w/out consolidated leave plans	3	T	53	
070	Mean # of paid vacation days after 5 yrs of service for workers w/out consolidated leave plans	3	T	54	
071	Mean # of paid vacation days after 10 yrs of service for workers w/out consolidated leave plans	3	T	55	
072	Mean # of paid vacation days after 20 yrs of service for workers w/out consolidated leave plans	3	T	56	
073	Access to paid holidays	1	T	2	
074	Mean # of paid holidays	2	T	4	
075	Median # of paid holidays	2	T	5	
076	Access to less than 6 paid holidays	3	T	9	
077	Access to 6 paid holidays	3	T	10	
078	Access to 7 paid holidays	3	T	11	
079	Access to 8 paid holidays	3	T	12	
080	Access to 9 paid holidays	3	T	13	
081	Access to 10 paid holidays	3	T	14	
082	Access to 11 paid holidays	3	T	15	
083	Access to 12 paid holidays	3	T	16	
084	Access to 13 paid holidays	3	T	17	
085	Access to 14 paid holidays	3	T	18	
086	Access to more than 14 paid holidays	3	T	19	
087	Access to paid sick leave	1	T	2	
088	Access to fixed # of paid sick days per yr	2	T	4	
089	% of workers w/ a fixed # of sick days per yr and a carryover provision	4	T	6	
090	% of workers w/ a fixed # of sick days per yr and an unlimited accumulation carryover provision	5	T	7	
091	% of workers w/ a fixed # of sick days per yr and a limit on days accumulated carryover provision	5	T	8	
092	# of sick days w/ limit on accumulation for workers w/ fixed # of sick days per yr (10th percentile)	7	T	10	
093	# of sick days w/ limit on accumulation for workers w/ fixed # of sick days per yr (25th percentile)	7	T	11	
094	# of sick days w/ limit on accumulation for workers w/ fixed # of sick days per yr (50th percentile)	7	T	12	
095	# of sick days w/ limit on accumulation for workers w/ fixed # of sick days per yr (75th percentile)	7	T	13	
096	# of sick days w/ limit on accumulation for workers w/ fixed # of sick days per yr (90th percentile)	7	T	14	
100	Mean # of sick days w/ a limit on days accumulated for workers w/ fixed # of sick days per yr	7	T	15	
102	% of workers w/ a fixed # of days per yr and no carryover provision	4	T	21	
103	Access to paid sick leave on an as needed basis	2	T	22	
104	Access to paid sick leave as part of consolidated leave plan	2	T	23	
105	Mean # of annual paid sick days after one yr of service	3	T	26	
106	Median # of annual paid sick days after one yr of service	3	T	27	
107	Access to less than 5 sick days after one yr of service	4	T	29	
108	Access to 5 to 9 sick days after one yr of service	4	T	30	
109	Access to 10 to 14 sick days after one yr of service	4	T	31	
110	Access to 15 to 29 sick days after one yr of service	4	T	32	
111	Access to more than 29 sick days after one yr of service	4	T	33	
112	Mean # of annual paid sick days after five yrs of service	3	T	35	
113	Median # of annual paid sick days after five yrs of service	3	T	36	
114	Access to less than 5 sick days after five yrs of service	4	T	38	
115	Access to 5 to 9 sick days after five yrs of service	4	T	39	
116	Access to 10 to 14 sick days after five yrs of service	4	T	40	
117	Access to 15 to 29 sick days after five yrs of service	4	T	41	
118	Access to more than 29 sick days after five yrs of service	4	T	42	
119	Mean # of annual paid sick days after ten yrs of service	3	T	44	
120	Median # of annual paid sick days after ten yrs of service	3	T	45	
121	Access to less than 5 sick days after ten yrs of service	4	T	47	
122	Access to 5 to 9 sick days after ten yrs of service	4	T	48	
123	Access to 10 to 14 sick days after ten yrs of service	4	T	49	
124	Access to 15 to 29 sick days after ten yrs of service	4	T	50	
125	Access to more than 29 sick days after ten yrs of service	4	T	51	
126	Mean # of annual paid sick days after twenty yrs of service	3	T	53	
127	Median # of annual paid sick days after twenty yrs of service	3	T	54	
128	Access to less than 5 sick days after twenty yrs of service	4	T	56	
129	Access to 5 to 9 sick days after twenty yrs of service	4	T	57	
130	Access to 10 to 14 sick days after twenty yrs of service	4	T	58	
131	Access to 15 to 29 sick days after twenty yrs of service	4	T	59	
132	Access to more than 29 sick days after twenty yrs of service	4	T	60	
133	Access to all nonproduction bonuses	1	T	2	
134	Access to a cash profit-sharing bonus	1	T	3	
135	Access to a ee recognition bonus	1	T	4	
136	Access to a end-of-year bonus	1	T	5	
137	Access to a holiday bonus	1	T	6	
138	Access to a payment in lieu of benefits bonus	1	T	7	
139	Access to a longevity bonus	1	T	8	
140	Access to a referral bonus	1	T	9	
141	Access to other bonuses	1	T	10	
142	Access to life insurance plans	1	T	2	
143	% of workers in life insurance plans	1	T	3	
