industry_code	industry_name	display_level	selectable	sort_sequence
000000	Cross-industry, Private, Federal, State, and Local Government	0	T	0	
000001	Cross-industry, Private Ownership Only	1	T	1	
11--12	Sector 11 - Agriculture, Forestry, Fishing and Hunting	2	T	2	
113000	Forestry and Logging	3	T	3	
113300	Logging	4	T	4	
115000	Support Activities for Agriculture and Forestry	3	T	5	
115100	Support Activities for Crop Production	4	T	6	
115200	Support Activities for Animal Production	4	T	7	
21--22	Sector 21 - Mining	2	T	8	
211000	Oil and Gas Extraction	3	T	9	
211100	Oil and Gas Extraction	4	T	10	
212000	Mining (except Oil and Gas)	3	T	11	
212100	Coal Mining	4	T	12	
212200	Metal Ore Mining	4	T	13	
212300	Nonmetallic Mineral Mining and Quarrying	4	T	14	
213000	Support Activities for Mining	3	T	15	
213100	Support Activities for Mining	4	T	16	
22--23	Sector 22 - Utilities	2	T	17	
221000	Utilities	3	T	18	
221100	Electric Power Generation, Transmission and Distribution	4	T	19	
221111	Hydroelectric Power Generation	6	T	20	
221112	Fossil Fuel Electric Power Generation	6	T	21	
221113	Nuclear Electric Power Generation	6	T	22	
221114	Solar Electric Power Generation	6	T	23	
221115	Wind Electric Power Generation	6	T	24	
221116	Geothermal Electric Power Generation	6	T	25	
221117	Biomass Electric Power Generation	6	T	26	
221118	Other Electric Power Generation	6	T	27	
221200	Natural Gas Distribution	4	T	28	
221300	Water, Sewage and Other Systems	4	T	29	
23--24	Sector 23 - Construction	2	T	30	
236000	Construction of Buildings	3	T	31	
236100	Residential Building Construction	4	T	32	
236200	Nonresidential Building Construction	4	T	33	
237000	Heavy and Civil Engineering Construction	3	T	34	
237100	Utility System Construction	4	T	35	
237130	Power and Communication Line and Related Structures Construction	5	T	36	
237200	Land Subdivision	4	T	37	
237300	Highway, Street, and Bridge Construction	4	T	38	
237900	Other Heavy and Civil Engineering Construction	4	T	39	
238000	Specialty Trade Contractors	3	T	40	
238100	Foundation, Structure, and Building Exterior Contractors	4	T	41	
238110	Poured Concrete Foundation and Structure Contractors	5	T	42	
238140	Masonry Contractors	5	T	43	
238160	Roofing Contractors	5	T	44	
238200	Building Equipment Contractors	4	T	45	
238210	Electrical Contractors and Other Wiring Installation Contractors	5	T	46	
238220	Plumbing, Heating, and Air-Conditioning Contractors	5	T	47	
238290	Other Building Equipment Contractors	5	T	48	
238300	Building Finishing Contractors	4	T	49	
238310	Drywall and Insulation Contractors	5	T	50	
238320	Painting and Wall Covering Contractors	5	T	51	
238900	Other Specialty Trade Contractors	4	T	52	
31--34	Sectors 31, 32, and 33 - Manufacturing	2	T	53	
311000	Food Manufacturing	3	T	54	
311100	Animal Food Manufacturing	4	T	55	
311200	Grain and Oilseed Milling	4	T	56	
311300	Sugar and Confectionery Product Manufacturing	4	T	57	
311400	Fruit and Vegetable Preserving and Specialty Food Manufacturing	4	T	58	
311500	Dairy Product Manufacturing	4	T	59	
311600	Animal Slaughtering and Processing	4	T	60	
311700	Seafood Product Preparation and Packaging	4	T	61	
311800	Bakeries and Tortilla Manufacturing	4	T	62	
311900	Other Food Manufacturing	4	T	63	
312000	Beverage and Tobacco Product Manufacturing	3	T	64	
312100	Beverage Manufacturing	4	T	65	
312200	Tobacco Manufacturing	4	T	66	
313000	Textile Mills	3	T	67	
313100	Fiber, Yarn, and Thread Mills	4	T	68	
313200	Fabric Mills	4	T	69	
313300	Textile and Fabric Finishing and Fabric Coating Mills	4	T	70	
314000	Textile Product Mills	3	T	71	
314100	Textile Furnishings Mills	4	T	72	
314900	Other Textile Product Mills	4	T	73	
315000	Apparel Manufacturing	3	T	74	
315100	Apparel Knitting Mills	4	T	75	
315200	Cut and Sew Apparel Manufacturing	4	T	76	
315900	Apparel Accessories and Other Apparel Manufacturing	4	T	77	
316000	Leather and Allied Product Manufacturing	3	T	78	
316100	Leather and Hide Tanning and Finishing	4	T	79	
316200	Footwear Manufacturing	4	T	80	
316900	Other Leather and Allied Product Manufacturing	4	T	81	
321000	Wood Product Manufacturing	3	T	82	
321100	Sawmills and Wood Preservation	4	T	83	
321200	Veneer, Plywood, and Engineered Wood Product Manufacturing	4	T	84	
321900	Other Wood Product Manufacturing	4	T	85	
322000	Paper Manufacturing	3	T	86	
322100	Pulp, Paper, and Paperboard Mills	4	T	87	
322200	Converted Paper Product Manufacturing	4	T	88	
323000	Printing and Related Support Activities	3	T	89	
323100	Printing and Related Support Activities	4	T	90	
324000	Petroleum and Coal Products Manufacturing	3	T	91	
324100	Petroleum and Coal Products Manufacturing	4	T	92	
325000	Chemical Manufacturing	3	T	93	
325100	Basic Chemical Manufacturing	4	T	94	
325200	Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing	4	T	95	
325300	Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing	4	T	96	
325400	Pharmaceutical and Medicine Manufacturing	4	T	97	
325500	Paint, Coating, and Adhesive Manufacturing	4	T	98	
325600	Soap, Cleaning Compound, and Toilet Preparation Manufacturing	4	T	99	
325900	Other Chemical Product and Preparation Manufacturing	4	T	100	
326000	Plastics and Rubber Products Manufacturing	3	T	101	
326100	Plastics Product Manufacturing	4	T	102	
326200	Rubber Product Manufacturing	4	T	103	
327000	Nonmetallic Mineral Product Manufacturing	3	T	104	
327100	Clay Product and Refractory Manufacturing	4	T	105	
327200	Glass and Glass Product Manufacturing	4	T	106	
327300	Cement and Concrete Product Manufacturing	4	T	107	
327400	Lime and Gypsum Product Manufacturing	4	T	108	
327900	Other Nonmetallic Mineral Product Manufacturing	4	T	109	
331000	Primary Metal Manufacturing	3	T	110	
331100	Iron and Steel Mills and Ferroalloy Manufacturing	4	T	111	
331200	Steel Product Manufacturing from Purchased Steel	4	T	112	
331300	Alumina and Aluminum Production and Processing	4	T	113	
331400	Nonferrous Metal (except Aluminum) Production and Processing	4	T	114	
331500	Foundries	4	T	115	
332000	Fabricated Metal Product Manufacturing	3	T	116	
332100	Forging and Stamping	4	T	117	
332200	Cutlery and Handtool Manufacturing	4	T	118	
332300	Architectural and Structural Metals Manufacturing	4	T	119	
332400	Boiler, Tank, and Shipping Container Manufacturing	4	T	120	
332500	Hardware Manufacturing	4	T	121	
332600	Spring and Wire Product Manufacturing	4	T	122	
332700	Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing	4	T	123	
332710	Machine Shops	5	T	124	
332720	Turned Product and Screw, Nut, and Bolt Manufacturing	5	T	125	
332800	Coating, Engraving, Heat Treating, and Allied Activities	4	T	126	
332900	Other Fabricated Metal Product Manufacturing	4	T	127	
333000	Machinery Manufacturing	3	T	128	
333100	Agriculture, Construction, and Mining Machinery Manufacturing	4	T	129	
333200	Industrial Machinery Manufacturing	4	T	130	
333300	Commercial and Service Industry Machinery Manufacturing	4	T	131	
333400	Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing	4	T	132	
333500	Metalworking Machinery Manufacturing	4	T	133	
333600	Engine, Turbine, and Power Transmission Equipment Manufacturing	4	T	134	
333900	Other General Purpose Machinery Manufacturing	4	T	135	
334000	Computer and Electronic Product Manufacturing	3	T	136	
334100	Computer and Peripheral Equipment Manufacturing	4	T	137	
334200	Communications Equipment Manufacturing	4	T	138	
334300	Audio and Video Equipment Manufacturing	4	T	139	
334400	Semiconductor and Other Electronic Component Manufacturing	4	T	140	
334500	Navigational, Measuring, Electromedical, and Control Instruments Manufacturing	4	T	141	
334600	Manufacturing and Reproducing Magnetic and Optical Media	4	T	142	
335000	Electrical Equipment, Appliance, and Component Manufacturing	3	T	143	
335100	Electric Lighting Equipment Manufacturing	4	T	144	
335200	Household Appliance Manufacturing	4	T	145	
335300	Electrical Equipment Manufacturing	4	T	146	
335900	Other Electrical Equipment and Component Manufacturing	4	T	147	
336000	Transportation Equipment Manufacturing	3	T	148	
336100	Motor Vehicle Manufacturing	4	T	149	
336200	Motor Vehicle Body and Trailer Manufacturing	4	T	150	
336300	Motor Vehicle Parts Manufacturing	4	T	151	
