occupation_code	occupation_name	display_level	selectable	sort_sequence
000000	All Occupations	0	T	0	
110000	Management Occupations	0	T	1	
111000	Top Executives	1	T	2	
111011	Chief Executives	3	T	3	
111021	General and Operations Managers	3	T	4	
111031	Legislators	3	T	5	
112000	Advertising, Marketing, Promotions, Public Relations, and Sales Managers	1	T	6	
112011	Advertising and Promotions Managers	3	T	7	
112020	Marketing and Sales Managers	2	T	8	
112021	Marketing Managers	3	T	9	
112022	Sales Managers	3	T	10	
112031	Public Relations and Fundraising Managers	3	T	11	
113000	Operations Specialties Managers	1	T	12	
113011	Administrative Services Managers	3	T	13	
113021	Computer and Information Systems Managers	3	T	14	
113031	Financial Managers	3	T	15	
113051	Industrial Production Managers	3	T	16	
113061	Purchasing Managers	3	T	17	
113071	Transportation, Storage, and Distribution Managers	3	T	18	
113111	Compensation and Benefits Managers	3	T	19	
113121	Human Resources Managers	3	T	20	
113131	Training and Development Managers	3	T	21	
119000	Other Management Occupations	1	T	22	
119013	Farmers, Ranchers, and Other Agricultural Managers	3	T	23	
119021	Construction Managers	3	T	24	
119030	Education Administrators	2	T	25	
119031	Education Administrators, Preschool and Childcare Center/Program	3	T	26	
119032	Education Administrators, Elementary and Secondary School	3	T	27	
119033	Education Administrators, Postsecondary	3	T	28	
119039	Education Administrators, All Other	3	T	29	
119041	Architectural and Engineering Managers	3	T	30	
119051	Food Service Managers	3	T	31	
119061	Funeral Service Managers	3	T	32	
119071	Gaming Managers	3	T	33	
119081	Lodging Managers	3	T	34	
119111	Medical and Health Services Managers	3	T	35	
119121	Natural Sciences Managers	3	T	36	
119131	Postmasters and Mail Superintendents	3	T	37	
119141	Property, Real Estate, and Community Association Managers	3	T	38	
119151	Social and Community Service Managers	3	T	39	
119161	Emergency Management Directors	3	T	40	
119199	Managers, All Other	3	T	41	
130000	Business and Financial Operations Occupations	0	T	42	
131000	Business Operations Specialists	1	T	43	
131011	Agents and Business Managers of Artists, Performers, and Athletes	3	T	44	
131020	Buyers and Purchasing Agents	2	T	45	
131021	Buyers and Purchasing Agents, Farm Products	3	T	46	
131022	Wholesale and Retail Buyers, Except Farm Products	3	T	47	
131023	Purchasing Agents, Except Wholesale, Retail, and Farm Products	3	T	48	
131030	Claims Adjusters, Appraisers, Examiners, and Investigators	2	T	49	
131031	Claims Adjusters, Examiners, and Investigators	3	T	50	
131032	Insurance Appraisers, Auto Damage	3	T	51	
131041	Compliance Officers	3	T	52	
131051	Cost Estimators	3	T	53	
131070	Human Resources Workers	2	T	54	
131071	Human Resources Specialists	3	T	55	
131074	Farm Labor Contractors	3	T	56	
131075	Labor Relations Specialists	3	T	57	
131081	Logisticians	3	T	58	
131111	Management Analysts	3	T	59	
131121	Meeting, Convention, and Event Planners	3	T	60	
131131	Fundraisers	3	T	61	
131141	Compensation, Benefits, and Job Analysis Specialists	3	T	62	
131151	Training and Development Specialists	3	T	63	
131161	Market Research Analysts and Marketing Specialists	3	T	64	
131199	Business Operations Specialists, All Other	3	T	65	
132000	Financial Specialists	1	T	66	
132011	Accountants and Auditors	3	T	67	
132021	Appraisers and Assessors of Real Estate	3	T	68	
132031	Budget Analysts	3	T	69	
132041	Credit Analysts	3	T	70	
132050	Financial Analysts and Advisors	2	T	71	
132051	Financial Analysts	3	T	72	
132052	Personal Financial Advisors	3	T	73	
132053	Insurance Underwriters	3	T	74	
132061	Financial Examiners	3	T	75	
132070	Credit Counselors and Loan Officers	2	T	76	
132071	Credit Counselors	3	T	77	
132072	Loan Officers	3	T	78	
132080	Tax Examiners, Collectors and Preparers, and Revenue Agents	2	T	79	
132081	Tax Examiners and Collectors, and Revenue Agents	3	T	80	
132082	Tax Preparers	3	T	81	
132099	Financial Specialists, All Other	3	T	82	
150000	Computer and Mathematical Occupations	0	T	83	
151100	Computer Occupations	2	T	84	
151111	Computer and Information Research Scientists	3	T	85	
151120	Computer and Information Analysts	2	T	86	
151121	Computer Systems Analysts	3	T	87	
151122	Information Security Analysts	3	T	88	
151130	Software Developers and Programmers	2	T	89	
151131	Computer Programmers	3	T	90	
151132	Software Developers, Applications	3	T	91	
151133	Software Developers, Systems Software	3	T	92	
151134	Web Developers	3	T	93	
151140	Database and Systems Administrators and Network Architects	2	T	94	
151141	Database Administrators	3	T	95	
151142	Network and Computer Systems Administrators	3	T	96	
151143	Computer Network Architects	3	T	97	
151150	Computer Support Specialists	2	T	98	
151151	Computer User Support Specialists	3	T	99	
151152	Computer Network Support Specialists	3	T	100	
151199	Computer Occupations, All Other	3	T	101	
152000	Mathematical Science Occupations	1	T	102	
152011	Actuaries	3	T	103	
152021	Mathematicians	3	T	104	
152031	Operations Research Analysts	3	T	105	
152041	Statisticians	3	T	106	
152090	Miscellaneous Mathematical Science Occupations	2	T	107	
152091	Mathematical Technicians	3	T	108	
152099	Mathematical Science Occupations, All Other	3	T	109	
170000	Architecture and Engineering Occupations	0	T	110	
171000	Architects, Surveyors, and Cartographers	1	T	111	
171010	Architects, Except Naval	2	T	112	
171011	Architects, Except Landscape and Naval	3	T	113	
171012	Landscape Architects	3	T	114	
171020	Surveyors, Cartographers, and Photogrammetrists	2	T	115	
171021	Cartographers and Photogrammetrists	3	T	116	
171022	Surveyors	3	T	117	
172000	Engineers	1	T	118	
172011	Aerospace Engineers	3	T	119	
172021	Agricultural Engineers	3	T	120	
172031	Biomedical Engineers	3	T	121	
172041	Chemical Engineers	3	T	122	
172051	Civil Engineers	3	T	123	
172061	Computer Hardware Engineers	3	T	124	
172070	Electrical and Electronics Engineers	2	T	125	
172071	Electrical Engineers	3	T	126	
172072	Electronics Engineers, Except Computer	3	T	127	
172081	Environmental Engineers	3	T	128	
172110	Industrial Engineers, Including Health and Safety	2	T	129	
172111	Health and Safety Engineers, Except Mining Safety Engineers and Inspectors	3	T	130	
172112	Industrial Engineers	3	T	131	
172121	Marine Engineers and Naval Architects	3	T	132	
172131	Materials Engineers	3	T	133	
172141	Mechanical Engineers	3	T	134	
172151	Mining and Geological Engineers, Including Mining Safety Engineers	3	T	135	
172161	Nuclear Engineers	3	T	136	
172171	Petroleum Engineers	3	T	137	
172199	Engineers, All Other	3	T	138	
173000	Drafters, Engineering Technicians, and Mapping Technicians	1	T	139	
173010	Drafters	2	T	140	
173011	Architectural and Civil Drafters	3	T	141	
173012	Electrical and Electronics Drafters	3	T	142	
173013	Mechanical Drafters	3	T	143	
173019	Drafters, All Other	3	T	144	
173020	Engineering Technicians, Except Drafters	2	T	145	
173021	Aerospace Engineering and Operations Technicians	3	T	146	
173022	Civil Engineering Technicians	3	T	147	
173023	Electrical and Electronics Engineering Technicians	3	T	148	
173024	Electro-Mechanical Technicians	3	T	149	
173025	Environmental Engineering Technicians	3	T	150	
173026	Industrial Engineering Technicians	3	T	151	
173027	Mechanical Engineering Technicians	3	T	152	
173029	Engineering Technicians, Except Drafters, All Other	3	T	153	
173031	Surveying and Mapping Technicians	3	T	154	
190000	Life, Physical, and Social Science Occupations	0	T	155	
191000	Life Scientists	1	T	156	
191010	Agricultural and Food Scientists	2	T	157	
191011	Animal Scientists	3	T	158	
191012	Food Scientists and Technologists	3	T	159	
191013	Soil and Plant Scientists	3	T	160	
191020	Biological Scientists	2	T	161	
191021	Biochemists and Biophysicists	3	T	162	
191022	Microbiologists	3	T	163	
191023	Zoologists and Wildlife Biologists	3	T	164	
191029	Biological Scientists, All Other	3	T	165	
191030	Conservation Scientists and Foresters	2	T	166	
191031	Conservation Scientists	3	T	167	
191032	Foresters	3	T	168	
191040	Medical Scientists	2	T	169	
191041	Epidemiologists	3	T	170	
191042	Medical Scientists, Except Epidemiologists	3	T	171	
191099	Life Scientists, All Other	3	T	172	
192000	Physical Scientists	1	T	173	
192010	Astronomers and Physicists	2	T	174	
192011	Astronomers	3	T	175	
192012	Physicists	3	T	176	
192021	Atmospheric and Space Scientists	3	T	177	
192030	Chemists and Materials Scientists	2	T	178	
192031	Chemists	3	T	179	
192032	Materials Scientists	3	T	180	
192040	Environmental Scientists and Geoscientists	2	T	181	
192041	Environmental Scientists and Specialists, Including Health	3	T	182	
192042	Geoscientists, Except Hydrologists and Geographers	3	T	183	
192043	Hydrologists	3	T	184	
192099	Physical Scientists, All Other	3	T	185	
193000	Social Scientists and Related Workers	1	T	186	
193011	Economists	3	T	187	
193022	Survey Researchers	3	T	188	
193030	Psychologists	2	T	189	
193031	Clinical, Counseling, and School Psychologists	3	T	190	
193032	Industrial-Organizational Psychologists	3	T	191	
193039	Psychologists, All Other	3	T	192	
193041	Sociologists	3	T	193	
193051	Urban and Regional Planners	3	T	194	
193090	Miscellaneous Social Scientists and Related Workers	2	T	195	
193091	Anthropologists and Archeologists	3	T	196	
193092	Geographers	3	T	197	
193093	Historians	3	T	198	
193094	Political Scientists	3	T	199	
193099	Social Scientists and Related Workers, All Other	3	T	200	
194000	Life, Physical, and Social Science Technicians	1	T	201	
194011	Agricultural and Food Science Technicians	3	T	202	
194021	Biological Technicians	3	T	203	
194031	Chemical Technicians	3	T	204	
194041	Geological and Petroleum Technicians	3	T	205	
194051	Nuclear Technicians	3	T	206	
194061	Social Science Research Assistants	3	T	207	
194090	Miscellaneous Life, Physical, and Social Science Technicians	2	T	208	
194091	Environmental Science and Protection Technicians, Including Health	3	T	209	
194092	Forensic Science Technicians	3	T	210	
194093	Forest and Conservation Technicians	3	T	211	
194099	Life, Physical, and Social Science Technicians, All Other	3	T	212	
210000	Community and Social Service Occupations	0	T	213	
211000	Counselors, Social Workers, and Other Community and Social Service Specialists	1	T	214	
211010	Counselors	2	T	215	
211011	Substance Abuse and Behavioral Disorder Counselors	3	T	216	
211012	Educational, Guidance, School, and Vocational Counselors	3	T	217	
211013	Marriage and Family Therapists	3	T	218	
211014	Mental Health Counselors	3	T	219	
211015	Rehabilitation Counselors	3	T	220	
211019	Counselors, All Other	3	T	221	
211020	Social Workers	2	T	222	
211021	Child, Family, and School Social Workers	3	T	223	
211022	Healthcare Social Workers	3	T	224	
211023	Mental Health and Substance Abuse Social Workers	3	T	225	
211029	Social Workers, All Other	3	T	226	
211090	Miscellaneous Community and Social Service Specialists	2	T	227	
211091	Health Educators	3	T	228	
211092	Probation Officers and Correctional Treatment Specialists	3	T	229	
211093	Social and Human Service Assistants	3	T	230	
211094	Community Health Workers	3	T	231	
211099	Community and Social Service Specialists, All Other	3	T	232	
212000	Religious Workers	1	T	233	
212011	Clergy	3	T	234	
212021	Directors, Religious Activities and Education	3	T	235	
212099	Religious Workers, All Other	3	T	236	
230000	Legal Occupations	0	T	237	
231000	Lawyers, Judges, and Related Workers	1	T	238	
231010	Lawyers and Judicial Law Clerks	2	T	239	
231011	Lawyers	3	T	240	
231012	Judicial Law Clerks	3	T	241	
231020	Judges, Magistrates, and Other Judicial Workers	2	T	242	
231021	Administrative Law Judges, Adjudicators, and Hearing Officers	3	T	243	
231022	Arbitrators, Mediators, and Conciliators	3	T	244	
231023	Judges, Magistrate Judges, and Magistrates	3	T	245	
232000	Legal Support Workers	1	T	246	
232011	Paralegals and Legal Assistants	3	T	247	
232090	Miscellaneous Legal Support Workers	2	T	248	
232091	Court Reporters	3	T	249	
232093	Title Examiners, Abstractors, and Searchers	3	T	250	
232099	Legal Support Workers, All Other	3	T	251	
250000	Education, Training, and Library Occupations	0	T	252	
251000	Postsecondary Teachers	1	T	253	
251011	Business Teachers, Postsecondary	3	T	254	
251020	Math and Computer Teachers, Postsecondary	2	T	255	
