estimate_code	estimate_text	display_level	selectable	sort_sequence
00043	Percent of workers where type of interaction with regular contacts is very structured	0	T	32	
00044	Percent of workers where type of interaction with regular contacts is structured	0	T	33	
00045	Percent of workers where type of interaction with regular contacts is semi-structured	0	T	34	
00046	Percent of workers where type of interaction with regular contacts is unstructured	0	T	35	
00047	Percent of workers where type of interaction with regular contacts is very unstructured	0	T	36	
00049	Percent of workers where type of interaction with regular contacts, mode	0	T	31	
00057	Percent of workers where type of interaction with other contacts is very structured	0	T	45	
00058	Percent of workers where type of interaction with other contacts is structured	0	T	46	
00059	Percent of workers where type of interaction with other contacts is semi-structured	0	T	47	
00060	Percent of workers where type of interaction with other contacts is unstructured	0	T	48	
00061	Percent of workers where type of interaction with other contacts is very unstructured	0	T	49	
00063	Percent of workers where type of interaction with other contacts, mode	0	T	44	
00064	Percent of workers where svp is short demonstration only	0	T	820	
00065	Percent of workers where svp is greater than short demonstration, less than or equal to 1 month	0	T	821	
00066	Percent of workers where svp is greater than 1 month, less than or equal to 3 months	0	T	822	
00067	Percent of workers where svp is greater than 3 months, less than or equal to 6 months	0	T	823	
00068	Percent of workers where svp is greater than 6 months, less than or equal to 1 year	0	T	824	
00069	Percent of workers where svp is greater than 1 year, less than or equal to 2 years	0	T	825	
00070	Percent of workers where svp is greater than 2 years, less than or equal to 4 years	0	T	826	
00071	Percent of workers where svp is greater than 4 years, less than or equal to 10 years	0	T	827	
00072	Percent of workers where svp is over 10 years	0	T	828	
00074	Percent of workers where svp requirement, mode	0	T	819	
00075	Percent of workers where minimum education level is none	0	T	874	
00076	Percent of workers where minimum education level is a high school diploma	0	T	875	
00077	Percent of workers where minimum education level is an associate's degree	0	T	876	
00079	Percent of workers where minimum education level is a master's degree	0	T	878	
00080	Percent of workers where minimum education level is a professional degree	0	T	879	
00081	Percent of workers where minimum education level is a doctorate degree	0	T	880	
00084	Percent of workers where minimum education level requirement, mode	0	T	883	
00085	Percent of workers where literacy is required	0	T	830	
00086	Percent of workers where literacy is not required	0	T	831	
00098	Percent of workers where pre-employment training is required	0	T	841	
00099	Percent of workers where pre-employment training is not required	0	T	842	
00101	Days of pre-employment training, mean	0	T	834	
00102	Days of pre-employment training (10th Percentile)	0	T	835	
00103	Days of pre-employment training (25th Percentile)	0	T	836	
00104	Days of pre-employment training (50th Percentile - median)	0	T	837	
