industry_code	industry_name
10__	Metal mining
101_	Iron ores
1011	Iron ores
102_	Copper ores
1021	Copper ores
103_	Lead and zinc ores
1031	Lead and zinc ores
104_	Gold and silver ores
1041	Gold ores
1044	Silver ores
105_	Bauxite and other aluminum ores
1051	Bauxite and other aluminum ores
106_	Ferroalloy ores
1061	Ferroalloy ores
108_	Metal mining services
1081	Metal mining services
109_	Miscellaneous metal ores
1094	Uranium-radium-vanadium ores
1099	Metal ores, n.e.c.
11__	Anthracite mining
1111	Anthracite
12__	Coal mining
121_	Bituminous coal and lignite
1211	Bituminous coal and lignite
1213	Bituminous coal and lignite mining services
122_	Bituminous coal and lignite mining
1221	Bituminous coal & lignite surface mining
1222	Bituminous coal underground mining
123_	Anthracite mining
1231	Anthracite mining
124_	Coal mining services
1241	Coal mining services
13__	Oil and gas extraction
131_	Crude petroleum and natural gas
1311	Crude petroleum and natural gas
1312	Crude petroleum and natural gas
132_	Natural Gas Liquids
1321	Natural gas liquids
1322	Natural gas liquids and natural gas residue
133_	Crude petroleum, natural gas, and natural gas liquids
1331	Crude petroleum, natural gas and natural gas liquids
138_	Oil and gas field services
1381	Drilling oil and gas wells
1382	Oil and gas field exploration services
1389	Oil and gas field services, n.e.c.
14__	Mining and quarrying of non-metallic minerals, except fuels
141_	Dimension Stone
1411	Dimension stone
142_	Crushed and broken stone, including riprap
1422	Crushed and broken limestone
1423	Crushed and broken granite, n.e.c.
1429	Crushed and broken stone, n.e.c.
144_	Sand and gravel
1442	Construction sand and gravel
1446	Industrial sand
145_	Clay, ceramic, and refractory minerals
1452	Bentonite
1453	Fire clay
1454	Fuller's earth
1455	Kaolin and ball clay
1459	Clay and related minerals, n. e. c
147_	Chemical and fertilizer mineral mining
1472	Barite
1474	Potash, soda, and borate minerals
1475	Phosphate rock
1476	Rock salt
1477	Sulfur
1479	Chemical and fertilizer mineral mining, n.e.c.
148_	Non-metallic minerals (except fuels) services
1481	Nonmetallic minerals services (except fuels)
149_	Miscellaneous nonmetallic minerals, except fuels
1492	Gypsum mining
1496	Talc, soapstone, and pyrophyllite
1499	Miscellaneous nonmetallic minerals
20__	Food and kindred products
201_	Meat products
2011	Meat packing plants
2013	Sausages and other prepared meat products, made from purchased material
2015	Poultry and egg processing
2018	Poultry dressing, poultry and egg processing
202_	Dairy products
2021	Creamery butter
2022	Natural and processed cheese
2023	Dry, condensed, and evaporated milk products
2024	Ice cream and frozen desserts
2026	Fluid milk
203_	Canned and preserved fruits and vegetables
2032	Canned specialties
2033	Canned fruits, vegetables, preserves, jams and jellies
2034	Dried & dehydrated fruits, vegetables, & soup mixes
2035	Pickled fruits and vegetables, vegetable sauces and seasonings, and salad dressings
2037	Frozen fruits and vegetables
2038	Frozen specialties, n.e.c.
204_	Grain mill products
2041	Flour and other grain mill products
2043	Cereal breakfast foods
2044	Rice milling
2045	Prepared flour mixes and doughs
2046	Wet corn milling
2047	Dog and cat food
2048	Prepared animal feeds, n.e.c.
205_	Bakery products
2051	Bread and other bakery products, except cookies and crackers
2052	Cookies and crackers
2053	Frozen bakery products, except bread
206_	Sugar and confectionery products
2061	Raw cane sugar mills
2062	Cane sugar refining
2063	Beet sugar processing
2064	Candy and other confectionery products, and chewing gum
2065	Confectionery products
2066	Chocolate and cocoa products
2067	Chewing gum and gum base
2068	Salted and roasted nuts and seeds
207_	Fats and oils
2074	Cottonseed oil mill products
2075	Soybean oil mill products
2076	Vegetable oil mills, n.e.c.
2077	Animal and marine fats and oils
2079	Shortening, cooking oils, and margarine
208_	Beverages
2082	Malt beverages
2083	Malt
2084	Wines, brandy, and brandy spirits
2085	Distilled and blended liquors
2086	Bottled and canned soft drinks and carbonated waters
2087	Flavoring extracts and flavoring syrups, n.e.c.
209_	Miscellaneous food preparations and kindred products
2091	Canned and cured fish and seafoods
2092	Prepared fresh or frozen fish and seafoods
2095	Coffee
2096	Potato chips, corn chips, and similar snacks
2097	Manufactured ice
2098	Macaroni, spaghetti, vermicelli, and noodles
2099	Food preparations, n.e.c.
21__	Tobacco manufactures
211_	Cigarettes
2111	Cigarettes
212_	Cigars
2121	Cigars
213_	Chewing and smoking tobacco and snuff
2131	Chewing and smoking tobacco and snuff
214_	Tobacco stemming and redrying
2141	Tobacco stemming and redrying
22__	Textile mill products
221_	Cotton broadwoven fabric
2211	Cotton broadwoven fabric
222_	Synthetic fiber and silk broadwoven fabric
2221	Manmade fiber and silk broadwoven fabric
223_	Wool weaving and finishing
2231	Wool weaving and finishing
224_	Narrow fabric mills
2241	Narrow fabric mills
225_	Knitting mills
2251	Women's hosiery, except socks
2252	Hosiery, n.e.c.
2253	Knit outerwear
2254	Knit underwear and nightwear mills
2257	Circular knit fabric mills
2258	Lace and warp knit fabric mills
2259	Knitting mills n.e.c.
