industry_code	product_code	product_name
10__	#        	Metal mining
101_	#        	Iron ores
1011	#        	Iron ores
1011	#1       	Iron ores
1011	#12      	Ores, Great Lakes area
1011	#122     	Pellets
1011	#13      	Ores, all areas, excluding Great Lakes
1011	#134     	Other ores
1011	#2       	Ores, Great Lakes area
1011	#21      	Pellets
1011	#211     	Intra-company transfers
1011	#212     	Market sales
1011	#3       	Ores, all areas, excluding Great Lakes
1011	#32      	Other ores
1011	#322     	Market sales
1011	#8       	Iron ores
1011	#P       	Primary products
102_	#        	Copper ores
1021	#        	Copper ores
1021	#3       	Copper concentrates, copper precipitates, and crude copper ores
1021	#302     	Copper concentrates
1021	#P       	Primary products
1021	#S       	Secondary products
103_	#        	Lead and zinc ores
1031	#        	Lead and zinc ores
1031	#2       	Lead and zinc concentrates
1031	#214     	Lead concentrates
1031	#215     	Zinc concentrates
1031	#P       	Primary products
104_	#        	Gold and silver ores
1041	#        	Gold ores
1041	#3       	Gold mill bullion and placer gold
1041	#4       	Gold mill bullion, including dore
1041	#401     	Gold mill bullion, including dore
1041	#P       	Primary products
1044	#        	Silver ores
1044	#5       	Silver concentrates
1044	#501     	Silver concentrates
1044	#P       	Primary products
105_	#        	Bauxite and other aluminum ores
1051	#        	Bauxite and other aluminum ores
1051	#P       	Primary products
106_	#        	Ferroalloy ores
1061	#        	Ferroalloy ores
1061	#2       	Ferroalloy ores/concentrates
1061	#P       	Primary products
108_	#        	Metal mining services
1081	#        	Metal mining services
1081	#8       	Metal mining services
1081	#803     	Prospect and test drilling
1081	#809     	Other metal mining services
1081	#P       	Primary products
109_	#        	Miscellaneous metal ores
1094	#        	Uranium-radium-vanadium ores
1094	#2       	Concentrates and precipitates
1094	#212     	Uranium concentrates and precipitates
1094	#P       	Primary products
1099	#        	Metal ores, n.e.c.
1099	#1       	Metal ores, n.e.c.
1099	#102     	Mercury ores and metals
1099	#103     	Other crude ores and concentrates, such as antimony, rare-earth metals, beryllium, and tin
1099	#104     	Bauxite and other aluminum ores
1099	#2       	Bauxite and other aluminum ores
1099	#8       	Miscellaneous metal ores
1099	#P       	Primary products
11__	#        	Anthracite mining
1111	#        	Anthracite
1111	#1       	Unprepared anthracite shipped
1111	#2       	Prepared anthracite shipped
1111	#206     	Stove
1111	#207     	Chestnut
1111	#208     	Pea
1111	#209     	Buckwheat no. 1
1111	#211     	Buckwheat no. 2
1111	#213     	Buckwheat no. 4
1111	#214     	Buckwheat no. 5
1111	#M       	Miscellaneous receipts
1111	#P       	Primary products
1111	#SM      	Secondary products and miscellaneous receipts
12__	#        	Coal mining
121_	#        	Bituminous coal and lignite
1211	#        	Bituminous coal and lignite
1211	#1       	Unprepared
1211	#101     	For preparation at other establishments
1211	#102     	For use without preparation
1211	#2       	Steam electric utilities
1211	#211     	North Appalachia
1211	#211__C1 	Spot
1211	#211__C7 	Contract
1211	#2118    	Spot
1211	#21181   	Underground mine
1211	#21182   	Surface mine
1211	#2119    	Contract
1211	#21191   	Underground mine
1211	#21192   	Surface mine
1211	#212     	South Appalachia
1211	#212__C1 	Spot
1211	#212__C7 	Contract
1211	#2128    	Spot
1211	#21281   	Underground mine
1211	#21282   	Surface mine
1211	#2129    	Contract
1211	#21291   	Underground mine
1211	#21292   	Surface mine
1211	#213     	Midwest
1211	#213__C1 	Spot
1211	#213__C7 	Contract
1211	#2138    	Spot
1211	#21382   	Surface mine
1211	#2139    	Contract
1211	#21391   	Underground mine
1211	#21392   	Surface mine
1211	#214     	West
1211	#214__C7 	Contract
1211	#2148    	Spot
1211	#21481   	Underground mine
1211	#21482   	Surface mine
1211	#2149    	Contract
1211	#21491   	Underground mine
1211	#21492   	Surface mine
1211	#3       	Metallurgical/coke producer
1211	#31      	High volatile
1211	#311     	North Appalachia
1211	#311__C7 	Contract
1211	#312     	South Appalachia
1211	#312__C7 	Contract
1211	#3168    	Spot
1211	#3169    	Contract
1211	#32      	Medium volatile
1211	#322__C1 	Spot
1211	#33      	Low volatile
1211	#331__C7 	Contract
1211	#332     	South Appalachia
1211	#332__C7 	Contract
1211	#4       	All other industrial
1211	#411     	North Appalachia
1211	#411__C7 	Contract
1211	#4118    	Spot
1211	#4119    	Contract
1211	#412     	South Appalachia
1211	#412__C7 	Contract
1211	#4128    	Spot
1211	#4129    	Contract
1211	#413     	Midwest
1211	#413__C7 	Contract
1211	#4138    	Spot
1211	#4139    	Contract
1211	#414     	West
1211	#414__C7 	Contract
1211	#4148    	Spot
1211	#4149    	Contract
1211	#5       	Residential and commercial
1211	#6       	Export
1211	#612     	South Appalachia
1211	#612__C7 	Contract
1211	#614     	West
1211	#614__C7 	Contract
1211	#8       	Intracompany shipments
1211	#A       	Prepared
1211	#P       	Primary products
1213	#        	Bituminous coal and lignite mining services
1213	#1       	Exploration and development work
