area_code	area_name

0000	Statewide
0040	Abilene
0080	Akron
0120	Albany
0160	Albany-Schenectady-Troy
0200	Albuquerque
0220	Alexandria
0240	Allentown-Bethlehem
0280	Altoona
0320	Amarillo
0380	Anchorage
0400	Anderson
0440	Ann Arbor
0460	Appleton-Oshkosh-Neenah
0480	Asheville
0500	Athens
0520	Atlanta
0560	Atlantic City
0600	Augusta
0620	Aurora-Elgin
0640	Austin
0680	Bakersfield
0720	Baltimore Msa
0721	Baltimore City
0740	Barnstable-Yarmouth
0741	Barre-Montpelier
0760	Baton Rouge
0780	Battle Creek
0800	Bay City
0840	Beaumont-Port Arthur
0845	Beaver County
0870	Benton Harbor
0875	Bergen-Passaic
0880	Billings
0960	Binghamton
1000	Birmingham
1010	Bismarck
1020	Bloomington
1040	Bloomington-Normal
1080	Boise City
1120	Boston
1125	Boulder-Longmont
1140	Bradenton
1145	Brazoria
1160	Bridgeport-Milford
1181	Bristol
1200	Brockton
1240	Brownsville-Harlingen
1260	Bryan-College Station
1280	Buffalo
1281	Buffalo-Niagara Falls
1282	Buffalo
1305	Burlington
1310	Caguas
1311	Camden
1320	Canton
1350	Casper
1360	Cedar Rapids
1400	Champaign-Urbana-Rantoul
1440	Charleston
1480	Charleston
1520	Charlotte-Gastonia-Rock Hill
1540	Charlottesville
1560	Chattanooga
1571	Cheyenne
1591	Chicago-Gary
1600	Chicago
1640	Cincinnati
1680	Cleveland
1720	Colorado Springs
1760	Columbia
1800	Columbus
1840	Columbus
1880	Corpus Christi
1920	Dallas
1930	Danbury
1950	Danville
1960	Davenport-Rock Island-Moline
2000	Dayton-Springfield
2020	Daytona Beach
2040	Decatur
2051	Delaware Valley
2080	Denver
2120	Des Moines
2160	Detroit
2190	Dover
2200	Dubuque
2240	Duluth
2281	Dutchess County
2290	Eau Claire
2320	El Paso
2330	Elkhart-Goshen
2335	Elmira
2340	Enid
2360	Erie
2400	Eugene-Springfield
2440	Evansville
2480	Fall River
2520	Fargo-Moorhead
2580	Fayetteville-Springdale
2600	Fitchburg-Leominster
2640	Flint
2680	Fort Lauderdale-Hollywood-Pompano Beach
2700	Fort Myers-Cape Coral
2720	Fort Smith
2760	Fort Wayne
2800	Ft Worth-Arlington
2840	Fresno
2900	Gainesville
2920	Galveston-Texas City
2960	Gary-Hammond
2975	Glens Falls
2985	Grand Forks
3000	Grand Rapids
3040	Great Falls
3080	Green Bay
3120	Greensboro-Winston-Salem-High Pt
3160	Greenville-Spartanburg
3181	Hackensack
3200	Hamilton-Middletown
3240	Harrisburg-Lebanon-Carlisle
3280	Hartford
3320	Honolulu
3350	Houma-Thibodaux
3360	Houston
3400	Huntington-Ashland
3440	Huntsville
3480	Indianapolis
3500	Iowa City
3520	Jackson
3560	Jackson
3600	Jacksonville
3620	Janesville-Beloit
3640	Jersey City
3660	Johnson City-Kingsport-Bristol
3680	Johnstown
3690	Joliet
3720	Kalamazoo
3740	Kankakee
3760	Kansas City
3800	Kenosha
3810	Killeen-Temple
3840	Knoxville
3850	Kokomo
3870	La Crosse
3880	Lafayette
3920	Lafayette
3960	Lake Charles
3965	Lake County
3980	Lakeland-Winter Haven
4000	Lancaster
4040	Lansing-East Lansing
4080	Laredo
4100	Las Cruces
4120	Las Vegas
4150	Lawrence
4160	Lawrence-Haverhill
4200	Lawton
4240	Lewiston-Auburn
4280	Lexington-Fayette
4320	Lima
4360	Lincoln
4400	Little Rock-North Little Rock
4410	Long Branch-Asbury Park
4420	Longview-Marshall
4480	Los Angeles-Long Beach
4520	Louisville
4560	Lowell
4600	Lubbock
4640	Lynchburg
4680	Macon-Warner Robins
4720	Madison
4760	Manchester
4800	Mansfield
4840	Mayaguez
4880	Mcallen-Edinburg-Mission
4890	Medford
4900	Melbourne-Titusville-Palm Bay
4920	Memphis
5000	Miami-Hialeah
5015	Middlesex-Somerset-Hunterdon
5040	Midland
5080	Milwaukee
5120	Minneapolis-St Paul
