group_code	item_code	item_name
01	110107	Limes	
01	1102031	Sweet cherries	
01	110207	Pineapples	
01	110217	Bananas, 40 lb. box	
01	110218	Table grapes	
01	110223	Cantaloupes	
01	12	Dried fruits, bulk	
01	120101	Prunes	
01	120102	Raisins	
01	130101	Dry pea beans	
01	130102	Dry pinto beans	
01	130103	Dry great northern beans	
01	130104	Dry pink beans	
01	130105	Dry peas	
01	130106	Dry lentils	
01	130107	Dry kidney beans	
01	130108	Dry small red beans	
01	130109	Dry garbanzo beans	
01	130227	Green onions	
01	130233	Radishes	
01	130331	Sweet potatoes, New York	
01	130332	Sweet potatoes, Chicago	
01	1304	Irish potatoes for consumer use	
01	130401	Long white potatoes	
01	130402	Round white potatoes	
01	130403	Russet potatoes	
01	130404	Round red potatoes	
01	130441	Western, Chicago	
01	130442	Midwestern, Chicago	
01	130443	Eastern, New York	
01	130444	Western, New York	
01	130445	Western, Los Angeles	
01	1305	Irish potatoes for processing	
01	130501	Irish potatoes for processing	
01	230101	Long grain rice	
01	230102	Medium grain rice	
01	310101	Prime	
01	310111	Choice	
01	310122	Select	
01	310123	Standard	
01	310231	Commercial	
01	310241	Cutter	
01	310351	Calves, choice, New York auction	
01	310353	Choice, South St. Paul	
01	320161	Barrows and gilts, 220-240 pounds	
01	320171	Barrows and gilts, 270-300 lb.	
01	320281	Sows, 300-400 pounds	
01	330191	Choice	
01	4101	Hens	
01	410101	Chicken,light,Iowa farm . . . . . . . . . . . . . . . . . . .	
01	410112	Chicken,light,West Pennsylvania . . . . . . . . . . . . . . .	
01	410131	Chicken,light,central California. . . . . . . . . . . . . . .	
01	410241	Broilers and fryers,Alabama . . . . . . . . . . . . . . . . .	
01	410245	Broilers	
01	410251	Broilers and fryers,N. Georgia. . . . . . . . . . . . . . . .	
01	410261	Fryers,Del.,Mar.,Va . . . . . . . . . . . . . . . . . . . . .	
01	410271	Fryers,central California . . . . . . . . . . . . . . . . . .	
01	4103	Slaughter hens	
01	410399	Slaughter hens	
01	420175	Turkey fryer. . . . . . . . . . . . . . . . . . . . . . . . .	
01	420181	Hens	
01	420185	Toms	
01	52	Wool	
01	5201	Wool	
01	520101	64's, staple 2 3/4 in. and up	
01	520102	Short french combing and clothing	
01	520106	62's, staple 3 in. and up	
01	520107	60's, staple 3 in. and up	
01	520108	58's, staple 3 1/4 in. and up	
01	520111	54's staple 3 1/2 in. and up	
01	520199	Wool	
01	53	Foreign wool	
01	5301	Apparel wool	
01	530101	Australian 64's type 62	
01	530102	Australian 58,s/60,s type 433/2	
01	530103	Montevideo, 58's/60's	
01	530104	Montevideo, 50's/56's	
01	530107	S. African, 64's-70's, good topmaking	
01	530108	New Zealand, 56's, combing	
01	5302	Carpet wool	
01	530211	B.a. march, 40's/36's	
01	530212	B.A. November, 40's/36's	
01	530214	New Zealand, 2nd shear B	
01	540101	Raw silk. . . . . . . . . . . . . . . . . . . . . . . . . . .	
01	55	Plant fibers, except cotton	
01	5501	Hard fibers	
01	550101	Abaca, manila fiber, grade I	
01	550121	Sisal	
01	5502	Soft (bast) fibers	
01	550231	Jute,raw,bang tossa C	
01	610101	New York	
01	610111	Chicago	
01	610121	San Francisco	
01	610131	Dallas	
01	610141	Washington, D.C.	
01	62	Milk, manufacturing grade	
01	6201	Milk, manufacturing grade	
01	620101	Milk, manufacturing grade	
01	620102	For butter	
01	620103	For cheese	
01	620104	For evaporated milk	
01	710101	Eggs,large,New England. . . . . . . . . . . . . . . . . . . .	
01	710102	Eggs,extra large,Chicago. . . . . . . . . . . . . . . . . . .	
01	710103	Eggs,fancy heavy weights,New York . . . . . . . . . . . . . .	
01	710104	Eggs,grade A,large,San Francisco. . . . . . . . . . . . . . .	
01	710105	Eggs, large	
01	7102	Eggs, jumbo	
01	710201	Eggs, jumbo, grade A	
01	7103	Eggs, extra large	
01	710301	Eggs, extra large, grade A	
01	710302	Eggs, extra large, grade AA	
01	7104	Eggs, large	
01	710401	Eggs, large, grade A	
01	710402	Eggs, large grade AA	
01	7105	Eggs, medium	
01	710501	Eggs, medium, grade A	
01	710502	Eggs, medium, grade AA	
01	7106	Eggs, small	
01	710601	Eggs, small, grade A	
01	810111	Hay,timothy . . . . . . . . . . . . . . . . . . . . . . . . .	
01	82	Hayseeds	
01	820101	Alfalfa hayseeds	
01	820111	Clover hayseeds	
01	830101	Flaxseed	
01	830141	Copra . . . . . . . . . . . . . . . . . . . . . . . . . . . .	
01	9	Other farm products	
01	91	Green coffee, cocoa beans, and tea	
01	9101	Green coffee	
01	910101	Santos, no. 4	
01	910111	Colombian, Manizales	
01	910113	Coffee, ambiz; uganda lb.	
01	910115	Mexican, washed	
01	9102	Cocoa beans	
01	910221	Accra	
01	910222	Bahia	
01	9103	Tea	
01	910331	Black	
01	92	Leaf tobacco	
01	9201	Leaf tobacco	
01	920101	Leaf tobacco	
01	93	Tree nuts	
01	9301	Tree nuts	
01	930101	Pecans (in shell)	
02	1101	White pan bread	
02	110101	Bread,white,Chicago . . . . . . . . . . . . . . . . . . . . .	
02	110103	Bread,white,New York. . . . . . . . . . . . . . . . . . . . .	
02	110104	Bread,white,San Francisco . . . . . . . . . . . . . . . . . .	
02	110106	White pan bread, northeast	
02	110107	White pan bread, north central	
02	110108	White pan bread, south	
02	110109	White pan bread, west	
02	110111	White pan bread, including frozen	
02	11020115	Breads made in retail bakeries	
