area_code	area_text	display_level	selectable	sort_sequence
0000000	National	0	T	1	
0010180	Abilene, TX	1	T	548	
0010420	Akron, OH	1	T	447	
0010500	Albany, GA	1	T	139	
0010540	Albany, OR	1	T	473	
0010580	Albany-Schenectady-Troy, NY	1	T	398	
0010740	Albuquerque, NM	1	T	389	
0010780	Alexandria, LA	1	T	242	
0010900	Allentown-Bethlehem-Easton, PA-NJ	1	T	486	
0011020	Altoona, PA	1	T	487	
0011100	Amarillo, TX	1	T	549	
0011180	Ames, IA	1	T	210	
0011244	Anaheim-Santa Ana-Irvine, CA Metropolitan Division	1	T	46	
0011260	Anchorage, AK	1	T	20	
0011460	Ann Arbor, MI	1	T	294	
0011500	Anniston-Oxford-Jacksonville, AL	1	T	3	
0011540	Appleton, WI	1	T	638	
0011700	Asheville, NC	1	T	419	
0012020	Athens-Clarke County, GA	1	T	140	
0012060	Atlanta-Sandy Springs-Roswell, GA	1	T	141	
0012100	Atlantic City-Hammonton, NJ	1	T	380	
0012220	Auburn-Opelika, AL	1	T	4	
0012260	Augusta-Richmond County, GA-SC	1	T	142	
0012420	Austin-Round Rock, TX	1	T	550	
0012540	Bakersfield, CA	1	T	47	
0012580	Baltimore-Columbia-Towson, MD	1	T	263	
0012940	Baton Rouge, LA	1	T	243	
0012980	Battle Creek, MI	1	T	295	
0013020	Bay City, MI	1	T	296	
0013140	Beaumont-Port Arthur, TX	1	T	551	
0013220	Beckley, WV	1	T	627	
0013380	Bellingham, WA	1	T	610	
0013460	Bend-Redmond, OR	1	T	474	
0013740	Billings, MT	1	T	348	
0013780	Binghamton, NY	1	T	399	
0013820	Birmingham-Hoover, AL	1	T	5	
0013900	Bismarck, ND	1	T	439	
0013980	Blacksburg-Christiansburg-Radford, VA	1	T	595	
0014010	Bloomington, IL	1	T	173	
0014020	Bloomington, IN	1	T	192	
0014100	Bloomsburg-Berwick, PA	1	T	488	
0014260	Boise City, ID	1	T	163	
0014500	Boulder, CO	1	T	83	
0014540	Bowling Green, KY	1	T	232	
0014740	Bremerton-Silverdale, WA	1	T	611	
0015180	Brownsville-Harlingen, TX	1	T	552	
0015260	Brunswick, GA	1	T	143	
0015380	Buffalo-Cheektowaga-Niagara Falls, NY	1	T	400	
0015500	Burlington, NC	1	T	420	
0015680	California-Lexington Park, MD	1	T	265	
0015804	Camden, NJ Metropolitan Division	1	T	381	
0015940	Canton-Massillon, OH	1	T	448	
0015980	Cape Coral-Fort Myers, FL	1	T	110	
0016020	Cape Girardeau, MO-IL	1	T	335	
0016060	Carbondale-Marion, IL	1	T	175	
0016180	Carson City, NV	1	T	364	
0016220	Casper, WY	1	T	656	
0016300	Cedar Rapids, IA	1	T	211	
0016540	Chambersburg-Waynesboro, PA	1	T	489	
0016580	Champaign-Urbana, IL	1	T	176	
0016620	Charleston, WV	1	T	628	
0016700	Charleston-North Charleston, SC	1	T	514	
0016740	Charlotte-Concord-Gastonia, NC-SC	1	T	421	
0016820	Charlottesville, VA	1	T	596	
0016860	Chattanooga, TN-GA	1	T	533	
0016940	Cheyenne, WY	1	T	657	
0016974	Chicago-Naperville-Arlington Heights, IL Metropolitan Division	1	T	177	
0017020	Chico, CA	1	T	48	
