occupation_code	occupation_text	display_level	selectable	sort_sequence
110000	Management Occupations	0	T	1	
111021	General and Operations Managers	3	T	4	
112021	Marketing Managers	3	T	9	
112022	Sales Managers	3	T	10	
112031	Public Relations and Fundraising Managers	3	T	11	
113011	Administrative Services Managers	3	T	13	
113021	Computer and Information Systems Managers	3	T	14	
113031	Financial Managers	3	T	15	
113051	Industrial Production Managers	3	T	16	
113071	Transportation, Storage, and Distribution Managers	3	T	18	
113111	Compensation and Benefits Managers	3	T	19	
113121	Human Resources Managers	3	T	20	
119021	Construction Managers	3	T	24	
119033	Education Administrators, Postsecondary	3	T	28	
119041	Architectural and Engineering Managers	3	T	30	
119051	Food Service Managers	3	T	31	
119111	Medical and Health Services Managers	3	T	35	
119141	Property, Real Estate, and Community Association Managers	3	T	38	
119151	Social and Community Service Managers	3	T	39	
119199	Managers, All Other	3	T	41	
130000	Business and Financial Operations Occupations	0	T	42	
131022	Wholesale and Retail Buyers, Except Farm Products	3	T	47	
131023	Purchasing Agents, Except Wholesale, Retail, and Farm Products	3	T	48	
131031	Claims Adjusters, Examiners, and Investigators	3	T	50	
131041	Compliance Officers	3	T	52	
131051	Cost Estimators	3	T	53	
131071	Human Resources Specialists	3	T	55	
131075	Labor Relations Specialists	3	T	57	
131081	Logisticians	3	T	58	
131111	Management Analysts	3	T	59	
131121	Meeting, Convention, and Event Planners	3	T	60	
131131	Fundraisers	3	T	61	
131141	Compensation, Benefits, and Job Analysis Specialists	3	T	62	
131151	Training and Development Specialists	3	T	63	
131161	Market Research Analysts and Marketing Specialists	3	T	64	
131199	Business Operations Specialists, All Other	3	T	65	
132011	Accountants and Auditors	3	T	67	
132021	Appraisers and Assessors of Real Estate	3	T	68	
132031	Budget Analysts	3	T	69	
132041	Credit Analysts	3	T	70	
132051	Financial Analysts	3	T	72	
132052	Personal Financial Advisors	3	T	73	
132053	Insurance Underwriters	3	T	74	
132061	Financial Examiners	3	T	75	
132072	Loan Officers	3	T	78	
132099	Financial Specialists, All Other	3	T	82	
150000	Computer and Mathematical Occupations	0	T	83	
151121	Computer Systems Analysts	3	T	87	
151122	Information Security Analysts	3	T	88	
151131	Computer Programmers	3	T	90	
151132	Software Developers, Applications	3	T	91	
151133	Software Developers, Systems Software	3	T	92	
151134	Web Developers	3	T	93	
151141	Database Administrators	3	T	95	
151142	Network and Computer Systems Administrators	3	T	96	
151143	Computer Network Architects	3	T	97	
151151	Computer User Support Specialists	3	T	99	
151152	Computer Network Support Specialists	3	T	100	
151199	Computer Occupations, All Other	3	T	101	
152011	Actuaries	3	T	103	
152031	Operations Research Analysts	3	T	105	
170000	Architecture and Engineering Occupations	0	T	110	
171011	Architects, Except Landscape and Naval	3	T	113	
172011	Aerospace Engineers	3	T	119	
172051	Civil Engineers	3	T	123	
172061	Computer Hardware Engineers	3	T	124	
172071	Electrical Engineers	3	T	126	
172072	Electronics Engineers, Except Computer	3	T	127	
172081	Environmental Engineers	3	T	128	
172111	Health and Safety Engineers, Except Mining Safety Engineers and Inspectors	3	T	130	
172112	Industrial Engineers	3	T	131	
172131	Materials Engineers	3	T	133	
172141	Mechanical Engineers	3	T	134	
172161	Nuclear Engineers	3	T	136	
172199	Engineers, All Other	3	T	138	
173013	Mechanical Drafters	3	T	143	
173023	Electrical and Electronics Engineering Technicians	3	T	148	
173029	Engineering Technicians, Except Drafters, All Other	3	T	153	
173031	Surveying and Mapping Technicians	3	T	154	
190000	Life, Physical, and Social Science Occupations	0	T	155	
191021	Biochemists and Biophysicists	3	T	162	
191042	Medical Scientists, Except Epidemiologists	3	T	171	
