group_code	item_code	item_name
00	000000	All commodities	
01	-	Farm products	
01	1	Fruits & melons, fresh/dry vegs. & nuts	
01	11	Fresh fruits and melons	
01	1101	Citrus fruits	
01	110101	Grapefruits	
01	110104	Lemons	
01	110105	Valencia oranges	
01	110106	Navel oranges	
01	110108	Tangerines	
01	110109	Tangelos	
01	1102	Other fruits and berries	
01	110201	Plums and fresh prunes	
01	110202	Nectarines	
01	110203	Cherries	
01	110204	Apricots	
01	110205	Avocados	
01	110206	Kiwifruit	
01	110208	Granny Smith apples	
01	110209	Rome apples	
01	110211	Golden delicious apples	
01	110215	Red delicious apples	
01	110216	McIntosh apples	
01	110219	Peaches	
01	110220	Gala apples	
01	110221	Pears	
01	110222	Strawberries	
01	110224	Raspberries	
01	110225	Blackberries	
01	110226	Cranberries	
01	110227	Blueberries	
01	110228	Grapes	
01	1102281	Table grapes	
01	1102282	Raisin grapes	
01	1102283	Wine grapes	
01	1102284	Juice grapes	
01	110229	Fuji apples	
01	110230	Empire apples	
01	1103	Melons	
01	110301	Cantaloupes	
01	110302	Honeydews	
01	110303	Watermelons	
01	13	Fresh and dry vegetables	
01	1301	Dry vegetables	
01	13011	Dry beans	
01	130110	Dry pinto beans	
01	130111	Dry great northern beans	
01	130112	Dry pink beans	
01	130113	Dry pea beans	
01	130114	Dry kidney beans	
01	130115	Dry small red beans	
01	130116	Dry garbanzo beans	
01	130117	Dry black beans	
01	130119	Dry blackeye beans	
01	13012	Dry peas and lentils	
01	130120	Dry peas	
01	130121	Dry lentils	
01	1302	Fresh vegetables, except potatoes	
01	130211	Cabbage	
01	130212	Carrots	
01	130213	Celery	
01	130214	Sweet corn	
01	130215	Lettuce	
01	130216	Dry onions	
01	130217	Tomatoes	
01	130218	Snap beans	
01	130219	Green peas	
01	130221	Asparagus	
01	130222	Broccoli	
01	130223	Cauliflower	
01	130224	Spinach	
01	130225	Greens	
01	130226	Endive	
01	130228	Green peppers	
01	130229	Eggplant	
01	130231	Squash	
01	130232	Beets	
01	130234	Cucumbers	
01	130235	Artichokes	
01	130236	Pumpkins	
01	1303	Sweet potatoes	
01	130301	Sweet potatoes	
01	1306	Potatoes	
01	130601	Long white potatoes	
01	130602	Round white potatoes	
01	130603	Russet potatoes	
01	130604	Round red potatoes	
01	130605	Round yellow potatoes	
01	19	Tree nuts	
01	1901	Tree nuts	
01	190101	Pecans	
01	190102	Almonds	
01	190103	Filberts	
01	190104	Walnuts	
01	190105	Macadamias	
01	190106	Pistachios	
01	2	Grains	
01	21	Wheat	
01	2101	Wheat	
01	210101	Hard red winter wheat	
01	210102	Hard red spring wheat	
01	210103	Soft white wheat	
01	210104	Soft red winter wheat	
01	210105	Hard amber durum wheat	
01	22	Other grains	
01	2201	Barley	
01	220101	Barley	
01	2202	Corn	
01	220205	Corn	
01	2203	Oats	
01	220311	Oats	
01	2204	Rye	
01	220415	Rye	
01	2205	Sorghum	
01	220501	Sorghum	
01	23	Rough rice	
01	2301	Rough rice	
01	230103	Rough rice	
